songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.48    0.42    0.58    0.92    0.88    0.97    0.51    0.39    0.77    0.00    0.00    0.00
2    0.26    0.22    0.33    0.40    0.34    0.49    0.39    0.32    0.49    0.00    0.00    0.00
3    0.49    0.53    0.52    0.27    0.19    0.47    0.37    0.58    0.28    0.81    0.81    0.81
4    0.53    0.46    0.63    0.49    0.43    0.56    0.36    0.28    0.49    0.74    0.66    0.84
5    0.62    0.80    0.55    0.59    0.56    0.62    0.50    0.94    0.34    0.76    0.89    0.67
6    0.51    0.45    0.61    0.82    0.79    0.84    0.00    0.00    0.00    0.71    0.56    0.97
7    0.71    0.64    0.87    0.77    0.78    0.77    0.50    0.35    0.89    0.87    0.80    0.95
8    0.32    0.42    0.63    0.50    0.39    0.68    0.32    0.79    0.20    0.14    0.08    1.00
9    0.57    0.52    0.72    0.49    0.33    0.93    0.52    0.56    0.50    0.70    0.67    0.74
10    0.62    0.56    0.70    0.88    0.79    0.98    0.57    0.54    0.59    0.42    0.35    0.53
11    0.65    0.53    0.84    0.71    0.55    1.00    0.54    0.44    0.69    0.70    0.59    0.84
12    0.66    0.57    0.80    0.79    0.72    0.89    0.42    0.30    0.69    0.75    0.70    0.82
13    0.18    0.26    0.20    0.10    0.10    0.09    0.40    0.33    0.50    0.03    0.33    0.02
14    0.57    0.65    0.55    0.66    0.57    0.78    0.53    0.63    0.46    0.53    0.76    0.41
15    0.52    0.51    0.81    0.24    0.13    1.00    0.68    0.90    0.55    0.63    0.49    0.88
16    0.42    0.29    0.78    0.59    0.42    1.00    0.36    0.24    0.74    0.30    0.20    0.60
17    0.42    0.44    0.49    0.95    0.91    1.00    0.20    0.13    0.40    0.10    0.29    0.06
18    0.13    0.09    0.25    0.12    0.09    0.17    0.26    0.17    0.58    0.00    0.00    0.00
19    0.38    0.42    0.50    0.46    0.40    0.54    0.48    0.34    0.83    0.19    0.52    0.12
20    0.50    0.42    0.63    0.79    0.66    1.00    0.72    0.60    0.90    0.00    0.00    0.00
21    0.63    0.56    0.75    0.61    0.58    0.63    0.48    0.38    0.67    0.81    0.71    0.94
22    0.78    0.83    0.76    0.88    0.83    0.94    0.54    0.76    0.42    0.90    0.90    0.91
23    0.60    0.64    0.60    0.96    0.95    0.97    0.57    0.52    0.62    0.29    0.45    0.21
average    0.50    0.49    0.61    0.61    0.54    0.75    0.45    0.46    0.55    0.45    0.47    0.53
