songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.36    0.34    0.50    0.32    0.24    0.46    0.50    0.35    0.87    0.25    0.41    0.18
2    0.51    0.49    0.63    0.61    0.51    0.75    0.59    0.44    0.90    0.34    0.51    0.25
3    0.46    0.51    0.52    0.77    0.82    0.73    0.34    0.23    0.64    0.27    0.49    0.18
4    0.39    0.34    0.52    0.51    0.56    0.47    0.48    0.35    0.76    0.17    0.12    0.33
5    0.33    0.39    0.40    0.66    0.50    0.95    0.00    0.00    0.00    0.35    0.68    0.23
6    0.53    0.50    0.56    0.96    0.93    0.98    0.62    0.57    0.70    0.00    0.00    0.00
7    0.31    0.24    0.51    0.43    0.37    0.54    0.51    0.34    1.00    0.00    0.00    0.00
8    0.42    0.47    0.50    0.24    0.19    0.30    0.45    0.32    0.79    0.56    0.90    0.41
9    0.66    0.58    0.87    0.55    0.38    0.96    0.61    0.46    0.90    0.82    0.89    0.76
10    0.54    0.48    0.68    0.62    0.50    0.82    0.69    0.53    0.98    0.30    0.40    0.24
11    0.41    0.50    0.47    0.10    0.15    0.07    0.54    0.38    0.93    0.58    0.98    0.41
12    0.51    0.48    0.54    0.87    0.79    0.97    0.00    0.00    0.00    0.66    0.65    0.66
13    0.35    0.26    0.89    0.63    0.52    0.80    0.32    0.20    0.86    0.11    0.06    1.00
14    0.44    0.33    0.66    0.10    0.09    0.11    0.54    0.37    0.96    0.67    0.53    0.92
15    0.44    0.37    0.58    0.38    0.37    0.38    0.28    0.21    0.42    0.66    0.52    0.92
16    0.59    0.44    0.94    0.64    0.50    0.91    0.46    0.30    1.00    0.66    0.51    0.92
17    0.49    0.38    0.71    0.40    0.37    0.44    0.62    0.46    0.97    0.44    0.32    0.72
18    0.61    0.53    0.76    0.84    0.79    0.89    0.43    0.30    0.73    0.56    0.49    0.66
19    0.65    0.73    0.65    0.96    0.95    0.97    0.30    0.59    0.20    0.70    0.65    0.77
20    0.69    0.62    0.81    0.88    0.83    0.95    0.63    0.48    0.89    0.57    0.55    0.60
21    0.34    0.27    0.49    0.08    0.06    0.12    0.40    0.29    0.63    0.56    0.46    0.71
22    0.58    0.46    0.79    0.72    0.57    0.95    0.58    0.43    0.88    0.44    0.36    0.56
23    0.58    0.45    0.85    0.65    0.54    0.81    0.45    0.30    0.91    0.64    0.52    0.83
average    0.49    0.44    0.65    0.56    0.50    0.67    0.45    0.34    0.74    0.45    0.48    0.53
