songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.41    0.31    0.59    0.09    0.06    0.14    0.56    0.40    0.91    0.57    0.48    0.71
2    0.43    0.33    0.64    0.70    0.59    0.86    0.28    0.19    0.57    0.30    0.22    0.49
3    0.26    0.22    0.50    0.12    0.09    0.20    0.29    0.17    0.93    0.38    0.40    0.36
4    0.51    0.46    0.58    0.84    0.83    0.85    0.68    0.55    0.90    0.00    0.00    0.00
5    0.24    0.22    0.26    0.71    0.65    0.79    0.00    0.00    0.00    0.00    0.00    0.00
6    0.49    0.52    0.66    0.67    0.71    0.63    0.25    0.15    0.88    0.56    0.69    0.47
7    0.75    0.69    0.82    0.70    0.66    0.74    0.87    0.82    0.93    0.68    0.60    0.77
8    0.09    0.29    0.06    0.06    0.06    0.06    0.00    0.00    0.00    0.22    0.82    0.13
9    0.46    0.43    0.53    0.24    0.16    0.46    0.46    0.44    0.49    0.66    0.68    0.65
10    0.18    0.13    0.62    0.06    0.04    0.15    0.01    0.01    1.00    0.48    0.36    0.72
11    0.35    0.34    0.50    0.06    0.04    0.10    0.43    0.28    0.94    0.56    0.69    0.47
12    0.27    0.25    0.30    0.07    0.06    0.08    0.00    0.00    0.00    0.74    0.69    0.81
13    0.25    0.17    0.50    0.03    0.03    0.04    0.36    0.22    0.92    0.35    0.26    0.55
14    0.39    0.41    0.53    0.19    0.24    0.16    0.31    0.19    0.85    0.67    0.80    0.58
15    0.21    0.31    0.25    0.12    0.08    0.27    0.26    0.22    0.31    0.25    0.63    0.15
16    0.37    0.31    0.57    0.29    0.21    0.49    0.16    0.09    0.49    0.68    0.63    0.73
17    0.51    0.46    0.63    0.98    0.98    0.99    0.01    0.01    0.02    0.54    0.39    0.88
18    0.59    0.57    0.66    0.45    0.33    0.71    0.67    0.66    0.68    0.66    0.71    0.61
19    0.24    0.42    0.28    0.38    0.29    0.56    0.08    0.06    0.12    0.27    0.91    0.16
20    0.31    0.25    0.46    0.38    0.25    0.80    0.18    0.16    0.21    0.36    0.35    0.37
21    0.47    0.39    0.66    0.51    0.37    0.82    0.49    0.36    0.75    0.42    0.43    0.41
22    0.12    0.16    0.15    0.22    0.17    0.35    0.02    0.01    0.02    0.12    0.32    0.07
23    0.40    0.33    0.55    0.43    0.39    0.48    0.34    0.23    0.68    0.43    0.38    0.49
24    0.28    0.23    0.66    0.34    0.22    0.71    0.18    0.10    1.00    0.31    0.36    0.27
25    0.27    0.24    0.44    0.31    0.20    0.69    0.39    0.31    0.55    0.12    0.23    0.08
26    0.39    0.35    0.55    0.18    0.16    0.21    0.23    0.14    0.65    0.76    0.75    0.78
27    0.37    0.30    0.58    0.29    0.19    0.69    0.21    0.14    0.39    0.61    0.57    0.65
average    0.36    0.34    0.50    0.35    0.30    0.48    0.29    0.22    0.56    0.43    0.49    0.46
