songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.22    0.23    0.50    0.30    0.47    0.22    0.10    0.05    0.70    0.26    0.17    0.57
2    0.56    0.46    0.73    0.58    0.44    0.83    0.47    0.41    0.55    0.63    0.52    0.82
3    0.48    0.38    0.66    0.46    0.36    0.63    0.44    0.32    0.68    0.54    0.46    0.67
4    0.24    0.29    0.36    0.32    0.23    0.55    0.21    0.52    0.13    0.18    0.12    0.40
5    0.45    0.37    0.64    0.41    0.28    0.82    0.37    0.36    0.39    0.57    0.47    0.71
6    0.47    0.41    0.57    0.59    0.48    0.74    0.42    0.35    0.53    0.41    0.39    0.44
7    0.13    0.11    0.37    0.19    0.11    0.68    0.02    0.01    0.27    0.19    0.20    0.17
8    0.39    0.50    0.41    0.60    0.58    0.62    0.32    0.75    0.20    0.24    0.17    0.42
9    0.37    0.32    0.48    0.68    0.57    0.83    0.23    0.27    0.20    0.19    0.12    0.42
10    0.49    0.52    0.53    0.56    0.48    0.66    0.55    0.78    0.43    0.36    0.29    0.49
11    0.40    0.36    0.45    0.46    0.38    0.58    0.32    0.31    0.34    0.41    0.40    0.42
12    0.51    0.54    0.63    0.61    0.56    0.66    0.70    0.93    0.56    0.23    0.14    0.65
13    0.43    0.33    0.67    0.44    0.30    0.82    0.38    0.26    0.69    0.47    0.44    0.50
14    0.43    0.36    0.69    0.29    0.17    0.93    0.42    0.37    0.50    0.58    0.53    0.63
15    0.50    0.58    0.56    0.53    0.80    0.39    0.77    0.80    0.73    0.21    0.13    0.56
16    0.40    0.32    0.59    0.47    0.33    0.80    0.38    0.28    0.58    0.36    0.35    0.38
17    0.51    0.38    0.85    0.47    0.32    0.95    0.44    0.29    0.89    0.61    0.53    0.70
18    0.50    0.57    0.65    0.76    0.75    0.76    0.48    0.79    0.34    0.28    0.17    0.85
19    0.42    0.33    0.73    0.31    0.19    0.89    0.46    0.32    0.81    0.49    0.48    0.49
20    0.43    0.34    0.60    0.45    0.31    0.78    0.51    0.42    0.66    0.32    0.29    0.36
21    0.40    0.34    0.51    0.46    0.43    0.50    0.33    0.27    0.44    0.41    0.31    0.58
22    0.54    0.61    0.61    0.86    0.76    0.99    0.35    0.76    0.22    0.41    0.31    0.62
23    0.71    0.62    0.85    0.85    0.79    0.92    0.75    0.67    0.85    0.52    0.39    0.76
24    0.60    0.54    0.74    0.85    0.77    0.95    0.48    0.51    0.45    0.48    0.34    0.83
25    0.66    0.75    0.68    0.87    0.77    1.00    0.51    0.98    0.35    0.58    0.50    0.70
26    0.64    0.60    0.72    0.76    0.65    0.92    0.57    0.48    0.70    0.60    0.66    0.55
27    0.62    0.60    0.67    0.86    0.81    0.93    0.45    0.38    0.57    0.56    0.61    0.51
28    0.57    0.67    0.57    0.93    0.91    0.95    0.09    0.42    0.05    0.70    0.70    0.71
29    0.56    0.70    0.60    0.87    0.77    1.00    0.18    0.77    0.10    0.61    0.56    0.68
30    0.56    0.55    0.60    0.78    0.71    0.88    0.24    0.21    0.30    0.66    0.73    0.61
31    0.55    0.50    0.61    0.83    0.70    1.00    0.00    0.00    0.00    0.82    0.81    0.83
32    0.75    0.75    0.77    0.93    0.88    0.98    0.56    0.70    0.47    0.76    0.68    0.86
33    0.70    0.68    0.75    0.64    0.55    0.75    0.71    0.78    0.65    0.76    0.70    0.84
34    0.51    0.48    0.59    0.67    0.52    0.94    0.00    0.00    0.00    0.87    0.93    0.82
35    0.62    0.52    0.78    0.73    0.60    0.93    0.44    0.32    0.68    0.68    0.63    0.74
36    0.68    0.60    0.80    0.75    0.61    0.98    0.48    0.39    0.62    0.79    0.78    0.80
37    0.67    0.56    0.89    0.83    0.73    0.94    0.79    0.69    0.94    0.39    0.25    0.79
38    0.71    0.66    0.78    0.78    0.67    0.94    0.59    0.54    0.65    0.76    0.77    0.74
39    0.77    0.65    0.96    0.78    0.66    0.96    0.80    0.69    0.96    0.73    0.59    0.95
40    0.72    0.65    0.85    0.75    0.60    0.98    0.82    0.88    0.77    0.59    0.46    0.81
41    0.78    0.69    0.89    0.82    0.73    0.94    0.81    0.69    0.98    0.69    0.64    0.76
42    0.69    0.63    0.85    0.87    0.79    0.96    0.45    0.30    0.88    0.74    0.79    0.70
43    0.56    0.48    0.72    0.71    0.61    0.86    0.47    0.44    0.50    0.51    0.38    0.79
44    0.49    0.40    0.69    0.59    0.49    0.75    0.48    0.45    0.50    0.40    0.26    0.81
45    0.66    0.60    0.74    0.68    0.61    0.78    0.58    0.53    0.64    0.73    0.66    0.81
46    0.56    0.49    0.70    0.71    0.59    0.87    0.46    0.50    0.42    0.50    0.36    0.80
47    0.48    0.58    0.57    0.79    0.71    0.89    0.15    0.65    0.09    0.51    0.39    0.73
48    0.64    0.65    0.67    0.74    0.65    0.87    0.42    0.58    0.33    0.76    0.73    0.79
49    0.59    0.53    0.69    0.69    0.59    0.82    0.59    0.48    0.77    0.50    0.51    0.49
50    0.65    0.81    0.63    0.84    0.80    0.89    0.42    0.97    0.27    0.69    0.67    0.72
51    0.62    0.69    0.64    0.80    0.73    0.89    0.45    0.80    0.31    0.61    0.54    0.71
52    0.57    0.51    0.67    0.77    0.68    0.88    0.13    0.09    0.28    0.80    0.76    0.84
53    0.51    0.51    0.79    0.80    0.84    0.76    0.13    0.07    1.00    0.62    0.62    0.61
54    0.57    0.55    0.61    0.62    0.53    0.74    0.53    0.60    0.48    0.57    0.53    0.62
55    0.70    0.67    0.73    0.85    0.80    0.90    0.63    0.66    0.61    0.61    0.56    0.67
56    0.73    0.79    0.71    0.85    0.78    0.94    0.50    0.70    0.39    0.83    0.87    0.79
57    0.62    0.66    0.62    0.62    0.54    0.75    0.42    0.60    0.32    0.81    0.85    0.78
58    0.69    0.64    0.75    0.82    0.72    0.95    0.55    0.60    0.51    0.68    0.60    0.79
59    0.59    0.67    0.56    0.75    0.68    0.83    0.44    0.66    0.33    0.58    0.67    0.51
60    0.67    0.65    0.71    0.67    0.57    0.80    0.60    0.64    0.57    0.74    0.73    0.76
61    0.77    0.81    0.73    0.77    0.79    0.75    0.73    0.78    0.68    0.82    0.87    0.77
62    0.70    0.72    0.71    0.82    0.72    0.94    0.59    0.69    0.51    0.70    0.74    0.67
63    0.58    0.65    0.57    0.88    0.79    0.98    0.30    0.57    0.21    0.55    0.58    0.53
64    0.59    0.48    0.79    0.73    0.62    0.90    0.51    0.40    0.69    0.54    0.41    0.79
average    0.56    0.54    0.67    0.68    0.60    0.83    0.45    0.51    0.50    0.56    0.51    0.67
