songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.36    0.32    0.54    0.28    0.20    0.46    0.46    0.31    0.91    0.33    0.45    0.26
2    0.47    0.50    0.61    0.65    0.54    0.81    0.46    0.32    0.85    0.28    0.63    0.18
3    0.47    0.51    0.57    0.77    0.73    0.81    0.37    0.25    0.69    0.29    0.54    0.20
4    0.38    0.33    0.54    0.50    0.56    0.45    0.46    0.31    0.83    0.18    0.12    0.33
5    0.34    0.40    0.41    0.62    0.45    0.95    0.00    0.00    0.00    0.40    0.74    0.27
6    0.52    0.50    0.55    0.97    0.96    0.98    0.60    0.54    0.67    0.00    0.00    0.00
7    0.27    0.20    0.49    0.38    0.32    0.46    0.42    0.27    1.00    0.00    0.00    0.00
8    0.46    0.46    0.58    0.27    0.24    0.30    0.43    0.29    0.85    0.69    0.85    0.58
9    0.59    0.47    0.86    0.62    0.47    0.89    0.40    0.26    0.80    0.77    0.68    0.88
10    0.56    0.47    0.72    0.60    0.49    0.79    0.70    0.54    1.00    0.38    0.38    0.39
11    0.51    0.50    0.59    0.09    0.13    0.07    0.59    0.44    0.89    0.86    0.94    0.79
12    0.52    0.46    0.59    0.91    0.84    0.98    0.00    0.00    0.00    0.64    0.54    0.79
13    0.43    0.37    0.82    0.88    0.88    0.88    0.35    0.22    0.83    0.05    0.03    0.75
14    0.39    0.28    0.64    0.08    0.07    0.11    0.49    0.33    0.95    0.60    0.45    0.88
15    0.46    0.39    0.57    0.41    0.40    0.41    0.27    0.21    0.37    0.69    0.55    0.93
16    0.45    0.33    0.73    0.56    0.45    0.73    0.41    0.27    0.82    0.38    0.27    0.63
17    0.54    0.43    0.73    0.37    0.37    0.38    0.66    0.51    0.95    0.58    0.43    0.87
18    0.59    0.50    0.76    0.85    0.80    0.91    0.42    0.29    0.73    0.50    0.41    0.64
19    0.66    0.65    0.70    0.93    0.92    0.94    0.36    0.42    0.32    0.70    0.59    0.85
20    0.73    0.65    0.83    0.87    0.81    0.95    0.73    0.65    0.84    0.57    0.49    0.70
21    0.34    0.24    0.62    0.06    0.05    0.09    0.38    0.24    0.90    0.59    0.45    0.85
22    0.59    0.47    0.80    0.70    0.56    0.94    0.61    0.48    0.85    0.46    0.38    0.61
23    0.56    0.45    0.79    0.58    0.51    0.66    0.53    0.37    0.92    0.58    0.46    0.80
average    0.49    0.43    0.65    0.56    0.51    0.65    0.44    0.33    0.74    0.46    0.45    0.57
