songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.47    0.40    0.58    0.89    0.82    0.98    0.51    0.39    0.74    0.00    0.00    0.00
2    0.30    0.24    0.42    0.50    0.44    0.60    0.41    0.29    0.67    0.00    0.00    0.00
3    0.51    0.54    0.59    0.30    0.20    0.63    0.39    0.61    0.29    0.84    0.82    0.86
4    0.50    0.40    0.66    0.41    0.34    0.52    0.38    0.28    0.57    0.71    0.59    0.89
5    0.63    0.79    0.57    0.56    0.52    0.61    0.53    0.95    0.37    0.81    0.90    0.73
6    0.46    0.39    0.56    0.65    0.61    0.69    0.00    0.00    0.00    0.72    0.56    1.00
7    0.56    0.48    0.71    0.60    0.54    0.67    0.32    0.22    0.58    0.77    0.68    0.88
8    0.28    0.41    0.53    0.51    0.39    0.74    0.24    0.81    0.14    0.09    0.05    0.71
9    0.55    0.50    0.71    0.47    0.32    0.95    0.48    0.52    0.45    0.70    0.67    0.74
10    0.58    0.52    0.71    0.86    0.77    0.97    0.53    0.52    0.54    0.37    0.26    0.61
11    0.61    0.50    0.82    0.68    0.52    0.99    0.49    0.39    0.68    0.67    0.59    0.78
12    0.61    0.53    0.74    0.76    0.69    0.84    0.36    0.27    0.52    0.73    0.65    0.85
13    0.24    0.26    0.29    0.17    0.16    0.19    0.51    0.41    0.66    0.03    0.20    0.02
14    0.63    0.66    0.64    0.73    0.61    0.91    0.60    0.65    0.56    0.55    0.74    0.44
15    0.59    0.51    0.83    0.48    0.32    0.93    0.66    0.73    0.61    0.63    0.48    0.95
16    0.39    0.27    0.74    0.63    0.46    1.00    0.32    0.21    0.71    0.22    0.14    0.50
17    0.40    0.41    0.49    0.88    0.81    0.97    0.18    0.11    0.40    0.14    0.30    0.09
18    0.15    0.26    0.26    0.19    0.15    0.25    0.22    0.14    0.50    0.04    0.50    0.02
19    0.39    0.45    0.45    0.46    0.40    0.54    0.37    0.27    0.58    0.35    0.69    0.23
20    0.51    0.43    0.65    0.86    0.76    1.00    0.67    0.53    0.94    0.00    0.00    0.00
21    0.67    0.58    0.80    0.61    0.59    0.63    0.59    0.47    0.78    0.80    0.68    0.98
22    0.78    0.81    0.79    0.86    0.76    0.99    0.55    0.76    0.43    0.94    0.93    0.94
23    0.69    0.67    0.72    0.99    1.00    0.97    0.57    0.50    0.67    0.52    0.52    0.52
average    0.50    0.48    0.62    0.61    0.53    0.76    0.43    0.44    0.54    0.46    0.48    0.55
