songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.33    0.27    0.43    0.17    0.18    0.17    0.33    0.26    0.48    0.47    0.37    0.65
2    0.44    0.34    0.76    0.67    0.59    0.79    0.27    0.17    0.65    0.39    0.26    0.83
3    0.27    0.21    0.54    0.11    0.08    0.16    0.25    0.14    0.93    0.45    0.40    0.51
4    0.49    0.41    0.62    0.74    0.62    0.90    0.74    0.60    0.96    0.00    0.00    0.00
5    0.22    0.18    0.27    0.65    0.55    0.81    0.00    0.00    0.00    0.00    0.00    0.00
6    0.48    0.44    0.66    0.64    0.62    0.66    0.20    0.12    0.67    0.61    0.58    0.65
7    0.61    0.53    0.78    0.65    0.62    0.68    0.83    0.73    0.96    0.35    0.24    0.70
8    0.12    0.25    0.09    0.05    0.05    0.06    0.00    0.00    0.00    0.32    0.72    0.21
9    0.49    0.43    0.61    0.29    0.20    0.52    0.54    0.52    0.57    0.63    0.56    0.73
10    0.15    0.10    0.41    0.06    0.05    0.11    0.01    0.00    0.50    0.37    0.26    0.61
11    0.37    0.28    0.57    0.08    0.06    0.13    0.47    0.32    0.93    0.55    0.48    0.64
12    0.32    0.28    0.38    0.15    0.12    0.18    0.00    0.00    0.00    0.81    0.71    0.95
13    0.23    0.15    0.54    0.03    0.02    0.03    0.32    0.19    0.95    0.34    0.23    0.63
14    0.39    0.45    0.45    0.17    0.32    0.12    0.32    0.21    0.68    0.66    0.81    0.56
15    0.30    0.36    0.33    0.13    0.08    0.27    0.26    0.21    0.33    0.53    0.79    0.40
16    0.40    0.32    0.60    0.31    0.24    0.44    0.16    0.10    0.50    0.73    0.64    0.86
17    0.50    0.43    0.67    0.93    0.89    0.98    0.02    0.01    0.08    0.54    0.38    0.95
18    0.61    0.58    0.68    0.46    0.35    0.64    0.68    0.67    0.69    0.71    0.71    0.71
19    0.39    0.43    0.50    0.46    0.35    0.66    0.08    0.04    0.33    0.64    0.89    0.50
20    0.44    0.37    0.63    0.67    0.65    0.69    0.24    0.16    0.52    0.41    0.30    0.67
21    0.48    0.37    0.70    0.50    0.36    0.82    0.50    0.38    0.73    0.44    0.36    0.55
22    0.28    0.23    0.47    0.28    0.21    0.43    0.15    0.09    0.56    0.40    0.40    0.40
23    0.38    0.29    0.58    0.38    0.33    0.46    0.32    0.21    0.65    0.44    0.34    0.62
24    0.35    0.25    0.76    0.45    0.32    0.78    0.14    0.08    0.89    0.45    0.36    0.62
25    0.31    0.25    0.55    0.30    0.19    0.78    0.35    0.25    0.59    0.29    0.31    0.27
26    0.27    0.25    0.43    0.15    0.12    0.20    0.21    0.13    0.66    0.46    0.50    0.42
27    0.34    0.24    0.65    0.22    0.13    0.66    0.22    0.14    0.56    0.56    0.46    0.73
average    0.37    0.32    0.54    0.36    0.31    0.49    0.28    0.21    0.57    0.47    0.45    0.57
