songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.37    0.30    0.64    0.41    0.43    0.39    0.15    0.08    0.70    0.54    0.40    0.83
2    0.68    0.66    0.70    0.62    0.55    0.70    0.50    0.51    0.48    0.91    0.90    0.92
3    0.61    0.63    0.62    0.41    0.32    0.57    0.55    0.68    0.47    0.85    0.89    0.82
4    0.45    0.55    0.50    0.34    0.25    0.52    0.45    0.95    0.30    0.55    0.46    0.69
5    0.58    0.57    0.63    0.52    0.42    0.70    0.40    0.50    0.34    0.83    0.79    0.87
6    0.53    0.66    0.48    0.43    0.49    0.39    0.41    0.71    0.29    0.76    0.76    0.76
7    0.40    0.32    0.84    0.25    0.15    0.84    0.17    0.10    0.82    0.77    0.71    0.85
8    0.64    0.70    0.63    0.65    0.63    0.67    0.55    0.81    0.41    0.73    0.68    0.79
9    0.57    0.50    0.72    0.70    0.65    0.77    0.49    0.45    0.53    0.53    0.38    0.88
10    0.50    0.68    0.42    0.43    0.50    0.37    0.39    0.76    0.26    0.69    0.77    0.62
11    0.53    0.57    0.51    0.44    0.41    0.47    0.41    0.46    0.37    0.75    0.83    0.68
12    0.60    0.62    0.74    0.70    0.61    0.82    0.64    0.96    0.48    0.46    0.30    0.91
13    0.65    0.61    0.72    0.56    0.46    0.71    0.55    0.48    0.65    0.83    0.89    0.78
14    0.56    0.64    0.67    0.34    0.21    0.87    0.48    0.74    0.36    0.86    0.97    0.78
15    0.55    0.52    0.66    0.56    0.70    0.47    0.68    0.58    0.82    0.39    0.28    0.68
16    0.74    0.73    0.78    0.61    0.50    0.79    0.70    0.71    0.69    0.93    1.00    0.87
17    0.68    0.61    0.86    0.57    0.42    0.87    0.58    0.43    0.93    0.87    0.99    0.78
18    0.60    0.60    0.71    0.72    0.83    0.64    0.64    0.67    0.61    0.44    0.30    0.88
19    0.64    0.62    0.75    0.49    0.35    0.78    0.67    0.55    0.84    0.76    0.96    0.63
20    0.66    0.66    0.67    0.53    0.49    0.57    0.74    0.77    0.71    0.72    0.72    0.72
21    0.52    0.43    0.67    0.48    0.39    0.64    0.40    0.30    0.58    0.69    0.61    0.79
22    0.58    0.61    0.59    0.93    0.87    1.00    0.51    0.66    0.42    0.31    0.28    0.34
23    0.75    0.72    0.81    0.90    0.88    0.93    0.67    0.54    0.87    0.68    0.75    0.62
24    0.68    0.64    0.73    0.87    0.78    0.99    0.47    0.42    0.54    0.70    0.74    0.68
