songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.33    0.26    0.54    0.24    0.17    0.44    0.44    0.29    0.87    0.32    0.31    0.32
2    0.53    0.50    0.64    0.64    0.56    0.75    0.55    0.40    0.85    0.42    0.54    0.34
3    0.56    0.53    0.65    0.70    0.61    0.81    0.52    0.40    0.76    0.45    0.58    0.37
4    0.41    0.32    0.63    0.51    0.44    0.61    0.52    0.38    0.85    0.20    0.13    0.42
5    0.33    0.43    0.38    0.70    0.56    0.95    0.00    0.00    0.00    0.30    0.74    0.19
6    0.49    0.44    0.55    0.95    0.92    0.98    0.51    0.42    0.65    0.00    0.00    0.00
7    0.37    0.29    0.51    0.45    0.40    0.52    0.65    0.48    1.00    0.00    0.00    0.00
8    0.45    0.47    0.58    0.22    0.20    0.26    0.45    0.30    0.91    0.69    0.91    0.56
9    0.66    0.62    0.76    0.64    0.64    0.64    0.41    0.28    0.77    0.91    0.93    0.88
10    0.59    0.50    0.75    0.68    0.60    0.79    0.66    0.49    0.98    0.43    0.39    0.48
11    0.53    0.52    0.57    0.10    0.14    0.07    0.73    0.59    0.96    0.75    0.84    0.68
12    0.55    0.52    0.58    0.96    0.93    0.98    0.00    0.00    0.00    0.69    0.63    0.76
13    0.42    0.37    0.75    0.80    0.80    0.80    0.43    0.28    0.94    0.04    0.02    0.50
14    0.48    0.37    0.68    0.15    0.13    0.18    0.58    0.43    0.90    0.71    0.56    0.97
15    0.50    0.42    0.63    0.45    0.42    0.48    0.27    0.19    0.44    0.79    0.66    0.97
16    0.67    0.54    0.90    0.68    0.60    0.80    0.62    0.45    1.00    0.71    0.58    0.90
17    0.59    0.49    0.76    0.33    0.32    0.34    0.77    0.63    0.98    0.67    0.52    0.96
18    0.65    0.57    0.79    0.88    0.86    0.91    0.54    0.41    0.76    0.53    0.44    0.69
19    0.64    0.72    0.67    0.99    0.99    1.00    0.23    0.58    0.14    0.70    0.59    0.88
20    0.75    0.71    0.80    0.90    0.88    0.93    0.75    0.67    0.84    0.61    0.58    0.64
21    0.43    0.34    0.60    0.03    0.02    0.04    0.49    0.36    0.79    0.77    0.64    0.97
22    0.61    0.52    0.75    0.66    0.51    0.93    0.75    0.65    0.88    0.41    0.39    0.44
23    0.67    0.57    0.81    0.70    0.66    0.74    0.68    0.54    0.93    0.62    0.52    0.77
average    0.53    0.48    0.66    0.58    0.54    0.65    0.50    0.40    0.75    0.51    0.50    0.60
