songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.47    0.43    0.55    0.94    0.90    0.98    0.48    0.38    0.66    0.00    0.00    0.00
2    0.26    0.22    0.34    0.46    0.40    0.53    0.33    0.25    0.49    0.00    0.00    0.00
3    0.50    0.52    0.68    0.26    0.16    0.83    0.39    0.63    0.29    0.84    0.77    0.92
4    0.60    0.55    0.67    0.64    0.63    0.65    0.37    0.29    0.51    0.79    0.74    0.85
5    0.64    0.82    0.58    0.61    0.60    0.62    0.44    0.96    0.29    0.87    0.90    0.84
6    0.53    0.47    0.65    0.93    0.89    0.97    0.00    0.00    0.00    0.68    0.52    0.97
7    0.80    0.76    0.90    0.95    0.93    0.96    0.54    0.39    0.86    0.92    0.96    0.88
8    0.29    0.36    0.54    0.49    0.37    0.74    0.28    0.66    0.18    0.11    0.06    0.71
9    0.57    0.57    0.67    0.41    0.28    0.80    0.59    0.64    0.54    0.73    0.80    0.66
10    0.60    0.54    0.68    0.91    0.84    0.99    0.46    0.38    0.59    0.43    0.40    0.46
11    0.63    0.53    0.80    0.71    0.54    1.00    0.58    0.45    0.80    0.60    0.60    0.61
12    0.66    0.65    0.72    0.90    0.95    0.86    0.39    0.28    0.66    0.68    0.71    0.64
13    0.24    0.26    0.27    0.15    0.15    0.16    0.48    0.40    0.59    0.08    0.21    0.05
14    0.67    0.65    0.70    0.74    0.64    0.87    0.52    0.53    0.52    0.75    0.79    0.71
15    0.47    0.42    0.80    0.20    0.11    0.93    0.58    0.69    0.51    0.63    0.47    0.97
16    0.41    0.29    0.76    0.70    0.53    1.00    0.29    0.18    0.83    0.24    0.17    0.44
17    0.37    0.35    0.47    0.90    0.83    0.97    0.17    0.11    0.40    0.05    0.10    0.03
18    0.14    0.12    0.19    0.23    0.21    0.25    0.20    0.14    0.33    0.00    0.00    0.00
19    0.47    0.42    0.58    0.37    0.29    0.50    0.36    0.26    0.58    0.69    0.72    0.67
20    0.52    0.43    0.65    0.82    0.69    1.00    0.73    0.60    0.94    0.00    0.00    0.00
21    0.70    0.64    0.80    0.61    0.62    0.61    0.67    0.54    0.88    0.83    0.77    0.90
22    0.78    0.82    0.78    0.87    0.78    0.99    0.54    0.79    0.41    0.91    0.89    0.94
23    0.67    0.65    0.68    0.96    0.95    0.97    0.60    0.61    0.58    0.44    0.41    0.49
average    0.52    0.50    0.63    0.64    0.58    0.79    0.43    0.44    0.54    0.49    0.48    0.55
