songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.42    0.34    0.58    0.00    0.00    0.00    0.61    0.44    1.00    0.65    0.58    0.73
2    0.44    0.33    0.68    0.53    0.43    0.70    0.29    0.20    0.52    0.50    0.36    0.82
3    0.21    0.17    0.45    0.02    0.02    0.03    0.27    0.16    0.96    0.35    0.34    0.36
4    0.56    0.52    0.62    0.84    0.79    0.90    0.85    0.76    0.97    0.00    0.00    0.00
5    0.25    0.23    0.27    0.74    0.69    0.80    0.00    0.00    0.00    0.00    0.00    0.00
6    0.49    0.44    0.65    0.63    0.62    0.65    0.17    0.10    0.58    0.66    0.61    0.73
7    0.79    0.74    0.84    0.65    0.64    0.66    0.86    0.77    0.97    0.85    0.80    0.91
8    0.13    0.26    0.09    0.00    0.00    0.00    0.00    0.00    0.00    0.40    0.77    0.27
9    0.45    0.44    0.48    0.17    0.12    0.28    0.56    0.53    0.59    0.62    0.66    0.58
10    0.13    0.09    0.56    0.02    0.02    0.03    0.01    0.01    1.00    0.36    0.25    0.65
11    0.33    0.29    0.50    0.01    0.00    0.01    0.43    0.28    0.95    0.57    0.60    0.54
12    0.30    0.29    0.31    0.15    0.12    0.18    0.00    0.00    0.00    0.75    0.74    0.76
13    0.27    0.19    0.52    0.05    0.05    0.04    0.38    0.23    0.96    0.38    0.28    0.56
14    0.34    0.51    0.33    0.28    0.55    0.19    0.22    0.15    0.44    0.50    0.84    0.36
15    0.28    0.32    0.30    0.08    0.06    0.14    0.23    0.17    0.35    0.52    0.74    0.40
16    0.36    0.32    0.51    0.25    0.19    0.35    0.16    0.10    0.52    0.66    0.66    0.67
17    0.49    0.45    0.61    0.96    0.99    0.94    0.00    0.00    0.00    0.51    0.36    0.88
18    0.70    0.68    0.72    0.73    0.64    0.85    0.69    0.71    0.66    0.68    0.70    0.66
19    0.34    0.45    0.58    0.46    0.37    0.60    0.13    0.07    0.88    0.42    0.92    0.27
20    0.45    0.36    0.64    0.62    0.53    0.74    0.31    0.21    0.64    0.42    0.34    0.53
21    0.49    0.39    0.70    0.44    0.30    0.81    0.55    0.42    0.79    0.47    0.46    0.49
22    0.31    0.23    0.55    0.24    0.19    0.36    0.17    0.10    0.61    0.52    0.42    0.68
23    0.41    0.34    0.54    0.40    0.38    0.44    0.45    0.33    0.70    0.39    0.32    0.50
24    0.42    0.38    0.74    0.49    0.47    0.51    0.13    0.07    1.00    0.65    0.61    0.70
25    0.28    0.25    0.45    0.28    0.18    0.62    0.39    0.29    0.61    0.18    0.28    0.13
26    0.37    0.38    0.49    0.14    0.12    0.16    0.33    0.21    0.75    0.64    0.80    0.54
27    0.34    0.26    0.61    0.27    0.17    0.68    0.25    0.16    0.58    0.50    0.45    0.55
average    0.38    0.36    0.53    0.35    0.32    0.43    0.31    0.24    0.63    0.49    0.51    0.53
