songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.26    0.23    0.47    0.39    0.46    0.34    0.12    0.07    0.50    0.26    0.17    0.57
2    0.61    0.57    0.68    0.66    0.62    0.71    0.46    0.49    0.44    0.72    0.61    0.88
3    0.54    0.54    0.63    0.48    0.37    0.68    0.47    0.69    0.35    0.69    0.57    0.87
4    0.38    0.47    0.56    0.37    0.30    0.49    0.47    0.94    0.31    0.31    0.19    0.87
5    0.55    0.52    0.67    0.54    0.42    0.77    0.43    0.59    0.33    0.69    0.56    0.90
6    0.47    0.56    0.49    0.47    0.54    0.41    0.30    0.61    0.20    0.64    0.52    0.85
7    0.39    0.28    0.73    0.27    0.16    0.76    0.35    0.23    0.73    0.56    0.46    0.69
8    0.43    0.59    0.51    0.63    0.67    0.60    0.29    0.85    0.18    0.37    0.25    0.74
9    0.51    0.46    0.67    0.72    0.69    0.76    0.49    0.48    0.50    0.32    0.20    0.76
10    0.46    0.54    0.51    0.45    0.40    0.52    0.35    0.74    0.23    0.58    0.47    0.78
11    0.40    0.47    0.47    0.43    0.38    0.49    0.09    0.47    0.05    0.68    0.57    0.86
12    0.55    0.54    0.74    0.67    0.61    0.76    0.74    0.88    0.64    0.25    0.15    0.83
13    0.53    0.43    0.71    0.52    0.42    0.69    0.31    0.21    0.56    0.75    0.66    0.88
14    0.49    0.50    0.67    0.32    0.20    0.82    0.35    0.64    0.24    0.79    0.68    0.93
15    0.53    0.53    0.64    0.62    0.64    0.60    0.74    0.83    0.67    0.22    0.13    0.65
16    0.60    0.57    0.69    0.63    0.51    0.83    0.43    0.61    0.33    0.73    0.60    0.92
17    0.59    0.48    0.86    0.62    0.52    0.77    0.38    0.25    0.89    0.78    0.67    0.93
18    0.50    0.55    0.60    0.70    0.84    0.60    0.56    0.68    0.48    0.24    0.14    0.73
19    0.54    0.42    0.81    0.43    0.30    0.76    0.42    0.29    0.76    0.77    0.66    0.91
20    0.66    0.66    0.72    0.58    0.53    0.63    0.83    1.00    0.71    0.58    0.45    0.84
21    0.40    0.30    0.64    0.44    0.31    0.80    0.28    0.24    0.32    0.49    0.36    0.80
22    0.59    0.57    0.68    0.85    0.75    0.99    0.45    0.60    0.36    0.46    0.35    0.70
23    0.75    0.70    0.83    0.90    0.84    0.98    0.78    0.82    0.74    0.56    0.44    0.77
24    0.59    0.55    0.66    0.89    0.82    0.98    0.53    0.59    0.48    0.35    0.26    0.54
25    0.79    0.79    0.82    0.93    0.87    1.00    0.77    0.92    0.67    0.67    0.58    0.80
26    0.79    0.83    0.78    0.82    0.74    0.92    0.80    0.89    0.72    0.76    0.85    0.69
27    0.69    0.68    0.71    0.93    0.93    0.94    0.44    0.44    0.44    0.71    0.66    0.76
28    0.64    0.87    0.60    0.92    0.94    0.90    0.30    0.98    0.18    0.69    0.68    0.72
29    0.71    0.64    0.80    0.91    0.83    1.00    0.59    0.58    0.61    0.62    0.51    0.78
30    0.64    0.70    0.64    0.83    0.76    0.92    0.31    0.56    0.21    0.77    0.77    0.77
31    0.61    0.59    0.63    0.93    0.87    1.00    0.00    0.00    0.00    0.90    0.90    0.90
32    0.80    0.87    0.78    0.98    0.97    1.00    0.57    0.86    0.43    0.83    0.77    0.91
33    0.78    0.79    0.77    0.72    0.68    0.75    0.80    0.91    0.71    0.82    0.79    0.85
34    0.59    0.56    0.63    0.79    0.69    0.92    0.00    0.00    0.00    0.98    1.00    0.96
35    0.68    0.60    0.83    0.83    0.75    0.93    0.40    0.28    0.72    0.80    0.76    0.84
36    0.75    0.70    0.80    0.80    0.70    0.94    0.58    0.56    0.60    0.87    0.86    0.87
37    0.70    0.64    0.84    0.84    0.78    0.91    0.94    0.92    0.96    0.32    0.21    0.66
38    0.80    0.76    0.85    0.88    0.80    0.99    0.68    0.67    0.69    0.84    0.81    0.87
39    0.83    0.78    0.90    0.95    0.90    1.00    0.90    0.84    0.96    0.65    0.59    0.73
40    0.68    0.62    0.83    0.72    0.57    0.98    0.82    0.93    0.74    0.50    0.37    0.76
41    0.84    0.82    0.86    0.87    0.79    0.97    0.87    0.93    0.83    0.76    0.74    0.80
42    0.79    0.69    0.94    0.93    0.87    1.00    0.60    0.45    0.88    0.85    0.76    0.95
43    0.64    0.58    0.74    0.89    0.87    0.92    0.48    0.42    0.56    0.56    0.45    0.73
44    0.50    0.41    0.68    0.69    0.57    0.86    0.40    0.39    0.42    0.42    0.29    0.76
45    0.70    0.64    0.77    0.76    0.69    0.86    0.57    0.53    0.62    0.76    0.70    0.83
46    0.56    0.52    0.69    0.74    0.66    0.84    0.49    0.59    0.42    0.46    0.32    0.80
47    0.54    0.72    0.60    0.86    0.89    0.83    0.21    0.84    0.12    0.56    0.42    0.83
48    0.69    0.75    0.70    0.83    0.78    0.88    0.46    0.74    0.33    0.80    0.73    0.88
49    0.67    0.68    0.65    0.81    0.83    0.79    0.67    0.70    0.63    0.52    0.51    0.53
