songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.36    0.36    0.57    0.28    0.20    0.46    0.46    0.30    1.00    0.35    0.59    0.24
2    0.48    0.48    0.59    0.61    0.53    0.72    0.55    0.41    0.85    0.29    0.49    0.21
3    0.47    0.52    0.57    0.70    0.63    0.80    0.43    0.30    0.74    0.26    0.64    0.16
4    0.36    0.29    0.54    0.55    0.49    0.62    0.47    0.33    0.83    0.07    0.04    0.17
5    0.36    0.41    0.41    0.59    0.45    0.86    0.00    0.00    0.00    0.50    0.78    0.36
6    0.48    0.45    0.52    0.93    0.90    0.97    0.51    0.45    0.58    0.00    0.00    0.00
7    0.31    0.24    0.51    0.44    0.39    0.52    0.50    0.33    1.00    0.00    0.00    0.00
8    0.46    0.44    0.56    0.16    0.14    0.18    0.50    0.35    0.85    0.73    0.83    0.65
9    0.66    0.58    0.79    0.78    0.74    0.82    0.49    0.38    0.70    0.72    0.63    0.84
10    0.54    0.44    0.71    0.62    0.51    0.79    0.64    0.47    0.98    0.35    0.33    0.38
11    0.50    0.55    0.53    0.10    0.16    0.07    0.68    0.53    0.96    0.71    0.97    0.56
12    0.52    0.47    0.58    0.93    0.87    1.00    0.00    0.00    0.00    0.62    0.53    0.74
13    0.40    0.34    0.81    0.80    0.79    0.82    0.35    0.22    0.86    0.05    0.03    0.75
14    0.43    0.32    0.63    0.13    0.11    0.16    0.60    0.45    0.87    0.56    0.41    0.87
15    0.43    0.37    0.52    0.41    0.38    0.45    0.30    0.26    0.34    0.59    0.48    0.76
16    0.57    0.44    0.84    0.62    0.51    0.80    0.64    0.48    0.97    0.46    0.33    0.76
17    0.60    0.53    0.72    0.33    0.30    0.37    0.91    0.86    0.97    0.55    0.42    0.81
18    0.58    0.50    0.74    0.85    0.81    0.91    0.41    0.29    0.75    0.48    0.42    0.56
19    0.60    0.68    0.66    0.99    0.98    0.99    0.11    0.50    0.06    0.69    0.56    0.92
20    0.74    0.66    0.84    0.87    0.80    0.94    0.75    0.65    0.88    0.59    0.51    0.70
21    0.29    0.21    0.45    0.03    0.03    0.05    0.28    0.20    0.47    0.55    0.40    0.85
22    0.60    0.47    0.82    0.69    0.55    0.93    0.71    0.58    0.91    0.40    0.29    0.62
23    0.61    0.49    0.83    0.67    0.57    0.80    0.59    0.43    0.93    0.58    0.46    0.76
average    0.49    0.45    0.64    0.57    0.51    0.65    0.47    0.38    0.72    0.44    0.44    0.55
