songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.48    0.42    0.59    0.95    0.93    0.98    0.48    0.35    0.80    0.00    0.00    0.00
2    0.26    0.21    0.35    0.42    0.36    0.51    0.36    0.27    0.53    0.00    0.00    0.00
3    0.50    0.55    0.65    0.27    0.16    0.87    0.40    0.63    0.29    0.83    0.87    0.80
4    0.55    0.48    0.65    0.52    0.48    0.56    0.39    0.30    0.54    0.74    0.66    0.85
5    0.56    0.81    0.44    0.48    0.57    0.42    0.45    0.94    0.30    0.73    0.91    0.61
6    0.47    0.41    0.57    0.71    0.67    0.75    0.00    0.00    0.00    0.71    0.55    0.97
7    0.72    0.63    0.86    0.66    0.63    0.69    0.64    0.49    0.93    0.84    0.76    0.96
8    0.31    0.40    0.53    0.50    0.39    0.71    0.29    0.73    0.18    0.13    0.07    0.71
9    0.57    0.48    0.74    0.45    0.31    0.85    0.60    0.59    0.62    0.64    0.56    0.75
10    0.56    0.50    0.68    0.89    0.82    0.99    0.47    0.45    0.50    0.32    0.22    0.55
11    0.62    0.50    0.81    0.68    0.52    1.00    0.55    0.47    0.66    0.62    0.53    0.77
12    0.64    0.56    0.80    0.81    0.79    0.83    0.40    0.28    0.71    0.72    0.62    0.85
13    0.20    0.18    0.23    0.12    0.12    0.12    0.47    0.41    0.56    0.00    0.00    0.00
14    0.64    0.65    0.65    0.71    0.60    0.88    0.53    0.56    0.50    0.67    0.79    0.59
15    0.51    0.46    0.86    0.19    0.11    0.96    0.70    0.78    0.63    0.65    0.48    0.99
16    0.43    0.30    0.80    0.66    0.49    1.00    0.35    0.22    0.81    0.27    0.17    0.60
17    0.33    0.33    0.38    0.87    0.78    1.00    0.06    0.04    0.10    0.05    0.17    0.03
18    0.16    0.29    0.20    0.20    0.17    0.25    0.25    0.20    0.33    0.04    0.50    0.02
19    0.30    0.35    0.44    0.35    0.28    0.46    0.38    0.26    0.75    0.16    0.50    0.10
20    0.56    0.53    0.60    0.86    0.76    1.00    0.82    0.83    0.81    0.00    0.00    0.00
21    0.60    0.51    0.75    0.57    0.54    0.60    0.52    0.39    0.75    0.71    0.59    0.90
22    0.78    0.83    0.78    0.91    0.84    0.99    0.55    0.79    0.42    0.90    0.86    0.94
23    0.52    0.57    0.52    0.99    1.00    0.97    0.50    0.46    0.54    0.08    0.25    0.05
average    0.49    0.48    0.60    0.60    0.53    0.76    0.44    0.45    0.53    0.43    0.44    0.52
