songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.42    0.32    0.61    0.01    0.01    0.02    0.68    0.53    0.97    0.57    0.44    0.83
2    0.47    0.36    0.75    0.64    0.56    0.73    0.31    0.21    0.63    0.46    0.31    0.90
3    0.27    0.20    0.51    0.08    0.06    0.11    0.36    0.22    0.93    0.37    0.31    0.47
4    0.51    0.43    0.63    0.79    0.68    0.92    0.76    0.62    0.97    0.00    0.00    0.00
5    0.26    0.25    0.26    0.77    0.75    0.78    0.00    0.00    0.00    0.00    0.00    0.00
6    0.51    0.47    0.72    0.68    0.68    0.67    0.25    0.15    0.83    0.62    0.58    0.66
7    0.63    0.56    0.87    0.69    0.65    0.72    0.88    0.82    0.94    0.33    0.20    0.95
8    0.11    0.25    0.08    0.03    0.04    0.03    0.00    0.00    0.00    0.31    0.71    0.20
9    0.45    0.38    0.55    0.21    0.15    0.36    0.46    0.44    0.48    0.66    0.56    0.82
10    0.18    0.12    0.67    0.07    0.05    0.13    0.02    0.01    1.00    0.45    0.30    0.87
11    0.35    0.29    0.50    0.02    0.02    0.03    0.49    0.33    0.93    0.54    0.53    0.55
12    0.30    0.27    0.33    0.03    0.02    0.04    0.00    0.00    0.00    0.86    0.79    0.95
13    0.28    0.19    0.60    0.03    0.02    0.03    0.45    0.29    0.97    0.38    0.25    0.80
14    0.40    0.52    0.45    0.21    0.49    0.13    0.42    0.29    0.75    0.59    0.77    0.47
15    0.31    0.35    0.29    0.04    0.03    0.08    0.27    0.25    0.29    0.61    0.76    0.50
16    0.42    0.33    0.63    0.32    0.24    0.50    0.18    0.11    0.53    0.75    0.65    0.87
17    0.54    0.48    0.70    0.98    0.98    0.99    0.04    0.02    0.12    0.59    0.42    0.97
18    0.67    0.62    0.72    0.60    0.53    0.68    0.66    0.64    0.68    0.75    0.70    0.80
19    0.46    0.47    0.62    0.45    0.36    0.58    0.09    0.05    0.54    0.85    0.98    0.74
20    0.37    0.26    0.67    0.41    0.28    0.73    0.30    0.20    0.54    0.42    0.29    0.72
21    0.49    0.39    0.69    0.45    0.31    0.82    0.58    0.50    0.71    0.44    0.36    0.55
22    0.28    0.24    0.43    0.25    0.21    0.31    0.14    0.08    0.51    0.45    0.42    0.48
23    0.37    0.30    0.51    0.36    0.34    0.39    0.33    0.24    0.52    0.42    0.32    0.61
24    0.40    0.35    0.75    0.62    0.54    0.73    0.11    0.06    1.00    0.47    0.44    0.51
25    0.33    0.27    0.51    0.34    0.22    0.74    0.42    0.33    0.57    0.23    0.27    0.20
26    0.30    0.26    0.39    0.19    0.15    0.24    0.15    0.10    0.36    0.55    0.55    0.55
27    0.37    0.27    0.59    0.27    0.18    0.55    0.27    0.18    0.49    0.56    0.46    0.73
average    0.39    0.34    0.56    0.35    0.32    0.45    0.32    0.25    0.60    0.49    0.46    0.62
