songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.25    0.24    0.41    0.38    0.47    0.32    0.16    0.09    0.50    0.22    0.15    0.42
2    0.56    0.55    0.58    0.58    0.56    0.61    0.38    0.41    0.35    0.73    0.69    0.78
3    0.49    0.54    0.50    0.40    0.34    0.47    0.44    0.69    0.32    0.64    0.59    0.71
4    0.28    0.44    0.43    0.33    0.25    0.51    0.29    0.94    0.17    0.20    0.12    0.60
5    0.57    0.50    0.67    0.52    0.43    0.66    0.46    0.46    0.46    0.71    0.60    0.88
6    0.41    0.57    0.39    0.41    0.50    0.34    0.22    0.69    0.13    0.60    0.53    0.71
7    0.35    0.26    0.61    0.34    0.22    0.73    0.25    0.16    0.55    0.47    0.41    0.56
8    0.44    0.55    0.48    0.59    0.66    0.53    0.41    0.77    0.28    0.32    0.21    0.62
9    0.46    0.43    0.60    0.71    0.66    0.75    0.45    0.48    0.42    0.24    0.15    0.64
10    0.40    0.51    0.36    0.31    0.42    0.25    0.41    0.68    0.29    0.47    0.41    0.55
11    0.43    0.46    0.45    0.43    0.36    0.52    0.30    0.49    0.21    0.57    0.53    0.62
12    0.50    0.55    0.60    0.65    0.61    0.69    0.61    0.88    0.46    0.23    0.14    0.65
13    0.52    0.46    0.60    0.56    0.45    0.74    0.29    0.27    0.31    0.70    0.65    0.76
14    0.40    0.48    0.52    0.33    0.20    0.84    0.25    0.52    0.16    0.61    0.71    0.54
15    0.46    0.51    0.60    0.60    0.93    0.44    0.54    0.47    0.62    0.24    0.14    0.74
16    0.56    0.59    0.61    0.63    0.54    0.77    0.38    0.64    0.27    0.68    0.60    0.78
17    0.60    0.48    0.86    0.65    0.52    0.85    0.42    0.28    0.86    0.74    0.63    0.89
18    0.41    0.56    0.48    0.68    0.84    0.57    0.33    0.69    0.22    0.23    0.14    0.67
19    0.49    0.57    0.51    0.41    0.31    0.62    0.45    0.75    0.32    0.62    0.66    0.58
20    0.50    0.56    0.52    0.43    0.41    0.45    0.56    0.84    0.42    0.52    0.41    0.69
21    0.39    0.34    0.47    0.41    0.37    0.46    0.30    0.22    0.47    0.45    0.43    0.48
22    0.55    0.51    0.63    0.84    0.73    1.00    0.51    0.56    0.47    0.30    0.24    0.42
23    0.67    0.55    0.87    0.89    0.80    1.00    0.56    0.44    0.77    0.56    0.42    0.83
24    0.60    0.51    0.73    0.85    0.74    1.00    0.46    0.41    0.53    0.48    0.38    0.66
25    0.77    0.78    0.79    0.90    0.82    1.00    0.73    0.92    0.61    0.68    0.61    0.77
26    0.79    0.81    0.80    0.84    0.73    1.00    0.72    0.84    0.63    0.81    0.86    0.76
27    0.67    0.72    0.63    0.92    0.88    0.96    0.47    0.60    0.38    0.61    0.68    0.55
28    0.62    0.85    0.57    0.95    0.93    0.97    0.20    0.82    0.11    0.71    0.81    0.64
29    0.69    0.63    0.77    0.91    0.83    1.00    0.60    0.59    0.60    0.56    0.46    0.70
30    0.63    0.71    0.62    0.88    0.80    0.99    0.28    0.59    0.18    0.72    0.75    0.70
31    0.55    0.49    0.63    0.88    0.79    1.00    0.00    0.00    0.00    0.78    0.70    0.88
32    0.70    0.81    0.70    0.98    0.97    1.00    0.40    0.83    0.27    0.71    0.62    0.84
33    0.77    0.71    0.84    0.81    0.76    0.88    0.67    0.62    0.73    0.82    0.76    0.90
34    0.64    0.61    0.66    0.92    0.86    1.00    0.00    0.00    0.00    0.99    0.99    0.99
35    0.75    0.67    0.85    0.89    0.82    0.98    0.50    0.41    0.64    0.84    0.78    0.92
36    0.78    0.73    0.84    0.86    0.76    1.00    0.51    0.47    0.56    0.95    0.95    0.96
37    0.68    0.62    0.84    0.87    0.78    0.97    0.80    0.84    0.76    0.37    0.24    0.81
38    0.79    0.74    0.84    0.85    0.74    1.00    0.61    0.60    0.62    0.90    0.89    0.91
39    0.76    0.65    0.92    0.89    0.81    1.00    0.70    0.56    0.93    0.69    0.59    0.83
40    0.68    0.58    0.85    0.74    0.60    0.98    0.75    0.73    0.77    0.56    0.42    0.81
41    0.81    0.80    0.82    0.91    0.85    0.98    0.73    0.75    0.72    0.78    0.80    0.75
42    0.79    0.74    0.86    0.92    0.85    1.00    0.58    0.50    0.69    0.88    0.88    0.89
43    0.57    0.51    0.71    0.85    0.75    0.97    0.37    0.25    0.69    0.50    0.52    0.48
44    0.45    0.39    0.59    0.67    0.55    0.84    0.34    0.36    0.32    0.36    0.25    0.62
45    0.71    0.66    0.77    0.77    0.69    0.87    0.57    0.57    0.57    0.78    0.71    0.86
46    0.55    0.49    0.70    0.71    0.59    0.87    0.46    0.50    0.42    0.50    0.36    0.82
47    0.49    0.62    0.59    0.80    0.74    0.88    0.17    0.76    0.09    0.51    0.37    0.79
48    0.66    0.71    0.67    0.80    0.73    0.89    0.41    0.68    0.29    0.77    0.72    0.84
49    0.62    0.63    0.63    0.76    0.71    0.81    0.65    0.64    0.67    0.46    0.54    0.39
50    0.65    0.91    0.63    0.93    0.92    0.94    0.22    1.00    0.12    0.81    0.81    0.82
51    0.60    0.72    0.61    0.80    0.73    0.88    0.39    0.88    0.25    0.62    0.55    0.71
52    0.58    0.54    0.67    0.86    0.77    0.97    0.11    0.07    0.28    0.77    0.78    0.75
53    0.57    0.57    0.85    0.91    0.90    0.93    0.13    0.07    1.00    0.68    0.73    0.63
54    0.52    0.51    0.56    0.63    0.56    0.72    0.42    0.55    0.34    0.50    0.42    0.62
55    0.72    0.74    0.70    0.92    0.88    0.97    0.59    0.65    0.53    0.65    0.68    0.62
56    0.73    0.83    0.70    0.82    0.75    0.91    0.50    0.85    0.36    0.86    0.88    0.84
57    0.67    0.84    0.66    0.81    0.71    0.93    0.34    0.91    0.21    0.87    0.89    0.85
58    0.58    0.59    0.63    0.77    0.67    0.92    0.42    0.63    0.32    0.54    0.46    0.65
59    0.61    0.74    0.60    0.82    0.77    0.88    0.28    0.75    0.17    0.73    0.71    0.75
60    0.67    0.75    0.67    0.72    0.61    0.86    0.48    0.83    0.34    0.81    0.80    0.82
61    0.80    0.85    0.77    0.78    0.75    0.81    0.72    0.88    0.60    0.91    0.93    0.90
62    0.67    0.76    0.62    0.79    0.75    0.85    0.42    0.64    0.31    0.78    0.88    0.71
63    0.58    0.63    0.61    0.78    0.68    0.93    0.27    0.58    0.18    0.68    0.63    0.74
