songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.34    0.26    0.54    0.30    0.22    0.49    0.36    0.24    0.74    0.35    0.31    0.40
2    0.52    0.53    0.62    0.62    0.56    0.70    0.51    0.37    0.85    0.43    0.66    0.32
3    0.54    0.50    0.65    0.67    0.58    0.80    0.42    0.30    0.69    0.53    0.62    0.47
4    0.39    0.30    0.73    0.52    0.45    0.62    0.49    0.35    0.83    0.16    0.09    0.75
5    0.38    0.37    0.45    0.66    0.50    0.95    0.00    0.00    0.00    0.49    0.61    0.41
6    0.50    0.47    0.55    0.94    0.90    0.98    0.57    0.50    0.65    0.00    0.00    0.00
7    0.29    0.22    0.48    0.41    0.36    0.48    0.47    0.31    0.96    0.00    0.00    0.00
8    0.43    0.46    0.53    0.17    0.14    0.20    0.51    0.35    0.91    0.61    0.89    0.47
9    0.68    0.62    0.81    0.75    0.71    0.79    0.50    0.36    0.80    0.81    0.78    0.83
10    0.57    0.47    0.74    0.63    0.52    0.79    0.68    0.53    0.98    0.41    0.38    0.45
11    0.56    0.55    0.62    0.18    0.19    0.17    0.67    0.51    0.96    0.83    0.96    0.73
12    0.51    0.48    0.55    0.94    0.90    0.98    0.00    0.00    0.00    0.60    0.54    0.66
13    0.42    0.36    0.90    0.84    0.83    0.85    0.35    0.22    0.86    0.08    0.04    1.00
14    0.40    0.32    0.56    0.12    0.10    0.15    0.61    0.45    0.91    0.49    0.40    0.62
15    0.44    0.37    0.54    0.44    0.40    0.49    0.27    0.21    0.41    0.60    0.50    0.74
16    0.53    0.40    0.79    0.60    0.47    0.84    0.60    0.43    0.99    0.38    0.29    0.53
17    0.59    0.51    0.68    0.34    0.30    0.39    0.84    0.74    0.98    0.58    0.50    0.68
18    0.56    0.48    0.74    0.87    0.83    0.91    0.39    0.26    0.76    0.43    0.36    0.54
19    0.65    0.73    0.66    0.99    0.99    1.00    0.24    0.58    0.15    0.70    0.62    0.82
20    0.72    0.65    0.82    0.87    0.81    0.94    0.72    0.59    0.91    0.59    0.55    0.63
21    0.32    0.30    0.36    0.05    0.03    0.07    0.49    0.43    0.57    0.43    0.43    0.43
22    0.62    0.51    0.79    0.66    0.52    0.91    0.73    0.62    0.89    0.46    0.38    0.56
23    0.67    0.58    0.80    0.72    0.63    0.85    0.72    0.60    0.92    0.56    0.50    0.62
average    0.51    0.45    0.65    0.58    0.52    0.67    0.48    0.39    0.73    0.46    0.45    0.55
