songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.46    0.40    0.57    0.93    0.87    0.98    0.45    0.32    0.71    0.00    0.00    0.00
2    0.27    0.23    0.34    0.45    0.38    0.53    0.37    0.30    0.49    0.00    0.00    0.00
3    0.55    0.59    0.64    0.40    0.28    0.70    0.43    0.72    0.31    0.83    0.76    0.92
4    0.54    0.48    0.65    0.53    0.48    0.58    0.44    0.33    0.68    0.65    0.62    0.69
5    0.61    0.77    0.55    0.53    0.51    0.55    0.49    0.94    0.33    0.81    0.84    0.78
6    0.55    0.49    0.63    0.90    0.86    0.94    0.00    0.00    0.00    0.75    0.62    0.95
7    0.78    0.77    0.82    0.85    0.98    0.75    0.67    0.54    0.88    0.81    0.78    0.84
8    0.30    0.37    0.48    0.51    0.41    0.68    0.31    0.64    0.20    0.08    0.04    0.57
9    0.53    0.48    0.66    0.46    0.32    0.83    0.52    0.54    0.50    0.62    0.59    0.65
10    0.57    0.49    0.69    0.86    0.76    0.99    0.45    0.41    0.51    0.40    0.30    0.58
11    0.66    0.59    0.76    0.83    0.70    1.00    0.58    0.54    0.64    0.57    0.51    0.65
12    0.63    0.59    0.73    0.84    0.80    0.89    0.39    0.28    0.69    0.65    0.68    0.62
13    0.23    0.27    0.23    0.13    0.13    0.12    0.52    0.52    0.53    0.05    0.15    0.03
14    0.40    0.44    0.37    0.00    0.00    0.00    0.53    0.59    0.49    0.67    0.74    0.61
15    0.49    0.44    0.81    0.24    0.13    0.96    0.66    0.76    0.58    0.58    0.42    0.89
16    0.40    0.28    0.72    0.65    0.48    1.00    0.29    0.19    0.62    0.26    0.17    0.54
17    0.34    0.32    0.42    0.84    0.76    0.94    0.12    0.07    0.30    0.05    0.12    0.03
18    0.14    0.26    0.20    0.15    0.14    0.17    0.22    0.15    0.42    0.04    0.50    0.02
19    0.44    0.42    0.56    0.44    0.35    0.62    0.31    0.21    0.58    0.56    0.70    0.47
20    0.49    0.43    0.59    0.83    0.70    1.00    0.66    0.57    0.77    0.00    0.00    0.00
21    0.64    0.60    0.69    0.64    0.61    0.66    0.50    0.49    0.52    0.78    0.70    0.88
22    0.73    0.81    0.74    0.90    0.82    0.99    0.44    0.80    0.30    0.87    0.81    0.93
23    0.60    0.61    0.62    0.97    0.97    0.97    0.52    0.44    0.62    0.32    0.41    0.26
average    0.49    0.48    0.59    0.60    0.54    0.73    0.43    0.45    0.51    0.45    0.46    0.52
