songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.41    0.31    0.61    0.04    0.03    0.05    0.64    0.48    0.98    0.56    0.43    0.81
2    0.40    0.29    0.69    0.46    0.38    0.57    0.25    0.16    0.55    0.48    0.32    0.96
3    0.28    0.20    0.57    0.03    0.02    0.04    0.23    0.13    0.91    0.58    0.46    0.76
4    0.54    0.47    0.62    0.76    0.66    0.90    0.85    0.76    0.97    0.00    0.00    0.00
5    0.22    0.20    0.25    0.66    0.59    0.75    0.00    0.00    0.00    0.00    0.00    0.00
6    0.50    0.45    0.74    0.63    0.63    0.64    0.25    0.14    0.87    0.63    0.57    0.71
7    0.59    0.51    0.82    0.60    0.56    0.64    0.83    0.75    0.94    0.34    0.21    0.89
8    0.12    0.23    0.08    0.01    0.01    0.01    0.00    0.00    0.00    0.36    0.68    0.24
9    0.48    0.46    0.55    0.25    0.17    0.47    0.57    0.61    0.54    0.62    0.61    0.63
10    0.14    0.10    0.57    0.03    0.02    0.04    0.01    0.01    1.00    0.38    0.27    0.69
11    0.34    0.29    0.52    0.04    0.03    0.06    0.41    0.26    0.95    0.57    0.58    0.56
12    0.23    0.23    0.24    0.06    0.04    0.14    0.00    0.00    0.00    0.62    0.66    0.59
13    0.26    0.18    0.54    0.03    0.02    0.03    0.42    0.26    0.99    0.35    0.25    0.59
14    0.41    0.50    0.47    0.20    0.32    0.15    0.51    0.35    0.90    0.51    0.82    0.38
15    0.31    0.35    0.30    0.05    0.04    0.08    0.26    0.23    0.31    0.62    0.80    0.51
16    0.39    0.31    0.60    0.28    0.20    0.46    0.18    0.10    0.55    0.70    0.64    0.79
17    0.53    0.46    0.72    0.99    0.98    0.99    0.06    0.03    0.21    0.53    0.37    0.96
18    0.66    0.65    0.70    0.65    0.56    0.78    0.69    0.67    0.71    0.65    0.72    0.60
19    0.40    0.45    0.64    0.43    0.34    0.61    0.12    0.06    0.83    0.64    0.96    0.48
20    0.35    0.25    0.62    0.37    0.26    0.70    0.32    0.21    0.65    0.37    0.28    0.52
21    0.47    0.38    0.65    0.46    0.33    0.79    0.55    0.45    0.70    0.41    0.36    0.47
22    0.28    0.21    0.47    0.24    0.17    0.40    0.14    0.08    0.46    0.45    0.39    0.54
23    0.38    0.31    0.54    0.36    0.33    0.39    0.40    0.28    0.69    0.38    0.30    0.52
24    0.36    0.26    0.76    0.31    0.22    0.56    0.18    0.10    1.00    0.58    0.47    0.74
25    0.30    0.26    0.46    0.29    0.19    0.62    0.38    0.28    0.57    0.23    0.30    0.19
26    0.39    0.35    0.54    0.18    0.14    0.25    0.39    0.26    0.84    0.59    0.67    0.53
27    0.35    0.26    0.68    0.26    0.16    0.67    0.26    0.16    0.72    0.54    0.46    0.67
average    0.37    0.33    0.55    0.32    0.27    0.44    0.33    0.25    0.66    0.47    0.47    0.57
