songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.29    0.22    0.57    0.41    0.36    0.46    0.13    0.07    0.60    0.33    0.22    0.66
2    0.67    0.60    0.79    0.63    0.49    0.88    0.59    0.55    0.64    0.80    0.75    0.85
3    0.58    0.48    0.74    0.49    0.36    0.77    0.56    0.47    0.69    0.67    0.60    0.77
4    0.36    0.48    0.55    0.35    0.24    0.69    0.32    0.92    0.19    0.40    0.27    0.77
5    0.62    0.60    0.72    0.54    0.40    0.83    0.55    0.68    0.46    0.78    0.70    0.87
6    0.61    0.58    0.68    0.55    0.43    0.76    0.57    0.67    0.50    0.70    0.63    0.79
7    0.31    0.27    0.56    0.14    0.08    0.65    0.12    0.07    0.36    0.67    0.66    0.68
8    0.58    0.74    0.56    0.68    0.82    0.59    0.45    0.91    0.30    0.60    0.48    0.79
9    0.48    0.40    0.69    0.67    0.55    0.86    0.39    0.38    0.39    0.39    0.25    0.81
10    0.53    0.66    0.46    0.54    0.67    0.45    0.48    0.75    0.35    0.56    0.56    0.57
11    0.46    0.49    0.46    0.42    0.36    0.50    0.39    0.52    0.32    0.57    0.58    0.57
12    0.48    0.56    0.64    0.63    0.56    0.72    0.54    0.97    0.37    0.27    0.16    0.83
13    0.56    0.48    0.72    0.47    0.34    0.74    0.47    0.36    0.67    0.74    0.73    0.76
14    0.57    0.56    0.71    0.38    0.24    0.91    0.58    0.68    0.51    0.73    0.75    0.71
15    0.57    0.53    0.72    0.66    0.69    0.64    0.75    0.71    0.80    0.29    0.18    0.71
16    0.60    0.53    0.74    0.49    0.35    0.83    0.59    0.52    0.67    0.71    0.71    0.72
17    0.61    0.53    0.79    0.44    0.30    0.82    0.68    0.57    0.82    0.72    0.73    0.72
18    0.55    0.60    0.64    0.79    0.77    0.81    0.59    0.87    0.45    0.28    0.17    0.67
19    0.58    0.53    0.75    0.32    0.20    0.78    0.68    0.67    0.70    0.74    0.73    0.75
20    0.68    0.60    0.80    0.47    0.35    0.73    0.86    0.83    0.89    0.70    0.63    0.79
21    0.47    0.38    0.63    0.44    0.33    0.65    0.45    0.41    0.51    0.52    0.40    0.72
22    0.53    0.51    0.59    0.82    0.69    1.00    0.48    0.61    0.40    0.29    0.24    0.37
23    0.75    0.67    0.85    0.85    0.74    1.00    0.75    0.68    0.84    0.64    0.58    0.72
24    0.61    0.54    0.72    0.87    0.78    0.99    0.43    0.39    0.47    0.55    0.45    0.69
25    0.73    0.76    0.78    0.80    0.66    1.00    0.67    0.97    0.51    0.73    0.64    0.84
26    0.75    0.87    0.71    0.82    0.71    0.98    0.81    0.97    0.70    0.62    0.94    0.46
27    0.67    0.69    0.69    0.84    0.72    1.00    0.53    0.54    0.51    0.65    0.81    0.55
28    0.66    0.84    0.60    0.94    0.89    0.99    0.28    0.71    0.17    0.75    0.92    0.64
29    0.65    0.64    0.67    0.85    0.74    1.00    0.56    0.59    0.52    0.53    0.58    0.48
30    0.55    0.64    0.54    0.84    0.74    0.97    0.27    0.30    0.25    0.55    0.88    0.40
31    0.54    0.53    0.57    0.84    0.72    1.00    0.00    0.00    0.00    0.78    0.87    0.71
32    0.74    0.74    0.77    0.86    0.76    1.00    0.54    0.68    0.45    0.82    0.78    0.86
33    0.80    0.74    0.91    0.74    0.60    0.98    0.80    0.71    0.92    0.87    0.90    0.84
34    0.51    0.52    0.57    0.71    0.55    1.00    0.00    0.00    0.00    0.83    1.00    0.70
35    0.70    0.62    0.86    0.70    0.55    0.96    0.45    0.33    0.72    0.94    0.97    0.90
36    0.70    0.67    0.83    0.56    0.39    0.98    0.64    0.62    0.67    0.91    0.99    0.84
37    0.76    0.69    0.85    0.82    0.70    1.00    0.95    0.96    0.94    0.49    0.41    0.61
38    0.78    0.76    0.81    0.79    0.68    0.94    0.66    0.63    0.69    0.89    0.99    0.80
39    0.84    0.80    0.91    0.84    0.73    1.00    0.83    0.74    0.96    0.85    0.93    0.78
40    0.75    0.68    0.87    0.74    0.59    0.98    0.80    0.85    0.75    0.71    0.59    0.89
41    0.83    0.82    0.88    0.82    0.70    0.97    0.85    0.75    0.98    0.81    1.00    0.69
42    0.74    0.68    0.89    0.82    0.70    0.98    0.56    0.39    0.94    0.83    0.95    0.74
43    0.63    0.56    0.74    0.83    0.70    1.00    0.42    0.37    0.49    0.65    0.59    0.73
44    0.47    0.39    0.60    0.64    0.54    0.80    0.43    0.39    0.48    0.33    0.24    0.54
45    0.74    0.68    0.81    0.80    0.71    0.92    0.58    0.54    0.63    0.82    0.77    0.87
46    0.57    0.50    0.72    0.75    0.65    0.88    0.44    0.46    0.42    0.53    0.38    0.86
47    0.54    0.65    0.58    0.85    0.84    0.87    0.22    0.66    0.13    0.55    0.44    0.73
48    0.69    0.82    0.64    0.87    0.83    0.90    0.46    0.80    0.32    0.75    0.83    0.68
49    0.64    0.63    0.66    0.78    0.74    0.82    0.63    0.57    0.71    0.51    0.59    0.44
50    0.76    0.90    0.70    0.90    0.85    0.97    0.60    0.95    0.44    0.78    0.90    0.68
51    0.62    0.72    0.61    0.83    0.76    0.91    0.41    0.78    0.28    0.63    0.63    0.64
52    0.57    0.54    0.70    0.83    0.71    0.99    0.10    0.06    0.39    0.78    0.85    0.72
