songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.35    0.27    0.60    0.23    0.15    0.44    0.44    0.29    0.96    0.38    0.37    0.40
2    0.48    0.48    0.62    0.67    0.59    0.78    0.46    0.31    0.85    0.32    0.54    0.23
3    0.53    0.54    0.61    0.69    0.60    0.81    0.52    0.40    0.76    0.37    0.61    0.27
4    0.36    0.28    0.54    0.52    0.43    0.67    0.49    0.36    0.78    0.08    0.05    0.17
5    0.36    0.37    0.44    0.56    0.40    0.90    0.00    0.00    0.00    0.51    0.72    0.40
6    0.49    0.45    0.54    0.93    0.89    0.97    0.55    0.47    0.65    0.00    0.00    0.00
7    0.34    0.27    0.48    0.38    0.32    0.45    0.64    0.47    1.00    0.00    0.00    0.00
8    0.43    0.45    0.53    0.19    0.16    0.24    0.43    0.29    0.79    0.69    0.91    0.56
9    0.68    0.58    0.92    0.63    0.47    0.96    0.52    0.36    0.93    0.88    0.91    0.86
10    0.55    0.45    0.72    0.62    0.51    0.79    0.60    0.45    0.90    0.43    0.40    0.47
11    0.58    0.57    0.60    0.13    0.14    0.12    0.81    0.69    0.96    0.79    0.88    0.72
12    0.51    0.45    0.60    0.90    0.81    1.00    0.00    0.00    0.00    0.63    0.52    0.79
13    0.38    0.27    0.91    0.59    0.45    0.85    0.48    0.33    0.89    0.08    0.04    1.00
14    0.44    0.33    0.69    0.20    0.14    0.38    0.52    0.36    0.94    0.60    0.49    0.76
15    0.46    0.39    0.58    0.42    0.40    0.46    0.30    0.22    0.46    0.65    0.54    0.82
16    0.53    0.39    0.86    0.61    0.45    0.96    0.51    0.35    1.00    0.47    0.38    0.62
17    0.52    0.42    0.70    0.40    0.36    0.47    0.68    0.52    0.98    0.49    0.39    0.65
18    0.63    0.53    0.79    0.83    0.76    0.91    0.50    0.37    0.77    0.56    0.47    0.69
19    0.69    0.70    0.69    0.98    0.96    1.00    0.38    0.48    0.31    0.71    0.67    0.74
20    0.70    0.60    0.84    0.78    0.67    0.94    0.68    0.55    0.89    0.63    0.58    0.68
21    0.37    0.28    0.59    0.07    0.05    0.11    0.44    0.29    0.94    0.58    0.50    0.71
22    0.62    0.49    0.85    0.66    0.52    0.93    0.68    0.55    0.88    0.52    0.40    0.74
23    0.56    0.43    0.84    0.58    0.43    0.88    0.51    0.36    0.89    0.60    0.51    0.74
average    0.50    0.43    0.67    0.55    0.46    0.70    0.48    0.37    0.76    0.48    0.47    0.57
