songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.47    0.41    0.60    0.95    0.91    0.98    0.47    0.33    0.83    0.00    0.00    0.00
2    0.31    0.27    0.38    0.56    0.51    0.62    0.39    0.30    0.53    0.00    0.00    0.00
3    0.47    0.50    0.69    0.20    0.11    0.90    0.39    0.60    0.29    0.83    0.78    0.88
4    0.55    0.48    0.66    0.50    0.44    0.58    0.43    0.33    0.61    0.72    0.66    0.79
5    0.60    0.75    0.56    0.56    0.51    0.62    0.47    0.93    0.32    0.78    0.82    0.74
6    0.54    0.50    0.59    0.80    0.79    0.81    0.00    0.00    0.00    0.81    0.71    0.95
7    0.70    0.63    0.86    0.80    0.75    0.86    0.40    0.27    0.78    0.90    0.86    0.95
8    0.30    0.37    0.51    0.49    0.41    0.63    0.29    0.63    0.19    0.13    0.07    0.71
9    0.55    0.54    0.69    0.49    0.33    1.00    0.55    0.65    0.49    0.62    0.64    0.59
10    0.59    0.51    0.70    0.83    0.72    0.99    0.47    0.43    0.51    0.46    0.36    0.61
11    0.65    0.53    0.85    0.65    0.48    1.00    0.68    0.57    0.84    0.61    0.54    0.70
12    0.68    0.64    0.74    0.89    0.88    0.90    0.42    0.36    0.50    0.74    0.69    0.81
13    0.21    0.18    0.25    0.15    0.14    0.16    0.47    0.39    0.59    0.00    0.00    0.00
14    0.63    0.67    0.63    0.73    0.63    0.86    0.49    0.56    0.44    0.68    0.82    0.58
15    0.53    0.44    0.86    0.26    0.15    1.00    0.64    0.64    0.65    0.68    0.54    0.93
16    0.41    0.29    0.77    0.63    0.46    0.99    0.31    0.20    0.62    0.30    0.19    0.70
17    0.38    0.38    0.53    0.83    0.74    0.94    0.23    0.14    0.60    0.10    0.25    0.06
18    0.19    0.30    0.34    0.29    0.25    0.33    0.25    0.15    0.67    0.04    0.50    0.02
19    0.42    0.43    0.51    0.33    0.26    0.46    0.37    0.26    0.62    0.55    0.76    0.44
20    0.57    0.51    0.63    0.85    0.74    1.00    0.85    0.80    0.90    0.00    0.00    0.00
21    0.68    0.60    0.80    0.51    0.49    0.53    0.71    0.58    0.90    0.83    0.72    0.97
22    0.77    0.80    0.79    0.82    0.70    0.98    0.57    0.80    0.44    0.91    0.89    0.94
23    0.51    0.61    0.57    0.96    0.95    0.97    0.50    0.39    0.71    0.06    0.50    0.03
average    0.51    0.49    0.63    0.61    0.54    0.79    0.45    0.45    0.57    0.47    0.49    0.54
