songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.49    0.39    0.67    0.29    0.21    0.43    0.68    0.54    0.92    0.50    0.41    0.65
2    0.44    0.33    0.72    0.56    0.48    0.69    0.29    0.18    0.64    0.46    0.32    0.83
3    0.31    0.24    0.55    0.11    0.08    0.19    0.35    0.22    0.96    0.45    0.42    0.49
4    0.51    0.42    0.63    0.74    0.61    0.94    0.78    0.65    0.97    0.00    0.00    0.00
5    0.24    0.22    0.26    0.71    0.66    0.78    0.00    0.00    0.00    0.00    0.00    0.00
6    0.48    0.44    0.62    0.65    0.63    0.67    0.15    0.09    0.55    0.62    0.60    0.65
7    0.66    0.58    0.81    0.55    0.52    0.59    0.85    0.82    0.89    0.57    0.41    0.95
8    0.08    0.24    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.24    0.72    0.14
9    0.52    0.50    0.59    0.27    0.18    0.50    0.61    0.65    0.58    0.68    0.67    0.68
10    0.18    0.12    0.65    0.09    0.06    0.21    0.02    0.01    1.00    0.43    0.30    0.72
11    0.34    0.31    0.50    0.03    0.02    0.05    0.44    0.29    0.98    0.54    0.63    0.47
12    0.31    0.29    0.33    0.04    0.03    0.08    0.00    0.00    0.00    0.88    0.83    0.93
13    0.25    0.17    0.52    0.04    0.03    0.04    0.33    0.20    0.88    0.40    0.29    0.64
14    0.41    0.46    0.51    0.18    0.29    0.13    0.37    0.24    0.84    0.68    0.84    0.57
15    0.30    0.35    0.30    0.09    0.06    0.14    0.28    0.24    0.32    0.55    0.76    0.43
16    0.35    0.31    0.50    0.23    0.19    0.29    0.18    0.10    0.58    0.64    0.64    0.65
17    0.50    0.42    0.66    0.93    0.87    1.00    0.03    0.02    0.10    0.54    0.39    0.87
18    0.75    0.77    0.74    0.69    0.65    0.73    0.75    0.89    0.65    0.79    0.76    0.83
19    0.36    0.46    0.58    0.42    0.31    0.64    0.13    0.07    0.75    0.52    1.00    0.35
20    0.35    0.25    0.63    0.40    0.26    0.79    0.26    0.17    0.58    0.38    0.30    0.53
21    0.49    0.40    0.66    0.47    0.33    0.84    0.55    0.47    0.66    0.44    0.39    0.50
22    0.26    0.23    0.48    0.22    0.16    0.37    0.19    0.11    0.69    0.39    0.41    0.36
23    0.35    0.29    0.49    0.38    0.33    0.44    0.31    0.21    0.60    0.37    0.32    0.43
24    0.36    0.30    0.75    0.36    0.25    0.62    0.14    0.07    1.00    0.59    0.57    0.62
25    0.31    0.27    0.50    0.30    0.19    0.70    0.42    0.31    0.63    0.20    0.29    0.15
26    0.42    0.36    0.62    0.17    0.14    0.21    0.34    0.21    0.89    0.74    0.72    0.75
27    0.33    0.27    0.53    0.23    0.15    0.54    0.24    0.16    0.49    0.52    0.50    0.54
average    0.38    0.35    0.55    0.34    0.29    0.47    0.32    0.26    0.64    0.49    0.50    0.55
