songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.32    0.28    0.53    0.38    0.45    0.33    0.08    0.04    0.40    0.51    0.36    0.85
2    0.68    0.63    0.77    0.60    0.46    0.87    0.52    0.54    0.50    0.92    0.90    0.94
3    0.61    0.55    0.70    0.48    0.38    0.66    0.55    0.49    0.61    0.80    0.76    0.84
4    0.51    0.53    0.61    0.34    0.24    0.55    0.54    0.83    0.40    0.64    0.51    0.87
5    0.64    0.60    0.74    0.54    0.41    0.82    0.53    0.61    0.46    0.86    0.80    0.93
6    0.56    0.57    0.57    0.51    0.47    0.57    0.44    0.57    0.36    0.72    0.67    0.80
7    0.45    0.36    0.78    0.17    0.09    0.81    0.36    0.25    0.64    0.82    0.75    0.90
8    0.63    0.71    0.61    0.65    0.62    0.68    0.44    0.73    0.31    0.79    0.77    0.82
9    0.66    0.59    0.77    0.72    0.64    0.82    0.54    0.51    0.58    0.73    0.61    0.91
10    0.56    0.69    0.53    0.56    0.51    0.61    0.37    0.77    0.25    0.75    0.79    0.72
11    0.42    0.53    0.40    0.44    0.38    0.52    0.19    0.50    0.12    0.63    0.70    0.57
12    0.65    0.63    0.76    0.69    0.62    0.78    0.73    0.89    0.62    0.53    0.38    0.87
13    0.60    0.56    0.71    0.45    0.32    0.78    0.46    0.48    0.44    0.90    0.89    0.90
14    0.51    0.62    0.63    0.34    0.21    0.87    0.32    0.72    0.21    0.87    0.92    0.83
15    0.56    0.48    0.70    0.61    0.60    0.62    0.60    0.47    0.82    0.46    0.36    0.65
16    0.67    0.67    0.74    0.56    0.40    0.89    0.50    0.64    0.42    0.95    0.97    0.92
17    0.68    0.63    0.77    0.54    0.44    0.72    0.63    0.52    0.79    0.86    0.93    0.81
18    0.63    0.60    0.75    0.70    0.79    0.63    0.67    0.62    0.73    0.52    0.37    0.88
19    0.64    0.58    0.81    0.36    0.24    0.78    0.72    0.62    0.86    0.83    0.90    0.77
20    0.71    0.67    0.78    0.47    0.36    0.69    0.84    0.86    0.82    0.82    0.80    0.84
21    0.50    0.39    0.70    0.52    0.41    0.74    0.35    0.28    0.49    0.63    0.49    0.87
22    0.59    0.60    0.63    0.83    0.75    0.95    0.56    0.75    0.44    0.38    0.30    0.51
23    0.78    0.71    0.86    0.83    0.78    0.89    0.77    0.71    0.85    0.73    0.63    0.85
24    0.68    0.64    0.74    0.86    0.87    0.84    0.45    0.45    0.44    0.73    0.60    0.94
25    0.79    0.84    0.78    0.85    0.74    1.00    0.72    0.95    0.58    0.79    0.84    0.75
26    0.76    0.85    0.71    0.81    0.78    0.86    0.76    0.81    0.71    0.72    0.97    0.57
27    0.75    0.81    0.70    0.90    0.92    0.87    0.62    0.69    0.56    0.73    0.82    0.67
28    0.67    0.90    0.59    0.91    0.94    0.88    0.41    0.95    0.26    0.71    0.81    0.63
29    0.68    0.76    0.66    0.90    0.81    1.00    0.55    0.84    0.41    0.61    0.65    0.58
30    0.62    0.74    0.59    0.80    0.70    0.93    0.34    0.67    0.23    0.72    0.85    0.62
31    0.56    0.53    0.61    0.82    0.69    1.00    0.00    0.00    0.00    0.86    0.89    0.83
32    0.79    0.84    0.78    0.94    0.89    0.98    0.59    0.81    0.47    0.85    0.82    0.88
33    0.80    0.82    0.78    0.60    0.55    0.65    0.88    0.97    0.81    0.91    0.94    0.89
34    0.52    0.51    0.55    0.61    0.52    0.75    0.00    0.00    0.00    0.94    1.00    0.89
35    0.81    0.80    0.83    0.75    0.70    0.80    0.72    0.71    0.72    0.97    0.99    0.96
36    0.81    0.85    0.79    0.73    0.65    0.83    0.75    0.91    0.63    0.94    0.99    0.90
37    0.79    0.72    0.90    0.80    0.74    0.87    0.92    0.90    0.94    0.66    0.52    0.88
38    0.82    0.84    0.83    0.79    0.68    0.94    0.77    0.88    0.68    0.91    0.97    0.87
39    0.87    0.83    0.92    0.84    0.79    0.89    0.90    0.84    0.96    0.89    0.87    0.91
40    0.78    0.73    0.88    0.73    0.60    0.95    0.84    0.94    0.76    0.77    0.66    0.92
41    0.90    0.92    0.88    0.88    0.85    0.91    0.98    0.98    0.98    0.84    0.93    0.76
42    0.87    0.86    0.88    0.82    0.74    0.92    0.90    0.93    0.88    0.88    0.91    0.85
43    0.65    0.56    0.78    0.78    0.71    0.87    0.45    0.37    0.59    0.72    0.60    0.88
44    0.50    0.41    0.68    0.63    0.52    0.81    0.49    0.46    0.53    0.38    0.26    0.69
45    0.69    0.63    0.76    0.64    0.56    0.77    0.57    0.52    0.63    0.85    0.83    0.88
46    0.60    0.54    0.71    0.69    0.62    0.78    0.49    0.50    0.47    0.63    0.49    0.88
47    0.52    0.61    0.61    0.72    0.62    0.85    0.25    0.74    0.15    0.58    0.45    0.82
48    0.71    0.79    0.69    0.79    0.71    0.89    0.50    0.82    0.36    0.83    0.83    0.82
49    0.65    0.62    0.68    0.73    0.66    0.81    0.68    0.62    0.75    0.53    0.59    0.49
50    0.77    0.88    0.71    0.78    0.75    0.82    0.64    0.95    0.48    0.88    0.93    0.84
51    0.64    0.72    0.64    0.70    0.61    0.82    0.51    0.86    0.36    0.71    0.68    0.74
52    0.55    0.51    0.71    0.66    0.57    0.79    0.14    0.08    0.50    0.86    0.87    0.84
53    0.54    0.52    0.80    0.65    0.64    0.68    0.21    0.12    1.00    0.76    0.81    0.72
54    0.60    0.58    0.63    0.65    0.56    0.77    0.54    0.60    0.49    0.60    0.57    0.63
