songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.37    0.34    0.54    0.27    0.19    0.44    0.56    0.39    0.96    0.30    0.44    0.22
2    0.47    0.49    0.62    0.61    0.50    0.78    0.49    0.34    0.87    0.33    0.63    0.22
3    0.48    0.47    0.54    0.72    0.66    0.80    0.34    0.25    0.55    0.37    0.51    0.29
4    0.34    0.30    0.46    0.44    0.49    0.41    0.44    0.30    0.80    0.13    0.11    0.17
5    0.41    0.42    0.45    0.62    0.49    0.86    0.00    0.00    0.00    0.61    0.78    0.50
6    0.52    0.50    0.55    0.96    0.94    0.98    0.60    0.56    0.65    0.00    0.00    0.00
7    0.23    0.17    0.44    0.28    0.22    0.36    0.43    0.27    0.96    0.00    0.00    0.00
8    0.44    0.42    0.56    0.20    0.15    0.28    0.45    0.31    0.82    0.68    0.80    0.59
9    0.67    0.61    0.85    0.69    0.59    0.82    0.45    0.30    0.90    0.88    0.93    0.83
10    0.55    0.43    0.77    0.54    0.42    0.76    0.62    0.45    1.00    0.48    0.42    0.56
11    0.52    0.49    0.64    0.18    0.20    0.17    0.51    0.35    0.96    0.85    0.92    0.79
12    0.52    0.47    0.59    0.88    0.84    0.94    0.00    0.00    0.00    0.67    0.57    0.82
13    0.38    0.32    0.83    0.72    0.71    0.72    0.33    0.21    0.75    0.09    0.04    1.00
14    0.48    0.36    0.71    0.17    0.13    0.25    0.61    0.45    0.96    0.66    0.52    0.92
15    0.46    0.38    0.61    0.41    0.42    0.40    0.29    0.21    0.51    0.67    0.53    0.93
16    0.64    0.51    0.87    0.67    0.58    0.78    0.62    0.45    1.00    0.64    0.51    0.84
17    0.60    0.52    0.74    0.46    0.47    0.46    0.83    0.72    0.98    0.50    0.37    0.77
18    0.57    0.48    0.77    0.84    0.80    0.87    0.35    0.23    0.75    0.52    0.42    0.68
19    0.66    0.67    0.67    0.93    0.95    0.91    0.34    0.48    0.27    0.69    0.59    0.84
20    0.75    0.68    0.85    0.90    0.85    0.94    0.73    0.61    0.89    0.63    0.58    0.70
21    0.34    0.27    0.46    0.06    0.04    0.08    0.34    0.28    0.42    0.63    0.50    0.87
22    0.59    0.46    0.82    0.72    0.58    0.93    0.60    0.45    0.91    0.44    0.34    0.63
23    0.59    0.50    0.76    0.56    0.58    0.54    0.58    0.43    0.92    0.63    0.51    0.81
average    0.50    0.45    0.66    0.56    0.51    0.63    0.46    0.35    0.73    0.50    0.48    0.61
