songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.45    0.38    0.59    0.90    0.83    0.98    0.44    0.31    0.80    0.00    0.00    0.00
2    0.28    0.23    0.38    0.48    0.43    0.55    0.35    0.25    0.58    0.00    0.00    0.00
3    0.46    0.54    0.62    0.21    0.12    0.87    0.41    0.65    0.31    0.76    0.85    0.69
4    0.54    0.45    0.67    0.45    0.39    0.52    0.40    0.29    0.61    0.77    0.68    0.88
5    0.56    0.79    0.48    0.54    0.48    0.62    0.48    0.92    0.33    0.65    0.98    0.49
6    0.44    0.39    0.50    0.54    0.51    0.56    0.00    0.00    0.00    0.78    0.66    0.95
7    0.62    0.55    0.75    0.41    0.36    0.48    0.56    0.41    0.90    0.88    0.89    0.87
8    0.29    0.38    0.55    0.48    0.36    0.75    0.30    0.74    0.19    0.10    0.05    0.71
9    0.60    0.62    0.66    0.49    0.35    0.80    0.60    0.65    0.55    0.72    0.85    0.62
10    0.61    0.55    0.70    0.85    0.74    0.99    0.54    0.52    0.55    0.44    0.38    0.55
11    0.65    0.52    0.88    0.64    0.47    0.99    0.57    0.43    0.85    0.72    0.66    0.80
12    0.65    0.57    0.80    0.74    0.68    0.82    0.40    0.27    0.72    0.81    0.76    0.87
13    0.19    0.22    0.24    0.12    0.12    0.12    0.40    0.31    0.56    0.05    0.22    0.03
14    0.52    0.57    0.51    0.67    0.57    0.81    0.52    0.58    0.48    0.35    0.56    0.26
15    0.57    0.54    0.79    0.33    0.20    0.96    0.72    0.82    0.64    0.67    0.59    0.77
16    0.42    0.29    0.83    0.67    0.50    1.00    0.29    0.17    0.86    0.30    0.20    0.64
17    0.40    0.42    0.51    0.87    0.81    0.94    0.19    0.12    0.50    0.14    0.33    0.09
18    0.15    0.27    0.26    0.20    0.17    0.25    0.21    0.13    0.50    0.04    0.50    0.02
19    0.30    0.35    0.45    0.32    0.24    0.46    0.37    0.25    0.75    0.21    0.57    0.13
20    0.48    0.37    0.66    0.75    0.60    1.00    0.68    0.53    0.97    0.00    0.00    0.00
21    0.66    0.57    0.82    0.63    0.61    0.64    0.54    0.38    0.90    0.81    0.72    0.92
22    0.78    0.84    0.77    0.89    0.82    0.96    0.54    0.76    0.41    0.92    0.93    0.92
23    0.49    0.61    0.62    0.87    0.78    0.97    0.47    0.33    0.79    0.15    0.71    0.08
average    0.48    0.48    0.61    0.57    0.48    0.74    0.43    0.43    0.60    0.45    0.53    0.49
