songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.33    0.24    0.53    0.05    0.04    0.07    0.44    0.30    0.88    0.49    0.40    0.63
2    0.49    0.41    0.68    0.65    0.57    0.75    0.41    0.40    0.43    0.40    0.26    0.85
3    0.31    0.23    0.61    0.13    0.09    0.20    0.23    0.13    0.96    0.55    0.48    0.66
4    0.50    0.43    0.60    0.78    0.74    0.83    0.70    0.55    0.97    0.00    0.00    0.00
5    0.24    0.22    0.26    0.72    0.66    0.79    0.00    0.00    0.00    0.00    0.00    0.00
6    0.49    0.46    0.65    0.66    0.66    0.65    0.19    0.11    0.65    0.63    0.62    0.64
7    0.71    0.64    0.81    0.62    0.62    0.62    0.85    0.80    0.92    0.65    0.51    0.89
8    0.13    0.28    0.09    0.03    0.02    0.03    0.00    0.00    0.00    0.37    0.83    0.24
9    0.47    0.40    0.60    0.25    0.17    0.50    0.51    0.43    0.63    0.63    0.60    0.67
10    0.18    0.13    0.66    0.10    0.07    0.24    0.01    0.01    1.00    0.43    0.31    0.74
11    0.35    0.28    0.55    0.10    0.07    0.17    0.43    0.28    0.93    0.52    0.49    0.55
12    0.32    0.28    0.37    0.12    0.10    0.16    0.00    0.00    0.00    0.83    0.74    0.96
13    0.24    0.16    0.51    0.02    0.02    0.03    0.37    0.23    0.94    0.33    0.24    0.56
14    0.33    0.38    0.38    0.14    0.28    0.10    0.18    0.11    0.46    0.66    0.75    0.58
15    0.33    0.37    0.37    0.13    0.09    0.28    0.28    0.23    0.35    0.59    0.79    0.47
16    0.36    0.31    0.51    0.23    0.21    0.26    0.15    0.09    0.47    0.70    0.62    0.81
17    0.50    0.44    0.68    0.96    0.95    0.97    0.03    0.01    0.10    0.53    0.37    0.96
18    0.63    0.58    0.71    0.40    0.30    0.61    0.73    0.72    0.74    0.76    0.73    0.79
19    0.42    0.45    0.61    0.40    0.30    0.60    0.09    0.05    0.58    0.77    0.98    0.64
20    0.34    0.24    0.60    0.37    0.24    0.76    0.24    0.15    0.52    0.40    0.32    0.53
21    0.49    0.39    0.68    0.46    0.32    0.80    0.53    0.43    0.70    0.48    0.43    0.55
22    0.27    0.23    0.45    0.27    0.21    0.38    0.16    0.09    0.61    0.37    0.38    0.36
23    0.38    0.30    0.55    0.36    0.32    0.40    0.37    0.25    0.66    0.40    0.31    0.57
24    0.34    0.26    0.75    0.50    0.34    0.89    0.10    0.05    0.89    0.42    0.39    0.46
25    0.30    0.23    0.54    0.29    0.18    0.74    0.36    0.25    0.64    0.26    0.28    0.24
26    0.36    0.33    0.55    0.20    0.16    0.25    0.25    0.15    0.76    0.65    0.68    0.62
27    0.35    0.26    0.60    0.25    0.16    0.62    0.22    0.14    0.51    0.58    0.50    0.68
average    0.38    0.33    0.55    0.34    0.29    0.47    0.29    0.22    0.60    0.50    0.48    0.58
