songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.39    0.37    0.52    0.40    0.44    0.37    0.12    0.07    0.50    0.66    0.61    0.70
2    0.67    0.62    0.75    0.60    0.48    0.79    0.52    0.46    0.61    0.89    0.93    0.85
3    0.62    0.66    0.58    0.44    0.41    0.49    0.63    0.71    0.57    0.77    0.88    0.68
4    0.43    0.60    0.45    0.34    0.26    0.49    0.34    0.93    0.21    0.62    0.61    0.63
5    0.62    0.58    0.70    0.54    0.41    0.77    0.58    0.52    0.65    0.73    0.81    0.67
6    0.49    0.80    0.38    0.49    0.64    0.40    0.33    1.00    0.20    0.63    0.75    0.55
7    0.42    0.37    0.69    0.39    0.26    0.78    0.18    0.10    0.64    0.69    0.74    0.64
8    0.60    0.70    0.52    0.60    0.63    0.57    0.48    0.63    0.39    0.71    0.84    0.61
9    0.62    0.57    0.70    0.73    0.67    0.79    0.45    0.44    0.46    0.70    0.60    0.84
10    0.43    0.76    0.32    0.36    0.41    0.32    0.31    1.00    0.19    0.60    0.88    0.45
11    0.48    0.59    0.42    0.40    0.38    0.43    0.36    0.57    0.26    0.68    0.82    0.58
12    0.69    0.66    0.77    0.70    0.64    0.78    0.76    0.90    0.66    0.59    0.44    0.87
13    0.56    0.52    0.69    0.54    0.42    0.76    0.34    0.23    0.62    0.80    0.92    0.71
14    0.51    0.54    0.65    0.34    0.20    0.93    0.46    0.54    0.40    0.73    0.87    0.63
15    0.65    0.81    0.58    0.55    0.92    0.39    0.84    0.81    0.87    0.56    0.70    0.47
16    0.66    0.70    0.67    0.64    0.52    0.85    0.49    0.63    0.40    0.84    0.95    0.75
17    0.59    0.54    0.79    0.61    0.47    0.90    0.42    0.28    0.86    0.73    0.89    0.63
18    0.66    0.66    0.72    0.77    0.85    0.71    0.65    0.69    0.61    0.58    0.44    0.85
19    0.57    0.52    0.75    0.47    0.33    0.81    0.52    0.38    0.84    0.71    0.86    0.61
20    0.63    0.66    0.61    0.50    0.50    0.51    0.71    0.71    0.71    0.67    0.77    0.60
21    0.54    0.53    0.57    0.48    0.40    0.59    0.42    0.48    0.37    0.73    0.71    0.75
22    0.54    0.54    0.56    0.88    0.78    1.00    0.47    0.57    0.39    0.29    0.28    0.30
23    0.77    0.77    0.80    0.94    0.88    1.00    0.69    0.57    0.86    0.67    0.85    0.56
24    0.76    0.76    0.77    0.88    0.79    0.99    0.54    0.54    0.54    0.85    0.95    0.76
25    0.80    0.89    0.75    0.94    0.89    1.00    0.76    0.94    0.64    0.70    0.83    0.61
