songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.31    0.24    0.50    0.28    0.20    0.44    0.39    0.26    0.78    0.26    0.25    0.28
2    0.55    0.54    0.67    0.65    0.56    0.78    0.50    0.35    0.85    0.49    0.70    0.37
3    0.51    0.53    0.60    0.71    0.63    0.81    0.43    0.31    0.69    0.40    0.65    0.29
4    0.39    0.32    0.50    0.52    0.45    0.61    0.52    0.40    0.72    0.12    0.10    0.17
5    0.32    0.46    0.38    0.66    0.50    0.95    0.00    0.00    0.00    0.31    0.87    0.19
6    0.52    0.49    0.55    0.93    0.90    0.97    0.62    0.58    0.67    0.00    0.00    0.00
7    0.35    0.28    0.50    0.47    0.44    0.50    0.58    0.41    1.00    0.00    0.00    0.00
8    0.48    0.47    0.58    0.20    0.17    0.24    0.52    0.37    0.88    0.73    0.87    0.62
9    0.77    0.75    0.82    0.86    0.83    0.89    0.54    0.43    0.73    0.90    0.98    0.84
10    0.66    0.58    0.78    0.70    0.63    0.79    0.74    0.59    0.98    0.55    0.52    0.58
11    0.56    0.60    0.58    0.22    0.24    0.20    0.75    0.61    0.96    0.72    0.96    0.58
12    0.51    0.50    0.54    0.92    0.84    1.00    0.00    0.00    0.00    0.62    0.64    0.61
13    0.44    0.38    0.87    0.81    0.80    0.82    0.39    0.26    0.78    0.12    0.06    1.00
14    0.40    0.31    0.63    0.02    0.04    0.01    0.48    0.32    0.95    0.71    0.57    0.93
15    0.52    0.44    0.64    0.44    0.40    0.49    0.30    0.23    0.46    0.81    0.69    0.97
16    0.70    0.57    0.90    0.67    0.52    0.95    0.70    0.58    0.87    0.73    0.61    0.89
17    0.69    0.62    0.79    0.39    0.35    0.46    0.89    0.83    0.97    0.79    0.67    0.96
18    0.66    0.62    0.72    0.87    0.84    0.91    0.55    0.44    0.72    0.55    0.58    0.53
19    0.61    0.75    0.58    0.99    0.99    1.00    0.12    0.49    0.07    0.72    0.79    0.66
20    0.75    0.73    0.79    0.86    0.80    0.94    0.79    0.73    0.87    0.60    0.64    0.56
21    0.34    0.32    0.38    0.05    0.04    0.06    0.28    0.27    0.29    0.70    0.64    0.78
22    0.64    0.60    0.74    0.68    0.53    0.94    0.82    0.75    0.89    0.44    0.50    0.38
23    0.67    0.58    0.82    0.68    0.56    0.89    0.67    0.53    0.91    0.66    0.65    0.67
average    0.54    0.51    0.65    0.59    0.53    0.68    0.50    0.42    0.70    0.52    0.56    0.56
