songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.46    0.40    0.61    0.95    0.91    0.98    0.44    0.30    0.86    0.00    0.00    0.00
2    0.25    0.20    0.32    0.39    0.34    0.47    0.35    0.27    0.49    0.00    0.00    0.00
3    0.48    0.55    0.61    0.25    0.15    0.77    0.42    0.72    0.30    0.77    0.78    0.76
4    0.61    0.58    0.66    0.71    0.67    0.75    0.36    0.30    0.46    0.76    0.76    0.77
5    0.40    0.72    0.31    0.16    0.41    0.10    0.38    0.94    0.23    0.68    0.80    0.59
6    0.54    0.50    0.59    0.92    0.91    0.94    0.00    0.00    0.00    0.70    0.60    0.84
7    0.72    0.76    0.74    0.82    0.83    0.81    0.64    0.50    0.87    0.68    0.95    0.53
8    0.20    0.45    0.39    0.19    0.47    0.12    0.31    0.81    0.19    0.11    0.06    0.86
9    0.62    0.59    0.71    0.53    0.38    0.86    0.64    0.63    0.64    0.68    0.75    0.63
10    0.61    0.54    0.70    0.88    0.79    0.99    0.50    0.46    0.54    0.44    0.36    0.56
11    0.58    0.71    0.60    0.80    0.67    1.00    0.22    0.69    0.13    0.72    0.76    0.68
12    0.68    0.67    0.76    0.89    0.93    0.85    0.41    0.28    0.74    0.74    0.80    0.68
13    0.29    0.31    0.29    0.13    0.13    0.12    0.71    0.70    0.72    0.03    0.10    0.02
14    0.33    0.52    0.28    0.02    0.33    0.01    0.59    0.65    0.55    0.37    0.59    0.27
15    0.51    0.49    0.76    0.25    0.14    0.93    0.62    0.78    0.51    0.66    0.54    0.85
16    0.36    0.25    0.63    0.62    0.45    1.00    0.30    0.20    0.64    0.14    0.10    0.26
17    0.36    0.35    0.42    0.91    0.88    0.94    0.12    0.07    0.30    0.04    0.09    0.03
18    0.20    0.18    0.33    0.30    0.38    0.25    0.29    0.18    0.75    0.00    0.00    0.00
19    0.46    0.43    0.61    0.44    0.36    0.58    0.40    0.26    0.79    0.54    0.67    0.45
20    0.54    0.47    0.62    0.84    0.72    1.00    0.77    0.69    0.87    0.00    0.00    0.00
21    0.70    0.68    0.73    0.59    0.57    0.61    0.63    0.57    0.70    0.89    0.90    0.89
22    0.66    0.81    0.59    0.55    0.70    0.45    0.54    0.83    0.40    0.91    0.89    0.93
23    0.63    0.73    0.60    0.94    0.90    0.97    0.70    0.73    0.67    0.25    0.56    0.16
average    0.49    0.52    0.56    0.57    0.57    0.67    0.45    0.50    0.54    0.44    0.48    0.47
