songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.31    0.30    0.32    0.10    0.07    0.14    0.16    0.20    0.14    0.66    0.64    0.68
2    0.39    0.31    0.56    0.56    0.48    0.68    0.37    0.26    0.68    0.25    0.20    0.33
3    0.27    0.20    0.58    0.01    0.01    0.01    0.23    0.13    0.96    0.58    0.47    0.76
4    0.57    0.52    0.63    0.81    0.72    0.94    0.90    0.85    0.95    0.00    0.00    0.00
5    0.24    0.24    0.24    0.72    0.71    0.73    0.00    0.00    0.00    0.00    0.00    0.00
6    0.47    0.38    0.74    0.50    0.41    0.64    0.30    0.18    0.92    0.60    0.56    0.65
7    0.74    0.73    0.74    0.61    0.59    0.63    0.88    0.93    0.84    0.72    0.67    0.77
8    0.10    0.25    0.07    0.01    0.02    0.01    0.00    0.00    0.00    0.30    0.75    0.18
9    0.49    0.50    0.51    0.22    0.16    0.33    0.55    0.54    0.56    0.71    0.79    0.65
10    0.17    0.12    0.59    0.02    0.01    0.02    0.02    0.01    1.00    0.47    0.34    0.74
11    0.35    0.29    0.52    0.02    0.02    0.03    0.44    0.29    0.93    0.58    0.57    0.60
12    0.30    0.26    0.35    0.04    0.03    0.06    0.00    0.00    0.00    0.86    0.76    0.98
13    0.24    0.17    0.47    0.02    0.02    0.02    0.36    0.22    0.91    0.35    0.28    0.48
14    0.36    0.52    0.41    0.22    0.48    0.14    0.36    0.24    0.71    0.51    0.86    0.37
15    0.33    0.35    0.32    0.07    0.05    0.11    0.25    0.24    0.26    0.66    0.75    0.59
16    0.36    0.31    0.49    0.19    0.17    0.21    0.17    0.10    0.50    0.71    0.66    0.77
17    0.49    0.45    0.56    1.00    1.00    0.99    0.00    0.00    0.00    0.47    0.36    0.69
18    0.68    0.70    0.67    0.70    0.66    0.74    0.68    0.69    0.67    0.67    0.74    0.61
19    0.36    0.48    0.64    0.49    0.40    0.62    0.14    0.08    1.00    0.45    0.97    0.29
20    0.42    0.33    0.58    0.58    0.48    0.72    0.30    0.20    0.59    0.37    0.32    0.44
21    0.51    0.47    0.65    0.50    0.36    0.82    0.59    0.48    0.76    0.45    0.56    0.37
22    0.26    0.21    0.43    0.23    0.18    0.34    0.17    0.10    0.55    0.37    0.35    0.39
23    0.43    0.36    0.55    0.41    0.40    0.42    0.46    0.35    0.68    0.42    0.34    0.55
24    0.43    0.38    0.75    0.52    0.44    0.64    0.16    0.09    1.00    0.61    0.60    0.61
25    0.30    0.25    0.47    0.31    0.20    0.62    0.40    0.29    0.63    0.19    0.26    0.15
26    0.30    0.39    0.39    0.13    0.12    0.13    0.28    0.17    0.70    0.49    0.88    0.34
27    0.33    0.26    0.58    0.25    0.16    0.66    0.24    0.15    0.55    0.50    0.48    0.54
average    0.38    0.36    0.51    0.34    0.31    0.42    0.31    0.25    0.61    0.48    0.52    0.50
