songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.24    0.27    0.46    0.21    0.48    0.14    0.11    0.06    0.50    0.40    0.28    0.74
2    0.57    0.64    0.54    0.43    0.47    0.40    0.39    0.59    0.29    0.88    0.85    0.92
3    0.58    0.68    0.55    0.44    0.47    0.41    0.45    0.76    0.32    0.85    0.81    0.91
4    0.25    0.41    0.38    0.02    0.04    0.01    0.41    0.98    0.26    0.33    0.21    0.87
5    0.56    0.55    0.59    0.44    0.43    0.46    0.43    0.49    0.38    0.81    0.72    0.93
6    0.45    0.53    0.43    0.32    0.39    0.28    0.25    0.48    0.17    0.78    0.72    0.85
7    0.31    0.24    0.50    0.04    0.03    0.08    0.26    0.17    0.64    0.62    0.52    0.79
8    0.43    0.70    0.44    0.30    0.98    0.18    0.46    0.76    0.33    0.52    0.38    0.81
9    0.35    0.35    0.50    0.12    0.27    0.08    0.54    0.52    0.57    0.39    0.25    0.85
10    0.39    0.78    0.36    0.06    0.86    0.03    0.35    0.83    0.22    0.74    0.66    0.84
11    0.45    0.61    0.39    0.39    0.51    0.31    0.22    0.51    0.14    0.75    0.79    0.71
12    0.37    0.52    0.52    0.07    0.43    0.04    0.71    0.94    0.57    0.32    0.19    0.96
13    0.53    0.52    0.54    0.35    0.37    0.33    0.34    0.32    0.37    0.89    0.87    0.91
14    0.51    0.59    0.50    0.32    0.26    0.42    0.29    0.57    0.20    0.90    0.93    0.87
15    0.37    0.39    0.52    0.08    0.33    0.04    0.69    0.64    0.76    0.32    0.21    0.76
16    0.57    0.62    0.56    0.48    0.44    0.53    0.33    0.53    0.24    0.89    0.88    0.90
17    0.61    0.58    0.68    0.37    0.34    0.41    0.56    0.43    0.79    0.90    0.96    0.86
18    0.37    0.53    0.50    0.16    0.70    0.09    0.59    0.66    0.53    0.35    0.22    0.88
19    0.64    0.69    0.64    0.46    0.37    0.62    0.60    0.78    0.49    0.86    0.92    0.81
20    0.54    0.58    0.55    0.22    0.30    0.18    0.70    0.88    0.58    0.69    0.56    0.88
