songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.25    0.32    0.56    0.17    0.57    0.10    0.11    0.06    0.70    0.48    0.33    0.89
2    0.52    0.61    0.54    0.14    0.50    0.08    0.51    0.44    0.59    0.91    0.87    0.95
3    0.52    0.56    0.53    0.28    0.44    0.21    0.50    0.44    0.58    0.79    0.78    0.80
4    0.36    0.45    0.44    0.04    0.20    0.02    0.54    0.80    0.41    0.51    0.36    0.88
5    0.62    0.63    0.64    0.51    0.67    0.42    0.49    0.44    0.56    0.85    0.78    0.94
6    0.58    0.64    0.57    0.35    0.61    0.24    0.61    0.58    0.64    0.78    0.73    0.83
7    0.37    0.33    0.59    0.19    0.16    0.24    0.13    0.07    0.73    0.78    0.76    0.80
8    0.49    0.83    0.47    0.18    1.00    0.10    0.53    0.84    0.39    0.76    0.65    0.91
9    0.49    0.51    0.58    0.35    0.62    0.25    0.50    0.46    0.56    0.60    0.45    0.93
10    0.51    0.67    0.45    0.28    0.60    0.18    0.55    0.71    0.45    0.70    0.68    0.72
11    0.46    0.54    0.42    0.33    0.45    0.27    0.41    0.38    0.43    0.65    0.78    0.55
12    0.57    0.59    0.65    0.47    0.52    0.43    0.77    0.92    0.66    0.48    0.33    0.87
13    0.53    0.54    0.64    0.33    0.47    0.25    0.39    0.26    0.79    0.88    0.89    0.87
14    0.56    0.56    0.58    0.38    0.38    0.38    0.44    0.37    0.55    0.88    0.94    0.82
15    0.52    0.55    0.69    0.51    0.86    0.36    0.64    0.49    0.93    0.42    0.29    0.76
16    0.63    0.65    0.64    0.46    0.57    0.39    0.49    0.40    0.64    0.93    0.97    0.89
17    0.57    0.56    0.66    0.30    0.31    0.28    0.60    0.44    0.96    0.82    0.94    0.74
18    0.48    0.57    0.61    0.40    0.82    0.27    0.67    0.64    0.71    0.37    0.24    0.85
19    0.62    0.62    0.64    0.40    0.35    0.49    0.72    0.66    0.78    0.74    0.85    0.65
20    0.57    0.58    0.61    0.10    0.27    0.06    0.82    0.74    0.92    0.78    0.71    0.85
21    0.46    0.46    0.51    0.34    0.49    0.26    0.37    0.32    0.44    0.67    0.56    0.84
22    0.55    0.57    0.57    0.90    0.82    1.00    0.42    0.62    0.31    0.33    0.28    0.40
23    0.81    0.76    0.86    0.96    0.93    1.00    0.73    0.67    0.80    0.73    0.68    0.78
24    0.70    0.64    0.77    0.96    0.94    0.98    0.43    0.39    0.48    0.70    0.59    0.85
25    0.81    0.87    0.79    0.90    0.82    1.00    0.73    0.97    0.58    0.80    0.81    0.79
26    0.79    0.87    0.76    0.95    0.96    0.94    0.73    0.69    0.78    0.69    0.95    0.55
27    0.70    0.70    0.72    0.92    0.85    1.00    0.43    0.36    0.52    0.75    0.90    0.64
28    0.64    0.89    0.56    0.96    0.95    0.98    0.32    0.76    0.20    0.64    0.96    0.48
29    0.70    0.75    0.69    0.93    0.86    1.00    0.57    0.78    0.44    0.62    0.60    0.64
30    0.64    0.72    0.59    0.91    0.85    0.97    0.32    0.43    0.25    0.69    0.89    0.56
31    0.60    0.59    0.62    0.93    0.86    1.00    0.00    0.00    0.00    0.88    0.91    0.85
32    0.81    0.86    0.77    1.00    1.00    1.00    0.63    0.80    0.52    0.79    0.79    0.80
33    0.92    0.92    0.92    0.98    0.97    1.00    0.86    0.84    0.89    0.91    0.96    0.86
34    0.64    0.66    0.62    0.99    0.97    1.00    0.00    0.00    0.00    0.92    1.00    0.86
35    0.80    0.76    0.90    0.99    1.00    0.98    0.43    0.30    0.74    0.98    0.98    0.98
36    0.81    0.80    0.83    0.93    0.90    0.96    0.56    0.49    0.65    0.93    1.00    0.87
37    0.81    0.77    0.88    0.94    0.90    0.99    0.92    0.94    0.90    0.58    0.47    0.76
38    0.81    0.81    0.83    0.89    0.85    0.93    0.64    0.58    0.72    0.91    0.99    0.84
39    0.91    0.87    0.96    1.00    1.00    1.00    0.82    0.72    0.96    0.90    0.88    0.93
40    0.83    0.80    0.88    0.85    0.74    0.98    0.83    0.90    0.78    0.81    0.75    0.87
41    0.90    0.94    0.88    0.93    0.92    0.94    0.94    0.90    0.98    0.83    0.99    0.72
42    0.78    0.75    0.91    0.99    1.00    0.98    0.42    0.28    0.88    0.93    0.97    0.89
43    0.71    0.64    0.81    0.98    0.96    1.00    0.40    0.32    0.55    0.75    0.65    0.88
44    0.54    0.46    0.70    0.68    0.57    0.85    0.48    0.49    0.48    0.46    0.32    0.79
45    0.77    0.74    0.80    0.82    0.76    0.89    0.63    0.65    0.61    0.86    0.81    0.91
46    0.64    0.60    0.75    0.77    0.69    0.88    0.51    0.61    0.44    0.64    0.50    0.92
47    0.53    0.64    0.59    0.80    0.73    0.89    0.21    0.72    0.12    0.57    0.45    0.77
48    0.71    0.81    0.67    0.83    0.79    0.89    0.50    0.80    0.36    0.79    0.84    0.75
49    0.64    0.68    0.63    0.73    0.82    0.65    0.67    0.60    0.75    0.54    0.62    0.47
50    0.75    0.90    0.69    0.90    0.84    0.97    0.57    0.99    0.40    0.77    0.87    0.70
51    0.63    0.74    0.62    0.78    0.74    0.83    0.47    0.88    0.32    0.66    0.60    0.72
52    0.62    0.58    0.77    0.86    0.76    0.98    0.14    0.08    0.50    0.85    0.88    0.82
53    0.58    0.56    0.78    0.91    0.85    0.99    0.09    0.05    0.67    0.73    0.79    0.68
54    0.63    0.73    0.57    0.69    0.81    0.60    0.55    0.74    0.44    0.66    0.64    0.68
55    0.76    0.83    0.70    0.94    0.98    0.90    0.67    0.74    0.61    0.66    0.77    0.58
56    0.78    0.86    0.74    0.91    0.85    0.99    0.53    0.75    0.41    0.90    0.97    0.84
57    0.71    0.76    0.71    0.82    0.71    0.97    0.44    0.64    0.34    0.87    0.92    0.82
58    0.71    0.69    0.74    0.84    0.77    0.94    0.53    0.59    0.48    0.75    0.71    0.80
59    0.70    0.82    0.63    0.85    0.87    0.83    0.49    0.72    0.37    0.76    0.86    0.68
60    0.76    0.76    0.77    0.78    0.72    0.84    0.65    0.65    0.64    0.86    0.90    0.82
61    0.82    0.88    0.77    0.89    0.84    0.94    0.72    0.86    0.62    0.84    0.94    0.77
62    0.70    0.81    0.64    0.84    0.80    0.88    0.62    0.86    0.49    0.65    0.76    0.56
63    0.65    0.74    0.62    0.83    0.76    0.93    0.41    0.73    0.28    0.70    0.74    0.67
64    0.60    0.50    0.75    0.70    0.62    0.81    0.53    0.41    0.73    0.56    0.46    0.71
