songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.35    0.31    0.50    0.33    0.42    0.28    0.23    0.16    0.40    0.50    0.36    0.81
2    0.52    0.68    0.47    0.51    0.58    0.45    0.18    0.57    0.11    0.87    0.90    0.85
3    0.57    0.61    0.54    0.47    0.47    0.47    0.42    0.42    0.43    0.81    0.95    0.71
4    0.32    0.47    0.46    0.38    0.31    0.49    0.06    0.75    0.03    0.51    0.36    0.87
5    0.53    0.68    0.52    0.54    0.51    0.57    0.19    0.70    0.11    0.85    0.84    0.87
6    0.58    0.66    0.54    0.53    0.52    0.53    0.38    0.63    0.27    0.82    0.83    0.81
7    0.53    0.49    0.57    0.53    0.48    0.59    0.36    0.36    0.36    0.68    0.62    0.75
8    0.44    0.67    0.46    0.58    0.78    0.47    0.19    0.85    0.11    0.54    0.40    0.82
9    0.42    0.37    0.56    0.73    0.72    0.75    0.01    0.03    0.01    0.53    0.37    0.94
10    0.35    0.68    0.32    0.17    0.74    0.09    0.10    0.54    0.05    0.80    0.78    0.82
11    0.58    0.74    0.49    0.74    0.95    0.60    0.14    0.32    0.09    0.86    0.95    0.79
12    0.39    0.58    0.50    0.37    0.68    0.26    0.42    0.83    0.28    0.38    0.24    0.96
13    0.60    0.66    0.58    0.55    0.75    0.44    0.38    0.33    0.44    0.89    0.91    0.87
14    0.64    0.72    0.64    0.74    0.64    0.87    0.24    0.54    0.15    0.95    0.99    0.91
15    0.54    0.53    0.68    0.49    0.47    0.51    0.77    0.86    0.69    0.38    0.24    0.85
16    0.61    0.71    0.58    0.64    0.61    0.68    0.24    0.56    0.15    0.94    0.97    0.91
17    0.67    0.71    0.65    0.67    0.59    0.77    0.48    0.55    0.43    0.86    1.00    0.75
18    0.38    0.69    0.44    0.34    0.94    0.21    0.32    0.78    0.20    0.49    0.34    0.91
19    0.68    0.74    0.66    0.74    0.65    0.86    0.41    0.57    0.32    0.89    1.00    0.80
20    0.71    0.69    0.78    0.70    0.61    0.84    0.71    0.85    0.61    0.73    0.61    0.90
21    0.40    0.56    0.32    0.36    0.45    0.30    0.24    0.28    0.21    0.61    0.95    0.45
22    0.51    0.62    0.56    0.78    0.75    0.82    0.18    0.67    0.10    0.57    0.45    0.78
23    0.71    0.72    0.76    0.89    0.86    0.93    0.53    0.73    0.42    0.71    0.57    0.94
24    0.63    0.71    0.59    0.72    0.76    0.68    0.35    0.51    0.26    0.84    0.85    0.82
25    0.45    0.51    0.65    0.63    0.48    0.93    0.21    0.69    0.12    0.52    0.37    0.89
26    0.74    0.76    0.76    0.74    0.61    0.96    0.75    0.87    0.67    0.74    0.81    0.67
27    0.68    0.80    0.63    0.82    0.75    0.90    0.46    0.72    0.33    0.77    0.93    0.66
28    0.62    0.85    0.60    0.84    0.99    0.73    0.25    0.91    0.15    0.76    0.64    0.92
29    0.54    0.64    0.64    0.81    0.68    0.98    0.20    0.76    0.12    0.61    0.49    0.82
30    0.60    0.75    0.55    0.91    0.88    0.95    0.27    0.63    0.17    0.61    0.73    0.52
31    0.55    0.50    0.63    0.93    0.86    1.00    0.00    0.00    0.00    0.73    0.62    0.89
32    0.62    0.77    0.56    0.64    0.84    0.52    0.40    0.70    0.28    0.84    0.79    0.89
33    0.79    0.86    0.76    0.86    0.82    0.91    0.54    0.81    0.40    0.96    0.96    0.97
34    0.62    0.59    0.66    0.92    0.86    1.00    0.00    0.00    0.00    0.95    0.92    0.98
35    0.74    0.75    0.76    0.86    0.96    0.79    0.42    0.34    0.55    0.95    0.95    0.95
36    0.79    0.79    0.80    0.87    0.78    0.98    0.58    0.66    0.52    0.92    0.94    0.89
37    0.76    0.71    0.83    0.98    0.96    1.00    0.70    0.69    0.71    0.60    0.49    0.78
38    0.80    0.83    0.79    0.86    0.87    0.86    0.63    0.73    0.56    0.92    0.89    0.95
39    0.83    0.83    0.85    0.87    0.82    0.91    0.72    0.79    0.67    0.91    0.86    0.97
40    0.66    0.81    0.62    0.82    0.91    0.75    0.51    0.95    0.35    0.65    0.56    0.77
41    0.80    0.87    0.76    0.92    0.92    0.92    0.64    0.88    0.50    0.83    0.79    0.86
42    0.69    0.70    0.70    0.88    0.87    0.88    0.38    0.50    0.31    0.82    0.74    0.90
43    0.45    0.64    0.35    0.49    0.74    0.37    0.38    0.48    0.31    0.49    0.69    0.38
44    0.50    0.61    0.51    0.80    0.78    0.83    0.32    0.74    0.20    0.38    0.30    0.51
45    0.66    0.80    0.59    0.86    0.91    0.81    0.35    0.61    0.25    0.79    0.87    0.72
46    0.56    0.63    0.53    0.73    0.80    0.68    0.29    0.44    0.22    0.66    0.64    0.68
47    0.52    0.57    0.64    0.86    0.77    0.99    0.15    0.54    0.09    0.55    0.41    0.83
48    0.70    0.87    0.65    0.91    0.88    0.96    0.35    0.81    0.23    0.84    0.92    0.78
49    0.62    0.67    0.60    0.85    0.80    0.91    0.34    0.41    0.29    0.68    0.80    0.59
50    0.77    0.93    0.72    0.97    0.98    0.96    0.51    1.00    0.34    0.84    0.82    0.85
51    0.68    0.77    0.65    0.95    0.93    0.96    0.36    0.66    0.25    0.73    0.71    0.74
52    0.62    0.63    0.63    0.92    0.86    0.99    0.08    0.17    0.06    0.85    0.86    0.84
53    0.43    0.56    0.44    0.45    0.78    0.31    0.11    0.06    0.33    0.75    0.83    0.69
