songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.53    0.54    0.53    0.38    0.32    0.46    0.47    0.46    0.48    0.74    0.85    0.66
2    0.44    0.63    0.41    0.23    0.64    0.14    0.46    0.38    0.59    0.64    0.88    0.50
3    0.53    0.59    0.55    0.68    0.75    0.63    0.45    0.34    0.69    0.44    0.68    0.32
4    0.45    0.48    0.59    0.61    0.85    0.47    0.45    0.42    0.48    0.29    0.17    0.83
5    0.41    0.50    0.42    0.77    0.65    0.95    0.00    0.00    0.00    0.45    0.85    0.31
6    0.34    0.36    0.33    0.96    0.98    0.94    0.06    0.09    0.05    0.00    0.00    0.00
7    0.43    0.40    0.48    0.88    0.88    0.88    0.42    0.33    0.58    0.00    0.00    0.00
8    0.59    0.60    0.61    0.75    0.69    0.82    0.47    0.41    0.56    0.55    0.69    0.45
9    0.58    0.57    0.61    0.74    0.65    0.86    0.21    0.17    0.27    0.78    0.89    0.70
10    0.51    0.57    0.47    0.97    0.97    0.97    0.19    0.23    0.17    0.35    0.52    0.27
11    0.70    0.72    0.69    0.71    0.71    0.71    0.48    0.44    0.54    0.91    1.00    0.83
12    0.51    0.57    0.48    0.95    0.94    0.95    0.00    0.00    0.00    0.58    0.76    0.47
13    0.36    0.43    0.50    0.55    0.89    0.40    0.45    0.36    0.61    0.06    0.03    0.50
14    0.47    0.56    0.43    0.33    0.54    0.24    0.32    0.33    0.32    0.76    0.80    0.73
15    0.24    0.48    0.17    0.29    0.58    0.19    0.21    0.26    0.17    0.22    0.59    0.14
16    0.53    0.54    0.53    0.69    0.69    0.70    0.23    0.21    0.24    0.68    0.72    0.64
17    0.38    0.64    0.28    0.64    0.89    0.50    0.18    0.21    0.15    0.31    0.83    0.19
18    0.47    0.53    0.43    0.67    0.74    0.61    0.23    0.20    0.25    0.50    0.64    0.41
19    0.47    0.63    0.39    0.49    0.59    0.42    0.20    0.39    0.14    0.72    0.91    0.60
20    0.57    0.63    0.53    0.64    0.66    0.63    0.35    0.45    0.28    0.73    0.77    0.69
21    0.38    0.39    0.38    0.33    0.42    0.28    0.11    0.10    0.14    0.69    0.66    0.72
22    0.42    0.57    0.34    0.67    0.85    0.56    0.24    0.31    0.20    0.36    0.54    0.27
23    0.44    0.55    0.37    0.43    0.63    0.32    0.17    0.22    0.14    0.71    0.80    0.63
average    0.47    0.54    0.46    0.62    0.72    0.59    0.28    0.27    0.31    0.50    0.63    0.47
