songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.15    0.23    0.12    0.37    0.57    0.27    0.10    0.12    0.09    0.00    0.00    0.00
2    0.34    0.35    0.35    0.67    0.65    0.70    0.36    0.39    0.33    0.00    0.00    0.00
3    0.22    0.51    0.29    0.12    0.07    0.40    0.08    0.94    0.04    0.46    0.53    0.41
4    0.36    0.54    0.33    0.15    0.18    0.12    0.14    0.64    0.08    0.79    0.79    0.79
5    0.24    0.63    0.22    0.28    0.24    0.35    0.01    1.00    0.01    0.41    0.64    0.30
6    0.36    0.32    0.42    0.62    0.62    0.62    0.00    0.00    0.00    0.44    0.34    0.65
7    0.58    0.61    0.56    0.47    0.47    0.47    0.40    0.43    0.37    0.87    0.93    0.82
8    0.11    0.30    0.15    0.25    0.22    0.29    0.06    0.67    0.03    0.02    0.01    0.14
9    0.41    0.61    0.36    0.34    0.31    0.37    0.19    0.60    0.11    0.71    0.91    0.58
10    0.44    0.43    0.46    0.62    0.61    0.64    0.23    0.27    0.20    0.47    0.41    0.55
11    0.55    0.66    0.48    0.47    0.56    0.41    0.46    0.61    0.37    0.72    0.79    0.67
12    0.52    0.67    0.48    0.51    0.94    0.35    0.46    0.39    0.57    0.58    0.69    0.51
13    0.52    0.52    0.53    0.70    0.62    0.81    0.33    0.39    0.28    0.52    0.54    0.50
14    0.47    0.69    0.39    0.63    0.93    0.47    0.23    0.57    0.15    0.56    0.57    0.56
15    0.31    0.30    0.44    0.16    0.10    0.41    0.17    0.34    0.12    0.60    0.48    0.79
16    0.37    0.43    0.40    0.12    0.38    0.07    0.28    0.21    0.40    0.71    0.71    0.72
17    0.38    0.34    0.44    0.71    0.60    0.87    0.00    0.00    0.00    0.42    0.41    0.44
18    0.37    0.38    0.38    0.18    0.14    0.25    0.10    0.12    0.08    0.84    0.88    0.79
19    0.73    0.69    0.84    0.81    0.74    0.88    0.51    0.36    0.83    0.87    0.95    0.81
20    0.19    0.56    0.13    0.43    0.67    0.32    0.12    1.00    0.06    0.00    0.00    0.00
21    0.57    0.74    0.46    0.73    0.93    0.60    0.28    0.36    0.22    0.69    0.94    0.55
22    0.50    0.64    0.53    0.51    0.46    0.57    0.16    0.75    0.09    0.82    0.72    0.94
23    0.48    0.54    0.45    0.67    0.87    0.54    0.28    0.24    0.33    0.49    0.51    0.48
average    0.40    0.51    0.40    0.46    0.52    0.47    0.21    0.45    0.21    0.52    0.55    0.52
