songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.45    0.36    0.75    0.29    0.17    0.98    0.48    0.40    0.60    0.57    0.49    0.68
2    0.41    0.36    0.48    0.91    0.86    0.97    0.11    0.08    0.19    0.20    0.15    0.29
3    0.38    0.31    0.52    0.63    0.54    0.75    0.10    0.06    0.33    0.39    0.33    0.48
4    0.27    0.30    0.25    0.80    0.88    0.73    0.02    0.02    0.01    0.00    0.00    0.00
5    0.24    0.23    0.25    0.71    0.68    0.74    0.00    0.00    0.00    0.00    0.00    0.00
6    0.47    0.49    0.52    0.78    0.93    0.67    0.17    0.11    0.38    0.46    0.42    0.51
7    0.47    0.62    0.57    0.92    0.94    0.89    0.21    0.75    0.12    0.28    0.18    0.70
8    0.42    0.54    0.39    0.93    0.89    0.97    0.00    0.00    0.00    0.32    0.71    0.20
9    0.66    0.67    0.65    0.73    0.70    0.78    0.55    0.61    0.51    0.68    0.69    0.68
10    0.35    0.28    0.79    0.68    0.58    0.82    0.02    0.01    1.00    0.35    0.26    0.54
11    0.52    0.56    0.55    0.77    0.68    0.88    0.17    0.41    0.11    0.62    0.58    0.66
12    0.47    0.41    0.58    0.70    0.54    0.98    0.00    0.00    0.00    0.71    0.69    0.74
13    0.46    0.39    0.58    0.55    0.53    0.56    0.38    0.29    0.55    0.46    0.36    0.62
14    0.37    0.61    0.31    0.73    0.90    0.61    0.08    0.06    0.15    0.29    0.86    0.17
15    0.25    0.30    0.29    0.21    0.14    0.47    0.10    0.15    0.08    0.42    0.60    0.32
16    0.28    0.35    0.23    0.15    0.15    0.15    0.15    0.15    0.15    0.53    0.75    0.40
17    0.57    0.53    0.63    0.90    0.93    0.87    0.03    0.02    0.08    0.77    0.65    0.94
18    0.26    0.45    0.19    0.29    0.41    0.23    0.20    0.40    0.13    0.30    0.54    0.21
19    0.35    0.57    0.36    0.54    0.68    0.44    0.09    0.05    0.38    0.42    0.99    0.27
20    0.36    0.31    0.43    0.63    0.53    0.77    0.19    0.16    0.25    0.25    0.25    0.26
21    0.46    0.46    0.49    0.82    0.75    0.91    0.04    0.11    0.02    0.53    0.53    0.53
22    0.33    0.26    0.53    0.37    0.25    0.73    0.24    0.16    0.46    0.39    0.37    0.41
23    0.44    0.42    0.48    0.78    0.75    0.80    0.14    0.10    0.23    0.41    0.41    0.41
24    0.37    0.29    0.61    0.68    0.51    1.00    0.04    0.02    0.33    0.41    0.34    0.50
25    0.27    0.28    0.32    0.24    0.16    0.41    0.20    0.33    0.14    0.37    0.36    0.40
26    0.49    0.54    0.53    0.85    0.78    0.95    0.23    0.16    0.36    0.40    0.69    0.28
27    0.41    0.40    0.54    0.44    0.29    0.91    0.14    0.15    0.12    0.67    0.76    0.60
average    0.40    0.42    0.47    0.63    0.60    0.74    0.15    0.18    0.25    0.42    0.48    0.44
