songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.32    0.30    0.56    0.41    0.55    0.33    0.06    0.03    0.50    0.48    0.33    0.87
2    0.65    0.70    0.65    0.58    0.80    0.45    0.54    0.51    0.56    0.85    0.78    0.92
3    0.68    0.69    0.71    0.55    0.72    0.45    0.61    0.50    0.79    0.87    0.84    0.90
4    0.41    0.47    0.52    0.23    0.30    0.18    0.64    0.89    0.50    0.37    0.23    0.88
5    0.63    0.61    0.66    0.60    0.64    0.56    0.50    0.47    0.54    0.78    0.71    0.88
6    0.60    0.58    0.65    0.53    0.61    0.47    0.49    0.40    0.63    0.78    0.72    0.85
7    0.42    0.33    0.76    0.36    0.29    0.49    0.11    0.06    0.82    0.78    0.65    0.98
8    0.40    0.76    0.41    0.21    1.00    0.12    0.42    0.86    0.28    0.56    0.42    0.84
9    0.45    0.47    0.62    0.45    0.71    0.33    0.49    0.44    0.55    0.41    0.26    0.97
10    0.51    0.73    0.50    0.24    0.93    0.14    0.62    0.69    0.56    0.67    0.57    0.80
11    0.67    0.74    0.65    0.64    0.92    0.50    0.50    0.50    0.50    0.88    0.81    0.96
12    0.53    0.51    0.72    0.51    0.55    0.47    0.82    0.84    0.81    0.25    0.14    0.87
13    0.62    0.62    0.72    0.52    0.66    0.44    0.44    0.31    0.79    0.91    0.88    0.93
14    0.67    0.63    0.72    0.54    0.48    0.62    0.53    0.47    0.60    0.95    0.95    0.94
15    0.45    0.50    0.61    0.48    0.86    0.34    0.51    0.41    0.67    0.36    0.23    0.82
16    0.70    0.68    0.75    0.61    0.64    0.59    0.58    0.48    0.75    0.91    0.91    0.91
17    0.66    0.61    0.78    0.43    0.40    0.46    0.61    0.44    0.96    0.95    0.99    0.91
18    0.48    0.59    0.60    0.49    0.86    0.34    0.60    0.70    0.52    0.36    0.22    0.94
19    0.66    0.59    0.79    0.46    0.39    0.57    0.58    0.43    0.89    0.94    0.96    0.92
20    0.62    0.57    0.73    0.48    0.57    0.41    0.69    0.57    0.89    0.70    0.58    0.88
21    0.56    0.62    0.52    0.37    0.53    0.28    0.47    0.44    0.51    0.83    0.89    0.78
22    0.56    0.51    0.63    0.74    0.68    0.82    0.43    0.43    0.43    0.52    0.44    0.65
23    0.68    0.56    0.88    0.75    0.63    0.90    0.61    0.46    0.90    0.68    0.58    0.83
24    0.68    0.69    0.68    0.66    0.67    0.64    0.47    0.49    0.44    0.93    0.90    0.96
25    0.64    0.68    0.64    0.64    0.64    0.64    0.77    0.98    0.64    0.52    0.43    0.64
