songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.63    0.53    0.92    0.57    0.42    0.90    0.46    0.29    1.00    0.87    0.87    0.86
2    0.68    0.69    0.72    0.68    0.71    0.66    0.60    0.46    0.85    0.77    0.90    0.67
3    0.66    0.67    0.76    0.78    0.78    0.78    0.39    0.26    0.81    0.80    0.95    0.69
4    0.44    0.39    0.72    0.69    0.77    0.63    0.45    0.31    0.85    0.18    0.10    0.67
5    0.44    0.44    0.51    0.49    0.35    0.81    0.00    0.00    0.00    0.82    0.96    0.72
6    0.48    0.43    0.63    0.95    0.98    0.92    0.48    0.32    0.95    0.00    0.00    0.00
7    0.35    0.27    0.64    0.74    0.63    0.91    0.31    0.18    1.00    0.00    0.00    0.00
8    0.66    0.57    0.91    0.74    0.67    0.82    0.40    0.25    1.00    0.85    0.81    0.90
9    0.62    0.51    0.94    0.54    0.39    0.89    0.41    0.26    0.97    0.92    0.89    0.96
10    0.61    0.50    0.84    0.65    0.52    0.88    0.54    0.37    0.98    0.64    0.61    0.67
11    0.70    0.62    0.95    0.77    0.63    1.00    0.42    0.27    1.00    0.90    0.96    0.85
12    0.52    0.45    0.61    0.79    0.66    0.97    0.00    0.00    0.00    0.77    0.69    0.87
13    0.40    0.29    0.96    0.66    0.52    0.90    0.45    0.29    0.97    0.09    0.05    1.00
14    0.64    0.49    0.95    0.73    0.59    0.96    0.48    0.32    0.92    0.71    0.56    0.98
15    0.55    0.47    0.70    0.59    0.59    0.60    0.29    0.21    0.50    0.75    0.60    1.00
16    0.56    0.40    0.99    0.54    0.37    0.99    0.44    0.28    0.99    0.71    0.55    0.99
17    0.74    0.61    0.96    0.82    0.71    0.96    0.63    0.47    0.96    0.76    0.63    0.96
18    0.59    0.47    0.82    0.70    0.56    0.92    0.45    0.31    0.83    0.62    0.53    0.73
19    0.72    0.63    0.85    0.82    0.69    0.99    0.51    0.47    0.56    0.84    0.72    0.99
20    0.63    0.50    0.92    0.64    0.48    0.93    0.43    0.28    0.91    0.82    0.74    0.93
21    0.62    0.49    0.98    0.79    0.67    0.98    0.29    0.17    0.95    0.77    0.63    1.00
22    0.59    0.43    0.95    0.69    0.54    0.97    0.46    0.30    0.94    0.62    0.46    0.94
23    0.62    0.51    0.87    0.55    0.41    0.82    0.52    0.36    0.93    0.79    0.74    0.85
average    0.58    0.49    0.83    0.69    0.59    0.88    0.41    0.28    0.82    0.65    0.61    0.79
