songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.54    0.52    0.56    0.94    0.98    0.90    0.67    0.59    0.77    0.00    0.00    0.00
2    0.40    0.38    0.44    0.74    0.79    0.70    0.46    0.36    0.62    0.00    0.00    0.00
3    0.46    0.42    0.57    0.13    0.08    0.37    0.48    0.51    0.45    0.76    0.67    0.88
4    0.69    0.62    0.78    0.70    0.63    0.79    0.53    0.46    0.62    0.84    0.77    0.92
5    0.52    0.70    0.47    0.33    0.55    0.23    0.52    0.89    0.37    0.72    0.65    0.80
6    0.48    0.41    0.61    0.82    0.78    0.88    0.00    0.00    0.00    0.62    0.46    0.95
7    0.54    0.43    0.94    0.42    0.27    0.93    0.33    0.20    0.95    0.87    0.81    0.94
8    0.26    0.26    0.55    0.26    0.29    0.23    0.43    0.46    0.40    0.09    0.05    1.00
9    0.64    0.55    0.80    0.51    0.37    0.83    0.61    0.52    0.75    0.80    0.77    0.82
10    0.48    0.37    0.69    0.57    0.48    0.69    0.42    0.30    0.68    0.45    0.33    0.70
11    0.75    0.67    0.87    0.76    0.67    0.88    0.65    0.54    0.81    0.86    0.80    0.92
12    0.75    0.66    0.92    0.87    0.82    0.93    0.54    0.38    0.93    0.84    0.79    0.91
13    0.47    0.50    0.53    0.77    0.82    0.72    0.60    0.47    0.84    0.03    0.20    0.02
14    0.64    0.60    0.70    0.65    0.66    0.63    0.56    0.48    0.65    0.72    0.65    0.82
15    0.40    0.32    0.64    0.10    0.06    0.37    0.54    0.48    0.62    0.57    0.42    0.93
16    0.60    0.66    0.57    0.43    0.63    0.33    0.57    0.52    0.64    0.78    0.82    0.74
17    0.38    0.40    0.56    0.82    0.83    0.81    0.20    0.12    0.80    0.13    0.25    0.09
18    0.35    0.54    0.54    0.67    0.78    0.58    0.31    0.18    1.00    0.08    0.67    0.04
19    0.79    0.74    0.86    0.82    0.77    0.88    0.62    0.53    0.75    0.94    0.94    0.94
20    0.38    0.33    0.54    0.66    0.67    0.65    0.50    0.33    0.97    0.00    0.00    0.00
21    0.65    0.60    0.79    0.57    0.57    0.57    0.55    0.39    0.96    0.84    0.85    0.84
22    0.54    0.50    0.59    0.31    0.29    0.34    0.52    0.56    0.49    0.77    0.66    0.94
23    0.38    0.45    0.43    0.65    1.00    0.49    0.49    0.36    0.79    0.00    0.00    0.00
average    0.53    0.51    0.65    0.59    0.60    0.64    0.48    0.42    0.69    0.51    0.50    0.62
