songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.38    0.27    0.96    0.24    0.14    1.00    0.21    0.12    1.00    0.69    0.56    0.88
2    0.43    0.30    0.97    0.69    0.53    1.00    0.16    0.09    0.93    0.44    0.29    0.97
3    0.36    0.25    0.96    0.52    0.37    0.88    0.07    0.04    1.00    0.50    0.34    0.98
4    0.55    0.50    0.65    0.97    0.97    0.96    0.69    0.53    0.98    0.00    0.00    0.00
5    0.20    0.15    0.31    0.61    0.45    0.94    0.00    0.00    0.00    0.00    0.00    0.00
6    0.51    0.43    0.78    0.89    0.82    0.98    0.12    0.07    0.67    0.50    0.40    0.69
7    0.54    0.40    0.97    0.74    0.60    0.97    0.63    0.46    0.97    0.24    0.14    0.98
8    0.47    0.53    0.47    0.73    0.63    0.89    0.00    0.00    0.00    0.69    0.97    0.53
9    0.53    0.41    0.86    0.38    0.25    0.85    0.50    0.35    0.87    0.72    0.62    0.84
10    0.30    0.21    0.86    0.50    0.34    0.93    0.01    0.00    1.00    0.39    0.28    0.66
11    0.49    0.36    0.88    0.53    0.39    0.86    0.35    0.21    0.99    0.59    0.48    0.77
12    0.45    0.37    0.64    0.54    0.37    1.00    0.00    0.00    0.00    0.81    0.73    0.91
13    0.42    0.29    0.91    0.57    0.42    0.91    0.25    0.15    1.00    0.45    0.31    0.83
14    0.59    0.59    0.80    0.71    0.63    0.81    0.36    0.22    1.00    0.71    0.92    0.58
15    0.43    0.38    0.66    0.18    0.11    0.42    0.31    0.20    0.80    0.80    0.84    0.76
16    0.49    0.37    0.91    0.53    0.38    0.88    0.21    0.12    0.91    0.74    0.61    0.92
17    0.53    0.45    0.68    0.91    0.84    1.00    0.03    0.02    0.08    0.65    0.50    0.96
18    0.61    0.51    0.86    0.48    0.32    0.97    0.60    0.47    0.83    0.75    0.72    0.77
19    0.62    0.68    0.82    0.92    0.90    0.94    0.25    0.14    1.00    0.68    1.00    0.52
20    0.34    0.22    0.80    0.41    0.27    0.90    0.25    0.15    0.78    0.37    0.25    0.72
21    0.49    0.36    0.82    0.45    0.30    0.89    0.43    0.29    0.86    0.58    0.49    0.70
22    0.33    0.21    0.93    0.28    0.17    0.89    0.15    0.08    0.99    0.55    0.39    0.91
23    0.39    0.27    0.80    0.50    0.34    0.94    0.29    0.17    0.92    0.39    0.31    0.53
24    0.38    0.28    0.92    0.47    0.31    0.96    0.06    0.03    1.00    0.61    0.49    0.81
25    0.37    0.27    0.79    0.23    0.13    0.97    0.41    0.27    0.87    0.47    0.41    0.54
26    0.54    0.45    0.91    0.58    0.41    0.98    0.21    0.12    0.92    0.83    0.84    0.82
27    0.34    0.24    0.81    0.24    0.14    0.93    0.16    0.09    0.64    0.63    0.49    0.87
average    0.45    0.36    0.80    0.55    0.43    0.91    0.25    0.16    0.78    0.55    0.50    0.72
