songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.32    0.24    0.81    0.49    0.44    0.56    0.08    0.04    1.00    0.39    0.25    0.88
2    0.66    0.59    0.76    0.56    0.53    0.61    0.61    0.54    0.71    0.82    0.71    0.96
3    0.70    0.66    0.76    0.49    0.53    0.47    0.74    0.65    0.86    0.87    0.79    0.96
4    0.44    0.42    0.65    0.32    0.24    0.46    0.68    0.83    0.58    0.33    0.20    0.90
5    0.60    0.55    0.69    0.47    0.39    0.59    0.58    0.65    0.52    0.74    0.60    0.96
6    0.60    0.47    0.84    0.54    0.44    0.71    0.50    0.36    0.84    0.76    0.62    0.96
7    0.36    0.26    0.72    0.20    0.13    0.49    0.16    0.09    0.73    0.72    0.57    0.96
8    0.53    0.62    0.62    0.56    0.73    0.45    0.60    0.87    0.46    0.42    0.27    0.95
9    0.51    0.40    0.81    0.64    0.52    0.81    0.56    0.48    0.66    0.33    0.20    0.96
10    0.58    0.69    0.58    0.42    0.84    0.28    0.65    0.69    0.60    0.66    0.53    0.86
11    0.72    0.67    0.79    0.80    0.76    0.84    0.51    0.47    0.55    0.86    0.77    0.97
12    0.54    0.49    0.79    0.61    0.54    0.70    0.81    0.82    0.80    0.19    0.11    0.87
13    0.63    0.58    0.72    0.53    0.58    0.49    0.49    0.38    0.69    0.87    0.78    0.97
14    0.66    0.60    0.77    0.46    0.34    0.69    0.60    0.57    0.63    0.93    0.88    0.99
15    0.50    0.42    0.75    0.57    0.59    0.55    0.59    0.45    0.84    0.34    0.21    0.85
16    0.66    0.61    0.73    0.50    0.44    0.58    0.61    0.55    0.69    0.88    0.85    0.91
17    0.63    0.56    0.78    0.46    0.38    0.59    0.52    0.38    0.86    0.91    0.94    0.88
18    0.54    0.54    0.72    0.61    0.77    0.50    0.68    0.66    0.71    0.32    0.19    0.94
19    0.68    0.64    0.75    0.48    0.45    0.51    0.64    0.52    0.84    0.92    0.95    0.89
20    0.60    0.50    0.77    0.39    0.33    0.47    0.76    0.67    0.89    0.66    0.51    0.94
21    0.57    0.51    0.66    0.49    0.45    0.53    0.43    0.36    0.54    0.79    0.71    0.90
22    0.55    0.45    0.79    0.72    0.59    0.95    0.48    0.45    0.52    0.46    0.31    0.90
