songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.69    0.59    0.83    0.69    0.58    0.85    0.60    0.50    0.74    0.78    0.69    0.89
2    0.73    0.73    0.73    0.52    0.50    0.55    0.83    0.84    0.82    0.84    0.86    0.82
3    0.67    0.61    0.77    0.69    0.62    0.76    0.56    0.44    0.76    0.77    0.77    0.78
4    0.43    0.37    0.82    0.74    0.73    0.74    0.43    0.31    0.72    0.12    0.07    1.00
5    0.43    0.43    0.53    0.47    0.32    0.86    0.00    0.00    0.00    0.82    0.96    0.72
6    0.51    0.45    0.63    0.91    0.90    0.92    0.61    0.45    0.98    0.00    0.00    0.00
7    0.39    0.32    0.58    0.75    0.69    0.82    0.43    0.28    0.92    0.00    0.00    0.00
8    0.65    0.61    0.78    0.73    0.71    0.74    0.52    0.35    0.97    0.70    0.77    0.64
9    0.65    0.55    0.93    0.59    0.43    0.93    0.45    0.29    0.97    0.91    0.92    0.90
10    0.63    0.56    0.78    0.79    0.74    0.85    0.55    0.38    0.95    0.54    0.56    0.53
11    0.65    0.62    0.83    0.69    0.63    0.76    0.42    0.26    0.96    0.85    0.96    0.77
12    0.50    0.52    0.51    0.79    0.70    0.92    0.00    0.00    0.00    0.70    0.85    0.60
13    0.39    0.27    0.91    0.66    0.50    0.97    0.44    0.28    1.00    0.07    0.04    0.75
14    0.59    0.44    0.97    0.66    0.50    0.98    0.43    0.28    0.95    0.69    0.53    0.98
15    0.55    0.46    0.71    0.58    0.55    0.60    0.35    0.26    0.53    0.73    0.58    0.99
16    0.57    0.41    0.99    0.53    0.36    0.99    0.45    0.29    0.99    0.74    0.59    0.99
17    0.73    0.60    0.96    0.84    0.75    0.97    0.57    0.40    0.97    0.77    0.64    0.95
18    0.55    0.43    0.82    0.68    0.54    0.91    0.37    0.24    0.82    0.61    0.52    0.74
19    0.75    0.62    0.95    0.77    0.62    0.99    0.65    0.53    0.86    0.83    0.71    0.99
20    0.62    0.48    0.96    0.61    0.44    0.96    0.41    0.26    0.95    0.84    0.75    0.95
21    0.59    0.45    0.96    0.73    0.58    0.98    0.30    0.18    0.94    0.73    0.59    0.95
22    0.58    0.42    0.95    0.68    0.52    0.98    0.45    0.30    0.93    0.60    0.44    0.94
23    0.58    0.45    0.91    0.51    0.36    0.87    0.44    0.28    0.97    0.79    0.72    0.88
average    0.58    0.50    0.82    0.68    0.58    0.87    0.44    0.32    0.81    0.63    0.59    0.77
