songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.54    0.51    0.59    0.98    0.98    0.98    0.64    0.54    0.80    0.00    0.00    0.00
2    0.39    0.29    0.60    0.69    0.55    0.94    0.48    0.33    0.87    0.00    0.00    0.00
3    0.43    0.34    0.78    0.15    0.08    0.80    0.53    0.49    0.59    0.62    0.46    0.95
4    0.70    0.63    0.78    0.67    0.61    0.73    0.56    0.47    0.69    0.87    0.81    0.93
5    0.64    0.61    0.73    0.59    0.51    0.71    0.65    0.81    0.54    0.67    0.51    0.95
6    0.42    0.34    0.60    0.78    0.69    0.91    0.00    0.00    0.00    0.47    0.32    0.89
7    0.55    0.44    0.95    0.40    0.25    0.96    0.39    0.25    0.96    0.87    0.82    0.93
8    0.24    0.25    0.54    0.25    0.24    0.25    0.42    0.46    0.38    0.06    0.03    1.00
9    0.64    0.53    0.88    0.48    0.32    0.93    0.69    0.57    0.87    0.77    0.71    0.83
10    0.52    0.39    0.79    0.61    0.47    0.84    0.48    0.36    0.73    0.47    0.33    0.80
11    0.70    0.57    0.92    0.66    0.53    0.90    0.65    0.50    0.93    0.80    0.70    0.94
12    0.74    0.63    0.94    0.85    0.76    0.95    0.54    0.39    0.90    0.84    0.74    0.97
13    0.58    0.56    0.72    0.73    0.60    0.94    0.65    0.49    0.97    0.37    0.59    0.27
14    0.59    0.48    0.78    0.58    0.47    0.75    0.56    0.47    0.70    0.64    0.50    0.88
15    0.42    0.32    0.73    0.14    0.08    0.56    0.56    0.47    0.71    0.56    0.40    0.93
16    0.67    0.67    0.67    0.60    0.64    0.56    0.56    0.52    0.60    0.86    0.86    0.86
17    0.44    0.37    0.59    0.69    0.62    0.77    0.20    0.12    0.50    0.43    0.38    0.50
18    0.48    0.44    0.76    0.37    0.24    0.83    0.34    0.21    0.83    0.73    0.88    0.62
19    0.63    0.61    0.80    0.77    0.68    0.88    0.44    0.28    0.96    0.68    0.87    0.56
20    0.38    0.28    0.60    0.52    0.36    0.97    0.62    0.49    0.84    0.00    0.00    0.00
21    0.69    0.59    0.86    0.65    0.60    0.70    0.60    0.44    0.96    0.83    0.74    0.93
22    0.58    0.47    0.77    0.57    0.43    0.82    0.52    0.50    0.54    0.65    0.49    0.96
23    0.62    0.55    0.76    0.58    0.43    0.89    0.59    0.56    0.62    0.70    0.66    0.75
average    0.55    0.47    0.75    0.58    0.48    0.81    0.51    0.42    0.72    0.56    0.51    0.72
