songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.39    0.26    0.91    0.31    0.19    0.93    0.29    0.17    0.86    0.59    0.43    0.93
2    0.45    0.33    0.91    0.75    0.61    0.97    0.21    0.12    0.92    0.38    0.25    0.85
3    0.32    0.23    0.82    0.51    0.38    0.77    0.07    0.04    1.00    0.37    0.26    0.68
4    0.56    0.51    0.64    0.95    0.96    0.94    0.72    0.57    0.98    0.00    0.00    0.00
5    0.21    0.16    0.31    0.63    0.48    0.92    0.00    0.00    0.00    0.00    0.00    0.00
6    0.51    0.43    0.80    0.88    0.82    0.96    0.10    0.05    0.63    0.54    0.40    0.80
7    0.59    0.48    0.95    0.77    0.65    0.95    0.76    0.65    0.93    0.25    0.14    0.98
8    0.49    0.55    0.45    0.73    0.71    0.76    0.00    0.00    0.00    0.73    0.95    0.60
9    0.55    0.42    0.85    0.46    0.31    0.93    0.53    0.37    0.88    0.65    0.59    0.74
10    0.31    0.23    0.68    0.62    0.49    0.86    0.00    0.00    0.50    0.32    0.21    0.67
11    0.45    0.36    0.73    0.46    0.40    0.54    0.34    0.21    0.94    0.56    0.46    0.71
12    0.56    0.52    0.62    0.86    0.79    0.94    0.00    0.00    0.00    0.84    0.77    0.91
13    0.42    0.29    0.89    0.56    0.42    0.83    0.23    0.13    0.98    0.45    0.31    0.85
14    0.50    0.61    0.68    0.70    0.76    0.66    0.26    0.15    1.00    0.54    0.91    0.38
15    0.47    0.38    0.69    0.28    0.21    0.42    0.34    0.22    0.78    0.78    0.72    0.85
16    0.44    0.32    0.91    0.46    0.31    0.90    0.19    0.11    0.91    0.68    0.54    0.93
17    0.54    0.48    0.69    0.93    0.94    0.92    0.13    0.08    0.35    0.55    0.42    0.81
18    0.67    0.57    0.84    0.62    0.46    0.95    0.65    0.53    0.83    0.73    0.72    0.74
19    0.46    0.59    0.75    0.81    0.71    0.96    0.13    0.07    1.00    0.43    0.99    0.28
20    0.36    0.24    0.81    0.43    0.28    0.91    0.25    0.15    0.78    0.42    0.29    0.74
21    0.50    0.37    0.81    0.46    0.32    0.84    0.46    0.32    0.83    0.58    0.47    0.76
22    0.32    0.21    0.85    0.27    0.17    0.75    0.12    0.06    0.94    0.55    0.41    0.87
23    0.44    0.32    0.81    0.61    0.46    0.88    0.29    0.17    0.93    0.42    0.32    0.61
24    0.41    0.30    0.94    0.54    0.38    0.98    0.05    0.03    1.00    0.63    0.51    0.84
25    0.37    0.26    0.81    0.26    0.15    0.91    0.32    0.20    0.87    0.51    0.42    0.64
26    0.55    0.52    0.77    0.79    0.69    0.91    0.24    0.14    0.85    0.63    0.73    0.55
27    0.39    0.27    0.82    0.34    0.21    0.89    0.21    0.12    0.71    0.62    0.48    0.87
average    0.45    0.38    0.77    0.59    0.49    0.86    0.26    0.17    0.76    0.51    0.47    0.69
