songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.31    0.25    0.75    0.48    0.48    0.48    0.06    0.03    0.90    0.39    0.25    0.86
2    0.65    0.59    0.73    0.56    0.58    0.54    0.56    0.47    0.68    0.83    0.72    0.97
3    0.69    0.64    0.77    0.51    0.54    0.48    0.68    0.57    0.86    0.88    0.81    0.96
4    0.47    0.40    0.72    0.32    0.24    0.47    0.78    0.77    0.78    0.33    0.20    0.90
5    0.61    0.51    0.76    0.47    0.39    0.57    0.61    0.53    0.74    0.75    0.61    0.96
6    0.57    0.45    0.80    0.48    0.40    0.60    0.44    0.29    0.86    0.78    0.66    0.95
7    0.33    0.25    0.71    0.15    0.09    0.35    0.10    0.05    0.82    0.75    0.61    0.96
8    0.56    0.62    0.65    0.54    0.73    0.43    0.68    0.81    0.59    0.46    0.31    0.93
9    0.54    0.42    0.87    0.65    0.52    0.85    0.63    0.52    0.79    0.35    0.21    0.97
10    0.60    0.68    0.63    0.42    0.78    0.28    0.74    0.73    0.74    0.66    0.52    0.88
11    0.73    0.69    0.78    0.81    0.82    0.81    0.50    0.45    0.56    0.88    0.82    0.96
12    0.51    0.45    0.79    0.54    0.45    0.68    0.81    0.79    0.83    0.19    0.11    0.87
13    0.60    0.55    0.71    0.47    0.49    0.45    0.45    0.33    0.73    0.89    0.83    0.96
14    0.66    0.60    0.74    0.50    0.43    0.58    0.54    0.46    0.66    0.94    0.90    0.99
15    0.47    0.39    0.76    0.59    0.62    0.56    0.50    0.35    0.87    0.34    0.21    0.85
16    0.64    0.60    0.71    0.50    0.49    0.52    0.54    0.42    0.73    0.89    0.89    0.89
17    0.63    0.57    0.77    0.46    0.42    0.51    0.50    0.34    0.89    0.93    0.94    0.92
18    0.49    0.50    0.67    0.48    0.69    0.37    0.66    0.63    0.70    0.32    0.19    0.94
19    0.58    0.57    0.60    0.22    0.26    0.19    0.59    0.51    0.70    0.94    0.96    0.92
20    0.56    0.46    0.74    0.34    0.33    0.35    0.64    0.49    0.92    0.70    0.56    0.94
21    0.55    0.51    0.62    0.44    0.45    0.44    0.41    0.32    0.56    0.80    0.75    0.86
22    0.58    0.47    0.81    0.75    0.64    0.92    0.52    0.45    0.60    0.48    0.33    0.91
23    0.63    0.48    0.92    0.70    0.55    0.96    0.55    0.41    0.85    0.64    0.48    0.95
24    0.67    0.61    0.76    0.70    0.60    0.84    0.51    0.57    0.46    0.79    0.66    0.98
25    0.62    0.55    0.87    0.52    0.37    0.85    0.88    0.97    0.80    0.46    0.31    0.95
26    0.62    0.50    0.88    0.52    0.37    0.86    0.50    0.35    0.90    0.83    0.78    0.90
27    0.63    0.53    0.84    0.65    0.49    0.98    0.35    0.25    0.62    0.89    0.87    0.92
28    0.65    0.72    0.68    0.85    0.83    0.87    0.36    0.72    0.24    0.75    0.63    0.93
29    0.64    0.58    0.74    0.75    0.66    0.89    0.53    0.56    0.51    0.65    0.53    0.82
30    0.58    0.57    0.63    0.80    0.76    0.85    0.22    0.15    0.38    0.72    0.79    0.67
31    0.52    0.44    0.65    0.80    0.68    0.96    0.00    0.00    0.00    0.77    0.63    0.98
32    0.75    0.75    0.79    0.87    0.78    0.98    0.52    0.65    0.43    0.88    0.81    0.96
33    0.77    0.68    0.92    0.72    0.58    0.94    0.70    0.58    0.87    0.91    0.87    0.96
34    0.53    0.46    0.66    0.64    0.47    1.00    0.00    0.00    0.00    0.94    0.91    0.97
35    0.72    0.62    0.91    0.75    0.62    0.95    0.48    0.35    0.79    0.93    0.89    0.98
36    0.61    0.52    0.80    0.54    0.40    0.83    0.42    0.31    0.65    0.89    0.84    0.93
37    0.69    0.55    0.93    0.76    0.63    0.97    0.73    0.60    0.92    0.58    0.42    0.91
38    0.66    0.57    0.82    0.60    0.47    0.81    0.49    0.38    0.71    0.90    0.84    0.96
39    0.65    0.49    0.97    0.63    0.46    0.98    0.55    0.38    0.98    0.76    0.63    0.97
40    0.62    0.48    0.89    0.63    0.46    0.98    0.66    0.58    0.76    0.56    0.41    0.92
41    0.67    0.53    0.96    0.67    0.52    0.94    0.55    0.38    0.98    0.80    0.70    0.95
42    0.58    0.48    0.88    0.65    0.56    0.77    0.28    0.17    0.94    0.81    0.72    0.94
43    0.59    0.48    0.79    0.59    0.44    0.89    0.35    0.26    0.54    0.83    0.74    0.93
44    0.50    0.39    0.76    0.64    0.54    0.80    0.46    0.39    0.57    0.38    0.24    0.90
45    0.69    0.59    0.83    0.71    0.58    0.90    0.52    0.43    0.64    0.84    0.76    0.95
46    0.58    0.50    0.70    0.66    0.60    0.74    0.43    0.40    0.46    0.64    0.50    0.90
47    0.54    0.48    0.69    0.68    0.63    0.74    0.43    0.48    0.39    0.50    0.34    0.95
48    0.63    0.55    0.76    0.72    0.61    0.90    0.41    0.38    0.44    0.77    0.65    0.95
49    0.56    0.46    0.78    0.65    0.52    0.85    0.31    0.20    0.71    0.71    0.67    0.77
50    0.76    0.73    0.82    0.79    0.66    0.98    0.61    0.75    0.52    0.87    0.79    0.97
51    0.64    0.62    0.67    0.75    0.73    0.77    0.45    0.52    0.40    0.71    0.61    0.85
52    0.59    0.52    0.80    0.78    0.65    0.97    0.09    0.05    0.50    0.89    0.84    0.94
53    0.63    0.60    0.95    0.90    0.87    0.93    0.08    0.04    1.00    0.91    0.89    0.92
54    0.66    0.61    0.73    0.70    0.66    0.75    0.57    0.60    0.55    0.69    0.57    0.88
55    0.71    0.61    0.86    0.70    0.59    0.88    0.59    0.48    0.75    0.84    0.76    0.94
56    0.66    0.60    0.74    0.67    0.55    0.85    0.43    0.40    0.46    0.87    0.84    0.91
57    0.66    0.61    0.73    0.73    0.63    0.87    0.38    0.35    0.41    0.89    0.86    0.92
58    0.73    0.67    0.81    0.77    0.64    0.97    0.57    0.59    0.55    0.84    0.78    0.92
59    0.68    0.66    0.71    0.78    0.73    0.85    0.42    0.43    0.41    0.85    0.83    0.87
60    0.71    0.63    0.83    0.75    0.66    0.88    0.49    0.38    0.68    0.90    0.86    0.94
61    0.77    0.71    0.86    0.74    0.63    0.91    0.64    0.58    0.72    0.94    0.92    0.96
62    0.71    0.66    0.77    0.78    0.70    0.88    0.47    0.41    0.54    0.87    0.86    0.88
63    0.56    0.48    0.68    0.75    0.69    0.81    0.29    0.25    0.36    0.64    0.50    0.86
64    0.52    0.42    0.72    0.62    0.56    0.70    0.36    0.25    0.64    0.58    0.45    0.83
average    0.61    0.54    0.78    0.63    0.56    0.76    0.48    0.43    0.65    0.73    0.65    0.92
