songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.66    0.53    0.89    0.69    0.56    0.90    0.56    0.42    0.83    0.74    0.60    0.96
2    0.70    0.63    0.78    0.63    0.57    0.72    0.63    0.54    0.77    0.83    0.80    0.85
3    0.69    0.63    0.77    0.72    0.66    0.80    0.56    0.45    0.71    0.78    0.76    0.80
4    0.43    0.38    0.82    0.72    0.75    0.69    0.46    0.33    0.78    0.11    0.06    1.00
5    0.45    0.46    0.48    0.54    0.42    0.76    0.00    0.00    0.00    0.80    0.96    0.69
6    0.51    0.45    0.64    0.93    0.91    0.94    0.60    0.43    0.98    0.00    0.00    0.00
7    0.37    0.28    0.61    0.70    0.57    0.89    0.40    0.25    0.92    0.00    0.00    0.00
8    0.65    0.61    0.77    0.67    0.64    0.70    0.55    0.39    0.94    0.73    0.81    0.67
9    0.69    0.60    0.92    0.72    0.59    0.93    0.44    0.29    0.93    0.91    0.93    0.89
10    0.58    0.52    0.77    0.64    0.51    0.88    0.55    0.39    0.98    0.55    0.67    0.46
11    0.65    0.64    0.81    0.67    0.67    0.68    0.42    0.26    0.96    0.87    0.98    0.79
12    0.48    0.50    0.49    0.77    0.66    0.92    0.00    0.00    0.00    0.67    0.85    0.55
13    0.40    0.28    0.98    0.67    0.51    0.97    0.45    0.29    0.97    0.09    0.05    1.00
14    0.58    0.42    0.97    0.62    0.45    0.98    0.42    0.27    0.94    0.69    0.53    0.98
15    0.54    0.44    0.72    0.57    0.51    0.64    0.33    0.25    0.51    0.73    0.57    0.99
16    0.55    0.39    0.97    0.51    0.35    0.99    0.43    0.28    0.94    0.71    0.55    0.99
17    0.71    0.59    0.95    0.85    0.76    0.96    0.54    0.38    0.93    0.75    0.62    0.95
18    0.54    0.42    0.82    0.67    0.54    0.91    0.34    0.22    0.80    0.61    0.52    0.74
19    0.75    0.62    0.93    0.79    0.65    0.99    0.62    0.50    0.82    0.83    0.71    0.99
20    0.62    0.49    0.95    0.62    0.46    0.97    0.41    0.27    0.94    0.84    0.74    0.96
21    0.57    0.43    0.92    0.71    0.55    0.97    0.27    0.16    0.82    0.73    0.59    0.96
22    0.57    0.42    0.93    0.68    0.52    0.96    0.45    0.30    0.92    0.59    0.44    0.90
23    0.59    0.46    0.92    0.53    0.37    0.91    0.44    0.29    0.95    0.79    0.71    0.90
average    0.58    0.49    0.82    0.68    0.57    0.87    0.43    0.30    0.80    0.62    0.59    0.78
