songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.54    0.49    0.63    0.98    0.97    1.00    0.64    0.50    0.89    0.00    0.00    0.00
2    0.38    0.29    0.58    0.68    0.55    0.87    0.46    0.32    0.87    0.00    0.00    0.00
3    0.45    0.36    0.78    0.17    0.09    0.83    0.53    0.50    0.57    0.63    0.48    0.95
4    0.67    0.59    0.78    0.64    0.57    0.73    0.52    0.43    0.67    0.85    0.78    0.95
5    0.59    0.58    0.66    0.45    0.42    0.49    0.64    0.81    0.53    0.67    0.52    0.95
6    0.41    0.32    0.59    0.72    0.63    0.84    0.00    0.00    0.00    0.50    0.34    0.92
7    0.54    0.43    0.94    0.38    0.24    0.92    0.37    0.23    0.95    0.88    0.83    0.95
8    0.21    0.24    0.50    0.19    0.24    0.16    0.39    0.44    0.35    0.07    0.04    1.00
9    0.61    0.50    0.86    0.47    0.32    0.92    0.62    0.50    0.83    0.75    0.69    0.83
10    0.50    0.37    0.77    0.59    0.46    0.81    0.44    0.32    0.74    0.46    0.33    0.75
11    0.68    0.54    0.93    0.63    0.49    0.90    0.62    0.46    0.95    0.79    0.67    0.95
12    0.72    0.60    0.96    0.79    0.69    0.94    0.55    0.38    0.97    0.83    0.72    0.97
13    0.62    0.59    0.74    0.84    0.74    0.97    0.60    0.45    0.91    0.43    0.56    0.34
14    0.60    0.48    0.81    0.55    0.44    0.74    0.59    0.47    0.80    0.66    0.52    0.89
15    0.41    0.31    0.68    0.12    0.07    0.44    0.53    0.44    0.66    0.57    0.41    0.94
16    0.63    0.61    0.66    0.51    0.58    0.45    0.57    0.50    0.67    0.80    0.74    0.86
17    0.44    0.39    0.57    0.75    0.69    0.81    0.16    0.10    0.40    0.42    0.37    0.50
18    0.50    0.44    0.78    0.42    0.29    0.75    0.34    0.21    0.92    0.74    0.82    0.67
19    0.67    0.60    0.87    0.75    0.66    0.88    0.45    0.29    0.96    0.81    0.87    0.76
20    0.41    0.33    0.52    0.48    0.40    0.61    0.73    0.60    0.94    0.00    0.00    0.00
21    0.69    0.58    0.89    0.65    0.55    0.79    0.61    0.45    0.96    0.82    0.74    0.91
22    0.57    0.46    0.77    0.53    0.40    0.82    0.52    0.50    0.54    0.66    0.50    0.96
23    0.55    0.64    0.53    0.65    0.62    0.68    0.57    0.52    0.62    0.43    0.78    0.30
average    0.54    0.47    0.73    0.56    0.48    0.75    0.50    0.41    0.72    0.55    0.51    0.71
