songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.38    0.26    0.91    0.36    0.22    0.98    0.23    0.13    0.98    0.55    0.42    0.78
2    0.46    0.35    0.91    0.81    0.69    0.99    0.21    0.12    0.95    0.37    0.24    0.80
3    0.35    0.24    0.86    0.56    0.41    0.88    0.07    0.04    0.96    0.41    0.28    0.74
4    0.53    0.48    0.64    0.96    0.99    0.93    0.63    0.47    0.98    0.00    0.00    0.00
5    0.19    0.13    0.32    0.56    0.40    0.96    0.00    0.00    0.00    0.00    0.00    0.00
6    0.52    0.43    0.84    0.90    0.82    0.99    0.12    0.06    0.73    0.55    0.42    0.80
7    0.57    0.45    0.90    0.69    0.60    0.82    0.71    0.57    0.95    0.31    0.18    0.94
8    0.50    0.51    0.54    0.70    0.57    0.92    0.00    0.00    0.00    0.80    0.96    0.69
9    0.55    0.43    0.83    0.46    0.31    0.88    0.55    0.40    0.89    0.64    0.58    0.73
10    0.31    0.22    0.70    0.57    0.42    0.92    0.00    0.00    0.50    0.34    0.23    0.67
11    0.49    0.39    0.80    0.61    0.48    0.81    0.32    0.19    0.97    0.54    0.49    0.60
12    0.53    0.47    0.62    0.75    0.62    0.94    0.00    0.00    0.00    0.84    0.78    0.92
13    0.40    0.27    0.92    0.53    0.37    0.90    0.23    0.13    1.00    0.45    0.31    0.86
14    0.55    0.62    0.74    0.80    0.77    0.83    0.29    0.17    1.00    0.55    0.92    0.39
15    0.43    0.36    0.64    0.16    0.11    0.30    0.32    0.20    0.80    0.80    0.78    0.81
16    0.45    0.33    0.85    0.44    0.32    0.71    0.20    0.11    0.93    0.71    0.57    0.92
17    0.54    0.48    0.69    0.96    0.94    0.97    0.10    0.06    0.23    0.57    0.43    0.88
18    0.63    0.54    0.84    0.52    0.36    0.94    0.64    0.52    0.83    0.74    0.74    0.75
19    0.47    0.53    0.79    0.67    0.52    0.97    0.17    0.09    1.00    0.58    0.99    0.41
20    0.37    0.24    0.79    0.48    0.32    0.96    0.27    0.16    0.82    0.36    0.26    0.59
21    0.50    0.37    0.84    0.48    0.32    0.91    0.45    0.31    0.85    0.58    0.47    0.75
22    0.32    0.23    0.86    0.30    0.18    0.85    0.12    0.06    0.98    0.55    0.44    0.74
23    0.40    0.28    0.83    0.51    0.35    0.95    0.28    0.17    0.98    0.41    0.31    0.58
24    0.45    0.35    0.94    0.61    0.44    0.98    0.05    0.02    1.00    0.69    0.59    0.83
25    0.37    0.27    0.82    0.32    0.19    0.98    0.31    0.19    0.89    0.49    0.42    0.58
26    0.54    0.49    0.77    0.73    0.58    0.96    0.22    0.13    0.75    0.66    0.74    0.59
27    0.37    0.26    0.83    0.29    0.18    0.87    0.19    0.11    0.77    0.62    0.49    0.84
average    0.45    0.37    0.78    0.58    0.46    0.89    0.25    0.16    0.77    0.52    0.48    0.67
