songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.32    0.22    0.82    0.48    0.37    0.69    0.07    0.03    0.90    0.40    0.26    0.88
2    0.68    0.58    0.82    0.61    0.50    0.80    0.58    0.50    0.68    0.83    0.73    0.97
3    0.65    0.57    0.77    0.46    0.43    0.50    0.61    0.48    0.86    0.88    0.82    0.95
4    0.45    0.42    0.66    0.27    0.20    0.41    0.75    0.87    0.66    0.32    0.20    0.92
5    0.58    0.51    0.72    0.45    0.33    0.71    0.54    0.61    0.49    0.74    0.60    0.96
6    0.55    0.42    0.82    0.44    0.31    0.76    0.47    0.34    0.73    0.75    0.61    0.97
7    0.33    0.25    0.76    0.17    0.10    0.65    0.10    0.05    0.64    0.73    0.58    0.99
8    0.58    0.62    0.70    0.65    0.64    0.67    0.63    0.90    0.49    0.46    0.31    0.94
9    0.51    0.39    0.86    0.61    0.47    0.87    0.60    0.51    0.72    0.34    0.20    0.99
10    0.63    0.68    0.65    0.53    0.80    0.40    0.73    0.70    0.77    0.64    0.54    0.78
11    0.71    0.64    0.78    0.77    0.74    0.81    0.48    0.43    0.56    0.86    0.77    0.97
12    0.51    0.45    0.80    0.54    0.42    0.77    0.79    0.81    0.76    0.21    0.12    0.87
13    0.61    0.54    0.74    0.48    0.44    0.53    0.48    0.35    0.77    0.86    0.82    0.92
14    0.64    0.58    0.77    0.39    0.26    0.78    0.56    0.56    0.56    0.95    0.92    0.99
15    0.51    0.40    0.82    0.62    0.56    0.71    0.56    0.41    0.87    0.35    0.22    0.88
16    0.65    0.59    0.75    0.49    0.40    0.65    0.58    0.50    0.69    0.88    0.86    0.91
17    0.61    0.55    0.77    0.45    0.38    0.56    0.47    0.32    0.86    0.91    0.95    0.88
18    0.55    0.52    0.75    0.65    0.73    0.59    0.67    0.63    0.72    0.33    0.20    0.94
19    0.67    0.67    0.69    0.46    0.38    0.57    0.64    0.66    0.62    0.92    0.96    0.87
20    0.63    0.52    0.82    0.45    0.36    0.59    0.74    0.62    0.92    0.71    0.57    0.94
21    0.53    0.45    0.66    0.40    0.32    0.54    0.39    0.29    0.58    0.79    0.72    0.87
22    0.53    0.41    0.80    0.62    0.46    0.97    0.47    0.43    0.52    0.48    0.33    0.90
23    0.60    0.44    0.93    0.58    0.41    0.97    0.56    0.41    0.89    0.65    0.50    0.94
24    0.64    0.55    0.77    0.64    0.51    0.87    0.44    0.41    0.47    0.83    0.73    0.97
25    0.55    0.52    0.80    0.43    0.29    0.87    0.80    0.98    0.68    0.42    0.28    0.84
26    0.63    0.51    0.89    0.48    0.33    0.88    0.56    0.41    0.87    0.84    0.77    0.91
27    0.59    0.48    0.85    0.50    0.34    0.98    0.37    0.26    0.63    0.89    0.83    0.95
28    0.66    0.69    0.72    0.85    0.75    0.98    0.36    0.66    0.24    0.77    0.66    0.93
29    0.55    0.54    0.68    0.58    0.42    0.91    0.45    0.68    0.33    0.63    0.52    0.81
30    0.54    0.50    0.62    0.71    0.59    0.88    0.19    0.14    0.31    0.71    0.76    0.66
31    0.50    0.41    0.64    0.75    0.61    0.97    0.00    0.00    0.00    0.75    0.62    0.96
32    0.72    0.69    0.77    0.83    0.71    1.00    0.48    0.58    0.41    0.84    0.79    0.89
33    0.76    0.66    0.93    0.64    0.48    0.97    0.73    0.62    0.88    0.91    0.89    0.94
34    0.47    0.40    0.66    0.48    0.31    1.00    0.00    0.00    0.00    0.94    0.90    0.98
35    0.69    0.59    0.90    0.72    0.58    0.95    0.43    0.30    0.79    0.93    0.89    0.98
36    0.59    0.49    0.84    0.41    0.26    0.89    0.49    0.38    0.71    0.88    0.84    0.92
37    0.68    0.54    0.93    0.73    0.59    0.94    0.75    0.61    0.96    0.58    0.43    0.88
38    0.65    0.55    0.83    0.58    0.44    0.84    0.49    0.37    0.72    0.89    0.85    0.94
39    0.64    0.48    0.97    0.57    0.40    0.96    0.56    0.39    0.98    0.78    0.64    0.99
40    0.60    0.46    0.89    0.57    0.41    0.95    0.63    0.52    0.81    0.60    0.45    0.90
41    0.67    0.53    0.96    0.63    0.48    0.92    0.56    0.39    1.00    0.82    0.72    0.95
42    0.56    0.44    0.88    0.57    0.43    0.85    0.31    0.19    0.88    0.80    0.70    0.93
43    0.57    0.47    0.78    0.50    0.35    0.84    0.35    0.24    0.59    0.86    0.82    0.90
44    0.46    0.34    0.76    0.54    0.39    0.85    0.46    0.38    0.57    0.38    0.25    0.85
45    0.67    0.57    0.84    0.66    0.51    0.92    0.50    0.40    0.67    0.86    0.80    0.92
46    0.55    0.46    0.69    0.60    0.52    0.71    0.39    0.34    0.47    0.66    0.53    0.88
47    0.48    0.46    0.64    0.61    0.53    0.71    0.34    0.49    0.26    0.51    0.35    0.95
48    0.61    0.52    0.76    0.66    0.51    0.94    0.39    0.40    0.39    0.78    0.67    0.94
49    0.54    0.42    0.82    0.53    0.38    0.91    0.36    0.24    0.73    0.71    0.64    0.81
50    0.74    0.70    0.83    0.75    0.60    1.00    0.61    0.73    0.53    0.86    0.77    0.97
51    0.61    0.57    0.69    0.69    0.59    0.84    0.44    0.53    0.38    0.69    0.59    0.84
52    0.55    0.48    0.78    0.70    0.55    0.96    0.10    0.05    0.50    0.86    0.83    0.89
53    0.57    0.58    0.87    0.86    0.85    0.86    0.06    0.03    1.00    0.80    0.86    0.75
54    0.65    0.59    0.74    0.73    0.66    0.82    0.51    0.52    0.51    0.69    0.57    0.88
55    0.67    0.56    0.84    0.64    0.50    0.88    0.54    0.44    0.72    0.83    0.75    0.93
56    0.64    0.58    0.72    0.67    0.54    0.88    0.39    0.35    0.45    0.85    0.87    0.83
57    0.62    0.54    0.74    0.59    0.45    0.87    0.40    0.36    0.44    0.86    0.82    0.91
58    0.70    0.63    0.81    0.68    0.53    0.95    0.54    0.53    0.56    0.87    0.82    0.92
59    0.64    0.60    0.71    0.71    0.58    0.91    0.40    0.41    0.39    0.83    0.83    0.83
60    0.71    0.64    0.83    0.71    0.59    0.88    0.52    0.42    0.68    0.91    0.90    0.92
61    0.75    0.69    0.86    0.70    0.58    0.88    0.67    0.56    0.82    0.89    0.93    0.86
62    0.68    0.63    0.75    0.71    0.59    0.88    0.49    0.43    0.55    0.84    0.85    0.83
63    0.53    0.47    0.63    0.65    0.53    0.83    0.32    0.33    0.31    0.63    0.53    0.76
64    0.52    0.42    0.71    0.55    0.48    0.65    0.33    0.22    0.67    0.66    0.56    0.82
average    0.60    0.52    0.78    0.59    0.48    0.81    0.47    0.43    0.63    0.73    0.65    0.90
