songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.48    0.69    0.42    0.50    0.71    0.38    0.08    0.50    0.04    0.85    0.86    0.84
2    0.41    0.64    0.34    0.00    0.00    0.00    0.41    1.00    0.26    0.83    0.91    0.76
3    0.55    0.62    0.53    0.39    0.48    0.33    0.49    0.41    0.62    0.76    0.96    0.63
4    0.17    0.25    0.33    0.31    0.61    0.20    0.03    0.04    0.02    0.17    0.09    0.75
5    0.38    0.41    0.48    0.44    0.29    0.90    0.00    0.00    0.00    0.69    0.95    0.54
6    0.45    0.38    0.63    0.88    0.84    0.92    0.46    0.30    0.98    0.00    0.00    0.00
7    0.38    0.30    0.56    0.64    0.56    0.73    0.50    0.33    0.96    0.00    0.00    0.00
8    0.54    0.56    0.72    0.58    0.46    0.76    0.50    0.33    1.00    0.56    0.88    0.41
9    0.61    0.53    0.89    0.53    0.38    0.89    0.39    0.25    0.93    0.89    0.96    0.83
10    0.53    0.54    0.68    0.61    0.47    0.85    0.60    0.44    0.93    0.38    0.71    0.26
11    0.63    0.59    0.88    0.70    0.54    0.98    0.38    0.24    0.96    0.82    0.99    0.70
12    0.41    0.48    0.44    0.71    0.56    0.95    0.00    0.00    0.00    0.52    0.87    0.37
13    0.38    0.26    0.97    0.62    0.46    0.93    0.43    0.28    0.97    0.09    0.05    1.00
14    0.58    0.42    0.97    0.63    0.47    0.96    0.42    0.27    0.96    0.70    0.54    0.99
15    0.55    0.45    0.72    0.56    0.50    0.63    0.34    0.25    0.53    0.75    0.60    1.00
16    0.56    0.40    0.99    0.51    0.34    0.99    0.44    0.28    0.99    0.73    0.57    0.99
17    0.71    0.58    0.96    0.79    0.68    0.95    0.56    0.39    0.98    0.78    0.65    0.96
18    0.53    0.41    0.83    0.63    0.49    0.91    0.36    0.23    0.84    0.60    0.51    0.74
19    0.70    0.57    0.93    0.61    0.44    0.99    0.64    0.53    0.80    0.84    0.73    0.99
20    0.60    0.47    0.96    0.56    0.39    0.99    0.41    0.26    0.95    0.83    0.75    0.94
21    0.57    0.43    0.98    0.66    0.50    0.99    0.29    0.17    0.96    0.76    0.61    0.99
22    0.58    0.42    0.95    0.67    0.51    0.97    0.45    0.30    0.94    0.62    0.47    0.92
23    0.58    0.46    0.92    0.52    0.36    0.94    0.43    0.28    0.94    0.80    0.73    0.88
average    0.52    0.47    0.74    0.57    0.48    0.79    0.37    0.31    0.72    0.61    0.63    0.72
