songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.52    0.47    0.61    0.95    0.97    0.94    0.60    0.46    0.89    0.00    0.00    0.00
2    0.34    0.29    0.46    0.59    0.58    0.60    0.42    0.29    0.78    0.00    0.00    0.00
3    0.47    0.38    0.80    0.14    0.07    0.83    0.59    0.55    0.63    0.67    0.53    0.94
4    0.67    0.58    0.83    0.58    0.44    0.85    0.55    0.45    0.71    0.87    0.84    0.92
5    0.58    0.55    0.66    0.40    0.31    0.55    0.67    0.80    0.57    0.66    0.54    0.84
6    0.35    0.25    0.60    0.55    0.40    0.88    0.00    0.00    0.00    0.52    0.36    0.92
7    0.51    0.41    0.96    0.31    0.18    0.97    0.37    0.23    0.97    0.87    0.81    0.93
8    0.26    0.23    0.60    0.33    0.27    0.43    0.38    0.40    0.36    0.06    0.03    1.00
9    0.62    0.53    0.81    0.45    0.31    0.85    0.66    0.56    0.80    0.75    0.73    0.77
10    0.50    0.37    0.75    0.56    0.43    0.79    0.44    0.32    0.70    0.49    0.36    0.76
11    0.70    0.58    0.89    0.63    0.50    0.83    0.68    0.53    0.93    0.80    0.71    0.93
12    0.69    0.57    0.93    0.72    0.60    0.92    0.52    0.37    0.91    0.83    0.74    0.95
13    0.57    0.57    0.66    0.72    0.65    0.81    0.60    0.45    0.91    0.37    0.61    0.27
14    0.55    0.44    0.74    0.49    0.38    0.71    0.52    0.42    0.67    0.64    0.52    0.83
15    0.39    0.30    0.69    0.11    0.06    0.56    0.51    0.42    0.65    0.56    0.42    0.85
16    0.64    0.62    0.66    0.47    0.49    0.45    0.57    0.52    0.64    0.86    0.85    0.88
17    0.38    0.32    0.52    0.61    0.54    0.71    0.18    0.11    0.50    0.33    0.32    0.35
18    0.51    0.49    0.75    0.44    0.31    0.75    0.36    0.22    0.92    0.72    0.93    0.58
19    0.65    0.60    0.83    0.71    0.64    0.81    0.41    0.26    0.96    0.81    0.91    0.73
20    0.38    0.32    0.47    0.42    0.38    0.48    0.72    0.58    0.94    0.00    0.00    0.00
21    0.65    0.56    0.80    0.49    0.47    0.52    0.62    0.46    0.96    0.82    0.74    0.92
22    0.56    0.47    0.72    0.45    0.33    0.72    0.51    0.50    0.53    0.71    0.57    0.93
23    0.48    0.58    0.41    0.34    0.45    0.27    0.65    0.68    0.62    0.44    0.62    0.34
average    0.52    0.46    0.70    0.50    0.42    0.71    0.50    0.42    0.72    0.56    0.53    0.68
