songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.28    0.18    0.97    0.16    0.09    1.00    0.15    0.08    1.00    0.52    0.36    0.92
2    0.40    0.28    0.95    0.67    0.51    0.96    0.18    0.10    0.99    0.35    0.22    0.92
3    0.33    0.21    0.97    0.50    0.34    0.96    0.07    0.04    1.00    0.41    0.26    0.95
4    0.53    0.47    0.65    0.94    0.92    0.95    0.65    0.49    0.99    0.00    0.00    0.00
5    0.18    0.12    0.32    0.53    0.36    0.95    0.00    0.00    0.00    0.00    0.00    0.00
6    0.50    0.41    0.89    0.86    0.77    0.97    0.13    0.07    0.90    0.52    0.39    0.79
7    0.48    0.34    0.98    0.66    0.50    0.99    0.56    0.40    0.98    0.20    0.11    0.98
8    0.50    0.49    0.54    0.69    0.56    0.91    0.00    0.00    0.00    0.80    0.92    0.70
9    0.49    0.37    0.86    0.32    0.20    0.92    0.47    0.32    0.90    0.68    0.60    0.78
10    0.25    0.17    0.86    0.48    0.32    0.91    0.01    0.00    1.00    0.28    0.17    0.67
11    0.46    0.33    0.88    0.56    0.40    0.93    0.29    0.17    0.99    0.53    0.42    0.72
12    0.42    0.35    0.61    0.44    0.29    0.92    0.00    0.00    0.00    0.82    0.75    0.90
13    0.36    0.23    0.94    0.44    0.29    0.97    0.21    0.12    1.00    0.44    0.30    0.84
14    0.47    0.51    0.72    0.58    0.47    0.75    0.28    0.16    1.00    0.56    0.89    0.41
15    0.40    0.31    0.74    0.22    0.14    0.54    0.25    0.15    0.83    0.73    0.64    0.84
16    0.44    0.31    0.96    0.43    0.28    0.97    0.19    0.10    0.95    0.69    0.54    0.96
17    0.52    0.46    0.74    0.79    0.86    0.73    0.16    0.10    0.52    0.60    0.43    0.98
18    0.59    0.49    0.83    0.44    0.29    0.93    0.61    0.48    0.84    0.72    0.70    0.73
19    0.56    0.53    0.89    0.66    0.51    0.93    0.16    0.08    1.00    0.85    1.00    0.74
20    0.34    0.21    0.87    0.36    0.22    0.96    0.24    0.14    0.86    0.42    0.28    0.78
21    0.47    0.34    0.84    0.40    0.25    0.90    0.43    0.29    0.86    0.57    0.46    0.74
22    0.30    0.19    0.97    0.27    0.15    0.98    0.12    0.06    1.00    0.52    0.37    0.92
23    0.34    0.22    0.86    0.33    0.20    0.94    0.25    0.14    0.98    0.43    0.32    0.65
24    0.35    0.25    0.93    0.41    0.26    0.98    0.04    0.02    1.00    0.61    0.48    0.83
25    0.34    0.23    0.87    0.24    0.13    0.93    0.26    0.15    0.90    0.54    0.42    0.76
26    0.45    0.39    0.81    0.51    0.36    0.90    0.21    0.12    0.98    0.62    0.70    0.55
27    0.33    0.23    0.86    0.23    0.13    0.90    0.16    0.09    0.81    0.61    0.47    0.87
average    0.41    0.32    0.83    0.48    0.36    0.91    0.23    0.14    0.83    0.52    0.45    0.74
