songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.25    0.27    0.40    0.37    0.51    0.30    0.12    0.06    0.60    0.27    0.24    0.30
2    0.64    0.69    0.60    0.81    0.84    0.78    0.39    0.36    0.42    0.72    0.87    0.61
3    0.62    0.82    0.58    0.69    0.61    0.79    0.44    1.00    0.29    0.74    0.85    0.65
4    0.48    0.61    0.46    0.43    0.41    0.45    0.51    0.97    0.34    0.50    0.44    0.58
5    0.67    0.71    0.64    0.77    0.77    0.78    0.48    0.58    0.40    0.76    0.78    0.74
6    0.64    0.79    0.56    0.74    0.73    0.74    0.56    0.88    0.41    0.62    0.77    0.52
7    0.34    0.42    0.36    0.71    0.82    0.62    0.06    0.03    0.27    0.25    0.40    0.18
8    0.58    0.65    0.60    0.70    0.84    0.60    0.63    0.82    0.51    0.42    0.30    0.70
9    0.63    0.56    0.73    0.78    0.70    0.88    0.49    0.46    0.51    0.62    0.51    0.79
10    0.50    0.64    0.44    0.54    0.50    0.59    0.43    0.71    0.31    0.53    0.72    0.42
11    0.54    0.64    0.51    0.54    0.45    0.68    0.38    0.54    0.30    0.70    0.93    0.57
12    0.58    0.59    0.73    0.65    0.60    0.72    0.69    0.91    0.55    0.40    0.26    0.91
13    0.65    0.65    0.70    0.72    0.70    0.75    0.46    0.35    0.69    0.78    0.91    0.68
14    0.60    0.68    0.60    0.69    0.56    0.89    0.50    0.55    0.45    0.61    0.94    0.45
15    0.57    0.53    0.72    0.76    0.82    0.71    0.67    0.58    0.78    0.28    0.18    0.68
16    0.77    0.80    0.75    0.81    0.75    0.88    0.64    0.65    0.63    0.85    0.99    0.75
17    0.67    0.68    0.74    0.62    0.53    0.74    0.68    0.53    0.93    0.71    0.98    0.56
18    0.62    0.60    0.71    0.86    0.91    0.83    0.56    0.59    0.53    0.44    0.30    0.79
19    0.64    0.66    0.68    0.55    0.41    0.81    0.66    0.64    0.68    0.70    0.94    0.56
20    0.68    0.66    0.73    0.55    0.46    0.69    0.87    0.97    0.79    0.62    0.55    0.70
21    0.56    0.62    0.55    0.62    0.51    0.79    0.27    0.38    0.21    0.78    0.98    0.65
22    0.56    0.53    0.59    0.92    0.87    0.99    0.47    0.43    0.53    0.28    0.30    0.27
23    0.72    0.63    0.87    0.99    0.97    1.00    0.50    0.37    0.79    0.66    0.55    0.82
24    0.79    0.88    0.74    0.97    0.94    0.99    0.55    0.71    0.44    0.87    0.97    0.79
25    0.84    0.85    0.85    0.98    0.96    1.00    0.84    0.97    0.73    0.70    0.62    0.80
26    0.76    0.85    0.70    0.95    0.98    0.92    0.63    0.69    0.58    0.71    0.88    0.59
27    0.73    0.82    0.68    0.96    0.93    1.00    0.46    0.56    0.39    0.78    0.97    0.65
28    0.57    0.77    0.50    0.92    0.98    0.87    0.06    0.35    0.03    0.73    0.98    0.58
29    0.66    0.60    0.78    0.95    0.90    1.00    0.57    0.54    0.60    0.47    0.34    0.75
30    0.59    0.66    0.55    0.93    0.90    0.95    0.29    0.35    0.25    0.54    0.73    0.43
31    0.58    0.54    0.63    0.98    0.96    1.00    0.00    0.00    0.00    0.75    0.65    0.90
32    0.75    0.85    0.72    1.00    1.00    1.00    0.39    0.74    0.27    0.85    0.80    0.91
33    0.90    0.88    0.93    0.98    0.97    1.00    0.75    0.66    0.87    0.95    1.00    0.91
34    0.66    0.66    0.66    0.99    0.97    1.00    0.00    0.00    0.00    0.99    1.00    0.98
35    0.76    0.73    0.84    0.93    0.91    0.95    0.39    0.28    0.64    0.97    1.00    0.93
36    0.83    0.85    0.82    0.94    0.92    0.96    0.59    0.62    0.56    0.97    1.00    0.94
37    0.79    0.73    0.89    0.96    0.96    0.97    0.73    0.66    0.82    0.69    0.56    0.88
38    0.80    0.94    0.72    0.92    0.95    0.88    0.54    0.90    0.38    0.93    0.97    0.90
39    0.82    0.73    0.97    0.97    0.94    1.00    0.62    0.47    0.91    0.87    0.77    0.99
40    0.77    0.69    0.88    0.89    0.82    0.98    0.71    0.69    0.73    0.70    0.56    0.92
41    0.88    0.88    0.87    0.95    0.97    0.94    0.84    0.83    0.85    0.84    0.84    0.83
42    0.74    0.67    0.89    0.93    0.94    0.92    0.46    0.32    0.81    0.83    0.76    0.92
43    0.76    0.75    0.77    0.96    0.93    1.00    0.44    0.40    0.50    0.87    0.94    0.82
44    0.50    0.39    0.69    0.77    0.63    0.98    0.32    0.23    0.50    0.41    0.32    0.57
45    0.71    0.72    0.73    0.85    0.75    0.97    0.59    0.59    0.59    0.70    0.81    0.62
46    0.50    0.60    0.49    0.86    0.79    0.95    0.46    0.55    0.40    0.19    0.47    0.12
47    0.45    0.56    0.44    0.93    0.87    0.99    0.19    0.57    0.12    0.21    0.23    0.21
48    0.57    0.70    0.54    0.88    0.79    0.99    0.36    0.56    0.27    0.48    0.74    0.36
49    0.69    0.69    0.73    0.89    0.82    0.97    0.60    0.50    0.75    0.58    0.74    0.47
50    0.66    0.90    0.65    0.96    0.91    1.00    0.18    0.90    0.10    0.86    0.87    0.85
51    0.60    0.67    0.59    0.93    0.88    1.00    0.37    0.67    0.26    0.48    0.45    0.51
52    0.61    0.58    0.72    0.91    0.84    1.00    0.14    0.08    0.44    0.77    0.82    0.73
53    0.60    0.63    0.85    0.99    1.00    0.97    0.13    0.07    1.00    0.68    0.82    0.58
54    0.53    0.59    0.53    0.85    0.74    1.00    0.24    0.43    0.17    0.50    0.59    0.43
55    0.75    0.81    0.72    0.94    0.89    1.00    0.60    0.68    0.53    0.72    0.86    0.63
56    0.72    0.87    0.66    0.88    0.80    0.97    0.48    0.85    0.34    0.79    0.95    0.67
57    0.70    0.85    0.67    0.87    0.78    0.99    0.40    0.84    0.26    0.85    0.93    0.78
58    0.68    0.70    0.68    0.89    0.81    0.98    0.48    0.58    0.41    0.68    0.72    0.64
59    0.60    0.76    0.55    0.87    0.82    0.92    0.26    0.65    0.16    0.66    0.82    0.55
60    0.70    0.80    0.69    0.84    0.74    0.97    0.44    0.77    0.30    0.84    0.88    0.79
61    0.87    0.94    0.82    0.96    0.95    0.98    0.70    0.90    0.58    0.93    0.96    0.91
62    0.64    0.82    0.57    0.89    0.83    0.95    0.36    0.69    0.24    0.67    0.94    0.53
63    0.63    0.65    0.63    0.96    0.93    1.00    0.28    0.42    0.21    0.64    0.61    0.68
64    0.52    0.64    0.55    0.85    0.76    0.97    0.53    0.49    0.57    0.19    0.68    0.11
average    0.65    0.70    0.67    0.84    0.80    0.89    0.46    0.56    0.48    0.66    0.72    0.66
