songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.15    0.19    0.27    0.25    0.17    0.46    0.12    0.08    0.30    0.08    0.33    0.04
2    0.32    0.39    0.42    0.64    0.51    0.84    0.25    0.19    0.38    0.08    0.46    0.05
3    0.40    0.55    0.51    0.66    0.55    0.81    0.46    0.35    0.67    0.07    0.75    0.04
4    0.40    0.35    0.50    0.66    0.61    0.73    0.36    0.25    0.61    0.17    0.18    0.17
5    0.43    0.41    0.56    0.45    0.30    0.90    0.00    0.00    0.00    0.85    0.94    0.78
6    0.48    0.50    0.47    0.96    0.93    0.98    0.49    0.58    0.42    0.00    0.00    0.00
7    0.43    0.37    0.54    0.67    0.65    0.70    0.61    0.45    0.92    0.00    0.00    0.00
8    0.55    0.53    0.69    0.49    0.41    0.60    0.41    0.28    0.82    0.75    0.89    0.65
9    0.68    0.72    0.67    0.95    0.93    0.96    0.19    0.33    0.13    0.91    0.91    0.90
10    0.64    0.63    0.69    0.83    0.78    0.88    0.82    0.71    0.98    0.29    0.39    0.23
11    0.55    0.53    0.57    0.09    0.12    0.07    0.58    0.50    0.68    0.97    0.97    0.97
12    0.31    0.37    0.34    0.89    0.80    1.00    0.00    0.00    0.00    0.04    0.30    0.02
13    0.49    0.43    0.58    0.92    0.87    0.97    0.55    0.42    0.78    0.00    0.00    0.00
14    0.42    0.40    0.50    0.08    0.06    0.12    0.58    0.43    0.86    0.60    0.71    0.51
15    0.30    0.47    0.33    0.46    0.44    0.47    0.31    0.24    0.45    0.15    0.75    0.08
16    0.53    0.48    0.72    0.74    0.59    0.99    0.60    0.43    0.98    0.27    0.43    0.19
17    0.48    0.56    0.55    0.57    0.53    0.62    0.73    0.59    0.97    0.12    0.57    0.07
18    0.50    0.54    0.59    0.87    0.84    0.91    0.46    0.33    0.76    0.18    0.45    0.11
19    0.51    0.76    0.45    0.98    0.97    1.00    0.24    0.37    0.17    0.30    0.95    0.17
20    0.74    0.74    0.77    0.91    0.87    0.95    0.68    0.59    0.80    0.65    0.75    0.57
21    0.26    0.38    0.41    0.23    0.18    0.33    0.44    0.29    0.83    0.10    0.67    0.06
22    0.54    0.62    0.61    0.78    0.64    1.00    0.65    0.58    0.74    0.18    0.66    0.10
23    0.55    0.61    0.63    0.73    0.61    0.89    0.68    0.57    0.85    0.23    0.65    0.14
average    0.46    0.50    0.54    0.64    0.58    0.75    0.44    0.37    0.61    0.30    0.55    0.25
