songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.50    0.51    0.50    0.93    0.87    0.98    0.57    0.64    0.51    0.00    0.00    0.00
2    0.18    0.16    0.24    0.46    0.36    0.66    0.09    0.12    0.07    0.00    0.00    0.00
3    0.45    0.50    0.67    0.15    0.09    0.80    0.41    0.74    0.28    0.80    0.69    0.94
4    0.46    0.56    0.44    0.65    0.59    0.73    0.04    0.18    0.02    0.69    0.89    0.56
5    0.64    0.70    0.68    0.60    0.58    0.62    0.59    0.94    0.43    0.73    0.59    0.98
6    0.48    0.45    0.51    0.70    0.71    0.69    0.00    0.00    0.00    0.73    0.65    0.84
7    0.64    0.63    0.69    0.78    0.73    0.85    0.26    0.19    0.40    0.89    0.95    0.83
8    0.22    0.26    0.54    0.47    0.35    0.71    0.11    0.38    0.07    0.07    0.04    0.86
9    0.52    0.59    0.62    0.48    0.32    1.00    0.36    0.51    0.28    0.70    0.93    0.56
10    0.54    0.54    0.55    0.89    0.81    0.98    0.41    0.48    0.35    0.33    0.33    0.33
11    0.63    0.63    0.71    0.72    0.57    1.00    0.60    0.53    0.67    0.58    0.78    0.46
12    0.62    0.70    0.57    0.90    0.87    0.93    0.38    0.44    0.33    0.58    0.80    0.46
13    0.34    0.30    0.49    0.61    0.45    0.94    0.34    0.25    0.50    0.08    0.20    0.05
14    0.54    0.57    0.56    0.75    0.63    0.93    0.35    0.44    0.29    0.53    0.65    0.45
15    0.39    0.36    0.73    0.19    0.10    0.96    0.38    0.51    0.31    0.61    0.45    0.93
16    0.42    0.30    0.69    0.61    0.44    1.00    0.34    0.22    0.69    0.30    0.25    0.38
17    0.31    0.27    0.44    0.67    0.51    1.00    0.09    0.06    0.20    0.16    0.25    0.12
18    0.19    0.24    0.31    0.06    0.05    0.08    0.48    0.33    0.83    0.04    0.33    0.02
19    0.32    0.38    0.42    0.67    0.50    1.00    0.20    0.19    0.21    0.10    0.45    0.05
20    0.44    0.50    0.47    0.65    0.51    0.90    0.68    1.00    0.52    0.00    0.00    0.00
21    0.79    0.77    0.81    0.84    0.75    0.96    0.60    0.61    0.60    0.92    0.95    0.89
22    0.77    0.79    0.77    0.88    0.84    0.91    0.52    0.63    0.45    0.91    0.89    0.94
23    0.43    0.57    0.42    0.92    0.88    0.97    0.29    0.33    0.25    0.09    0.50    0.05
average    0.47    0.49    0.56    0.63    0.54    0.85    0.35    0.42    0.36    0.43    0.50    0.46
