songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.57    0.47    0.84    0.47    0.31    0.95    0.62    0.46    0.97    0.61    0.63    0.59
2    0.65    0.57    0.81    0.97    0.94    1.00    0.43    0.39    0.48    0.55    0.39    0.97
3    0.33    0.25    0.61    0.10    0.07    0.16    0.31    0.18    1.00    0.57    0.50    0.67
4    0.55    0.50    0.63    0.94    0.95    0.93    0.70    0.54    0.97    0.00    0.00    0.00
5    0.29    0.27    0.32    0.87    0.81    0.95    0.00    0.00    0.00    0.00    0.00    0.00
6    0.58    0.56    0.68    0.97    0.95    1.00    0.17    0.11    0.47    0.61    0.63    0.59
7    0.85    0.78    0.95    0.93    0.88    0.99    0.72    0.57    0.97    0.89    0.89    0.89
8    0.30    0.53    0.31    0.82    0.76    0.89    0.00    0.00    0.00    0.07    0.82    0.04
9    0.59    0.68    0.59    0.43    0.32    0.64    0.59    0.83    0.46    0.76    0.88    0.66
10    0.26    0.18    0.81    0.32    0.20    0.79    0.02    0.01    1.00    0.42    0.31    0.65
11    0.46    0.45    0.60    0.39    0.30    0.55    0.52    0.38    0.87    0.48    0.67    0.37
12    0.62    0.58    0.66    0.98    0.98    0.98    0.00    0.00    0.00    0.87    0.77    1.00
13    0.23    0.15    0.50    0.02    0.02    0.03    0.32    0.19    0.91    0.34    0.24    0.57
14    0.34    0.48    0.42    0.18    0.14    0.23    0.64    0.49    0.90    0.20    0.79    0.12
15    0.38    0.39    0.41    0.14    0.09    0.31    0.24    0.26    0.23    0.74    0.83    0.67
16    0.47    0.37    0.71    0.35    0.26    0.54    0.24    0.15    0.66    0.80    0.70    0.94
17    0.67    0.67    0.69    0.99    0.98    1.00    0.03    0.02    0.08    1.00    1.00    1.00
18    0.59    0.65    0.60    0.57    0.45    0.80    0.64    0.72    0.58    0.55    0.77    0.43
19    0.40    0.49    0.71    0.51    0.39    0.74    0.13    0.07    1.00    0.56    0.99    0.39
20    0.37    0.27    0.61    0.45    0.32    0.78    0.32    0.21    0.65    0.34    0.29    0.41
21    0.56    0.56    0.65    0.60    0.45    0.92    0.63    0.58    0.68    0.46    0.66    0.35
22    0.19    0.17    0.41    0.32    0.20    0.88    0.06    0.04    0.19    0.19    0.29    0.14
23    0.42    0.35    0.57    0.48    0.42    0.55    0.41    0.28    0.74    0.38    0.35    0.41
24    0.57    0.50    0.78    0.98    0.96    1.00    0.19    0.11    0.67    0.53    0.44    0.66
25    0.34    0.26    0.63    0.22    0.13    0.74    0.42    0.30    0.73    0.38    0.36    0.41
26    0.57    0.57    0.79    0.60    0.45    0.94    0.52    0.35    0.99    0.59    0.92    0.44
27    0.40    0.32    0.71    0.23    0.13    0.93    0.33    0.24    0.49    0.63    0.58    0.70
average    0.46    0.45    0.63    0.55    0.48    0.75    0.34    0.28    0.62    0.50    0.58    0.52
