songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.32    0.32    0.49    0.37    0.54    0.28    0.20    0.12    0.60    0.40    0.30    0.60
2    0.64    0.73    0.58    0.79    0.79    0.79    0.39    0.52    0.32    0.72    0.87    0.62
3    0.59    0.81    0.54    0.63    0.53    0.78    0.46    1.00    0.30    0.68    0.88    0.55
4    0.41    0.53    0.46    0.38    0.29    0.54    0.40    0.94    0.25    0.45    0.36    0.60
5    0.67    0.64    0.70    0.69    0.61    0.79    0.54    0.55    0.54    0.77    0.77    0.77
6    0.57    0.74    0.48    0.60    0.58    0.62    0.63    0.89    0.49    0.47    0.74    0.34
7    0.51    0.45    0.64    0.55    0.46    0.68    0.50    0.36    0.82    0.48    0.53    0.44
8    0.56    0.69    0.56    0.68    0.73    0.64    0.46    0.95    0.31    0.52    0.40    0.74
9    0.59    0.49    0.77    0.73    0.65    0.83    0.54    0.49    0.61    0.49    0.34    0.87
10    0.47    0.70    0.40    0.54    0.52    0.56    0.31    0.86    0.19    0.56    0.70    0.46
11    0.51    0.59    0.48    0.41    0.35    0.49    0.41    0.57    0.32    0.71    0.83    0.62
12    0.65    0.65    0.73    0.69    0.62    0.78    0.68    0.88    0.55    0.59    0.44    0.87
13    0.66    0.63    0.71    0.66    0.60    0.72    0.50    0.40    0.65    0.81    0.90    0.74
14    0.54    0.64    0.60    0.43    0.29    0.87    0.57    0.76    0.45    0.61    0.86    0.48
15    0.58    0.57    0.69    0.71    0.74    0.69    0.73    0.78    0.69    0.30    0.19    0.71
16    0.76    0.79    0.75    0.80    0.73    0.89    0.69    0.67    0.70    0.79    0.97    0.66
17    0.67    0.68    0.76    0.67    0.57    0.79    0.65    0.50    0.93    0.70    0.96    0.55
18    0.61    0.61    0.68    0.83    0.89    0.78    0.55    0.63    0.48    0.44    0.31    0.79
19    0.64    0.66    0.73    0.42    0.29    0.78    0.76    0.71    0.81    0.74    0.97    0.60
20    0.63    0.64    0.63    0.47    0.47    0.47    0.79    0.90    0.71    0.63    0.56    0.72
21    0.56    0.72    0.55    0.57    0.43    0.83    0.43    0.74    0.30    0.69    0.99    0.52
22    0.62    0.61    0.67    0.86    0.75    1.00    0.50    0.61    0.42    0.52    0.45    0.60
23    0.78    0.69    0.91    0.96    0.92    1.00    0.64    0.51    0.84    0.75    0.64    0.90
24    0.76    0.83    0.73    0.90    0.82    0.99    0.50    0.69    0.40    0.87    0.98    0.79
25    0.85    0.88    0.84    0.97    0.95    1.00    0.79    0.97    0.67    0.78    0.72    0.84
26    0.82    0.90    0.77    0.92    0.86    0.99    0.78    0.90    0.69    0.75    0.95    0.62
27    0.78    0.87    0.72    0.97    0.95    1.00    0.57    0.71    0.48    0.80    0.95    0.69
28    0.59    0.94    0.52    0.94    0.97    0.91    0.08    0.88    0.04    0.75    0.98    0.61
29    0.71    0.71    0.72    0.97    0.94    1.00    0.62    0.62    0.62    0.55    0.55    0.55
30    0.60    0.74    0.56    0.89    0.81    0.99    0.34    0.59    0.24    0.58    0.83    0.44
31    0.59    0.56    0.63    0.93    0.86    1.00    0.00    0.00    0.00    0.85    0.83    0.88
32    0.74    0.88    0.72    0.98    0.95    1.00    0.38    0.86    0.24    0.86    0.83    0.91
33    0.89    0.90    0.89    0.96    0.92    1.00    0.76    0.79    0.73    0.97    1.00    0.94
34    0.66    0.65    0.66    0.97    0.95    1.00    0.00    0.00    0.00    0.99    1.00    0.99
35    0.82    0.79    0.86    0.96    0.93    0.98    0.51    0.43    0.62    0.98    1.00    0.97
36    0.84    0.87    0.82    0.92    0.87    0.98    0.62    0.75    0.52    0.97    1.00    0.94
37    0.79    0.70    0.93    0.89    0.80    1.00    0.83    0.75    0.92    0.66    0.54    0.87
38    0.86    0.88    0.84    0.91    0.88    0.94    0.74    0.80    0.69    0.93    0.97    0.90
39    0.87    0.79    0.97    0.96    0.92    1.00    0.77    0.64    0.96    0.87    0.80    0.95
40    0.75    0.65    0.90    0.78    0.65    0.98    0.77    0.75    0.79    0.70    0.56    0.92
41    0.90    0.91    0.90    0.94    0.94    0.94    0.88    0.87    0.89    0.89    0.91    0.86
42    0.75    0.69    0.85    0.99    0.98    1.00    0.42    0.31    0.62    0.84    0.77    0.91
43    0.79    0.79    0.80    0.97    0.94    1.00    0.53    0.48    0.59    0.87    0.96    0.79
44    0.45    0.37    0.57    0.60    0.49    0.77    0.33    0.30    0.36    0.41    0.32    0.58
45    0.69    0.78    0.66    0.76    0.67    0.90    0.67    0.79    0.58    0.65    0.90    0.51
46    0.54    0.61    0.53    0.75    0.65    0.89    0.49    0.62    0.40    0.39    0.54    0.30
47    0.44    0.57    0.49    0.78    0.71    0.88    0.11    0.62    0.06    0.44    0.37    0.55
48    0.44    0.72    0.43    0.74    0.63    0.92    0.40    0.74    0.28    0.18    0.78    0.10
49    0.69    0.75    0.66    0.81    0.78    0.84    0.70    0.73    0.67    0.57    0.75    0.46
50    0.64    0.90    0.60    0.94    0.88    0.99    0.24    0.97    0.14    0.76    0.85    0.68
51    0.53    0.67    0.53    0.73    0.59    0.93    0.43    0.91    0.28    0.43    0.52    0.36
52    0.54    0.53    0.64    0.78    0.65    0.99    0.15    0.10    0.33    0.70    0.86    0.59
53    0.65    0.65    0.89    0.97    0.99    0.95    0.23    0.13    1.00    0.77    0.83    0.71
54    0.57    0.64    0.58    0.74    0.62    0.91    0.35    0.63    0.24    0.63    0.68    0.59
55    0.71    0.75    0.71    0.84    0.74    0.97    0.52    0.72    0.41    0.77    0.80    0.74
56    0.71    0.86    0.65    0.91    0.84    0.99    0.49    0.80    0.36    0.73    0.94    0.59
57    0.69    0.84    0.68    0.76    0.65    0.91    0.38    0.92    0.24    0.92    0.95    0.89
58    0.60    0.71    0.56    0.69    0.62    0.78    0.48    0.73    0.36    0.64    0.77    0.54
59    0.50    0.70    0.47    0.82    0.73    0.95    0.20    0.59    0.12    0.47    0.78    0.33
