songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.33    0.32    0.46    0.26    0.18    0.44    0.49    0.35    0.78    0.24    0.41    0.17
2    0.44    0.70    0.53    0.68    0.57    0.84    0.61    0.52    0.74    0.03    1.00    0.02
3    0.46    0.67    0.55    0.68    0.59    0.81    0.53    0.41    0.74    0.17    1.00    0.09
4    0.40    0.45    0.51    0.54    0.46    0.66    0.52    0.39    0.80    0.14    0.50    0.08
5    0.38    0.50    0.40    0.70    0.58    0.90    0.00    0.00    0.00    0.45    0.91    0.30
6    0.52    0.49    0.55    0.95    0.92    0.98    0.61    0.56    0.67    0.00    0.00    0.00
7    0.28    0.21    0.46    0.27    0.21    0.38    0.58    0.41    1.00    0.00    0.00    0.00
8    0.48    0.47    0.60    0.14    0.12    0.18    0.52    0.36    0.94    0.78    0.94    0.67
9    0.76    0.71    0.88    0.83    0.73    0.96    0.54    0.40    0.83    0.91    0.99    0.84
10    0.51    0.52    0.61    0.57    0.47    0.73    0.72    0.58    0.95    0.23    0.52    0.15
11    0.55    0.57    0.57    0.18    0.22    0.15    0.60    0.50    0.75    0.88    0.98    0.80
12    0.48    0.51    0.49    0.87    0.78    0.98    0.00    0.00    0.00    0.58    0.74    0.47
13    0.47    0.41    0.65    0.82    0.79    0.85    0.55    0.41    0.86    0.04    0.02    0.25
14    0.47    0.41    0.59    0.15    0.12    0.22    0.63    0.46    0.97    0.62    0.66    0.58
15    0.46    0.49    0.48    0.43    0.39    0.48    0.34    0.26    0.49    0.61    0.83    0.48
16    0.52    0.45    0.68    0.64    0.48    0.99    0.82    0.69    1.00    0.10    0.17    0.07
17    0.70    0.70    0.73    0.44    0.38    0.52    0.89    0.82    0.98    0.77    0.89    0.69
18    0.62    0.60    0.68    0.89    0.87    0.91    0.49    0.36    0.74    0.48    0.57    0.41
19    0.63    0.85    0.56    0.99    0.97    1.00    0.21    0.66    0.12    0.70    0.92    0.57
20    0.77    0.76    0.81    0.90    0.87    0.94    0.73    0.64    0.84    0.69    0.76    0.63
21    0.24    0.37    0.23    0.06    0.04    0.08    0.35    0.32    0.39    0.33    0.75    0.21
22    0.61    0.56    0.72    0.69    0.55    0.91    0.70    0.57    0.90    0.43    0.55    0.35
23    0.71    0.71    0.75    0.74    0.64    0.88    0.79    0.71    0.89    0.58    0.77    0.47
average    0.51    0.54    0.59    0.58    0.52    0.69    0.53    0.45    0.71    0.42    0.65    0.36
