songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.53    0.48    0.60    0.95    0.93    0.98    0.62    0.50    0.83    0.00    0.00    0.00
2    0.26    0.24    0.27    0.54    0.49    0.60    0.23    0.24    0.22    0.00    0.00    0.00
3    0.48    0.53    0.73    0.22    0.12    0.93    0.42    0.79    0.29    0.79    0.66    0.97
4    0.56    0.62    0.53    0.57    0.55    0.58    0.30    0.44    0.22    0.82    0.88    0.77
5    0.66    0.70    0.69    0.60    0.57    0.62    0.62    0.93    0.46    0.75    0.61    0.99
6    0.54    0.50    0.60    0.88    0.85    0.91    0.00    0.00    0.00    0.75    0.65    0.89
7    0.73    0.72    0.76    0.86    0.81    0.91    0.45    0.38    0.54    0.90    0.96    0.85
8    0.27    0.38    0.59    0.55    0.42    0.80    0.17    0.67    0.10    0.08    0.04    0.86
9    0.60    0.64    0.71    0.48    0.31    1.00    0.59    0.71    0.50    0.73    0.92    0.61
10    0.59    0.61    0.58    0.91    0.86    0.98    0.52    0.57    0.48    0.33    0.41    0.28
11    0.65    0.63    0.77    0.69    0.53    1.00    0.66    0.54    0.83    0.60    0.81    0.48
12    0.65    0.77    0.58    0.93    0.99    0.89    0.37    0.42    0.33    0.66    0.89    0.53
13    0.22    0.23    0.28    0.15    0.15    0.16    0.44    0.34    0.62    0.08    0.20    0.05
14    0.60    0.61    0.61    0.73    0.62    0.89    0.52    0.56    0.49    0.54    0.66    0.46
15    0.48    0.48    0.81    0.23    0.13    1.00    0.61    0.86    0.48    0.61    0.45    0.94
16    0.49    0.42    0.70    0.62    0.45    1.00    0.46    0.32    0.79    0.39    0.48    0.32
17    0.38    0.38    0.42    0.88    0.83    0.94    0.09    0.06    0.20    0.16    0.25    0.12
18    0.23    0.33    0.35    0.17    0.17    0.17    0.45    0.31    0.83    0.08    0.50    0.04
19    0.24    0.25    0.31    0.47    0.39    0.58    0.23    0.18    0.33    0.02    0.17    0.01
20    0.49    0.56    0.49    0.79    0.67    0.97    0.68    1.00    0.52    0.00    0.00    0.00
21    0.75    0.78    0.73    0.65    0.65    0.65    0.67    0.69    0.64    0.94    0.98    0.90
22    0.77    0.79    0.76    0.88    0.84    0.93    0.52    0.66    0.42    0.91    0.88    0.94
23    0.40    0.48    0.40    0.92    0.88    0.97    0.23    0.26    0.21    0.06    0.29    0.03
average    0.50    0.53    0.58    0.64    0.57    0.80    0.43    0.50    0.45    0.44    0.51    0.48
