songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.40    0.36    0.51    0.08    0.08    0.10    0.61    0.44    1.00    0.50    0.58    0.44
2    0.54    0.47    0.67    0.81    0.76    0.87    0.29    0.20    0.50    0.52    0.44    0.63
3    0.29    0.24    0.58    0.29    0.20    0.47    0.22    0.12    0.91    0.37    0.38    0.36
4    0.49    0.41    0.62    0.72    0.60    0.88    0.76    0.63    0.97    0.00    0.00    0.00
5    0.23    0.22    0.25    0.70    0.67    0.74    0.00    0.00    0.00    0.00    0.00    0.00
6    0.58    0.55    0.72    0.80    0.80    0.79    0.23    0.14    0.68    0.70    0.71    0.69
7    0.81    0.75    0.89    0.68    0.64    0.72    0.78    0.66    0.96    0.96    0.95    0.98
8    0.33    0.56    0.31    0.85    0.87    0.84    0.00    0.00    0.00    0.15    0.81    0.08
9    0.43    0.47    0.41    0.17    0.13    0.26    0.41    0.45    0.38    0.70    0.83    0.61
10    0.16    0.12    0.59    0.05    0.04    0.10    0.01    0.01    1.00    0.43    0.31    0.67
11    0.31    0.33    0.43    0.04    0.03    0.05    0.43    0.28    0.90    0.45    0.69    0.34
12    0.39    0.36    0.44    0.31    0.30    0.33    0.00    0.00    0.00    0.87    0.77    0.99
13    0.27    0.18    0.57    0.02    0.02    0.02    0.35    0.21    0.95    0.42    0.30    0.73
14    0.14    0.36    0.26    0.09    0.23    0.06    0.29    0.18    0.70    0.04    0.66    0.02
15    0.29    0.39    0.24    0.06    0.05    0.08    0.24    0.28    0.21    0.57    0.84    0.43
16    0.47    0.36    0.75    0.45    0.32    0.73    0.19    0.12    0.59    0.77    0.66    0.91
17    0.56    0.49    0.73    0.98    0.96    1.00    0.09    0.06    0.27    0.61    0.46    0.92
18    0.66    0.70    0.64    0.72    0.70    0.74    0.67    0.66    0.68    0.59    0.72    0.50
19    0.24    0.46    0.54    0.43    0.32    0.67    0.18    0.10    0.88    0.13    0.96    0.07
20    0.35    0.27    0.52    0.44    0.31    0.77    0.23    0.17    0.34    0.38    0.34    0.44
21    0.56    0.54    0.65    0.52    0.39    0.77    0.64    0.55    0.78    0.51    0.67    0.41
22    0.26    0.24    0.42    0.25    0.19    0.36    0.17    0.10    0.59    0.37    0.42    0.33
23    0.39    0.34    0.53    0.42    0.44    0.41    0.39    0.26    0.75    0.36    0.31    0.42
24    0.58    0.53    0.88    0.97    0.96    0.98    0.19    0.10    1.00    0.59    0.54    0.66
25    0.36    0.29    0.60    0.28    0.18    0.74    0.37    0.26    0.64    0.42    0.42    0.43
26    0.36    0.44    0.48    0.12    0.12    0.12    0.45    0.30    0.94    0.53    0.91    0.37
27    0.41    0.32    0.61    0.31    0.22    0.56    0.35    0.24    0.65    0.56    0.51    0.61
average    0.40    0.40    0.55    0.43    0.39    0.52    0.32    0.24    0.64    0.46    0.56    0.48
